time_s,atm_loss_db_km,visibility_km,rain_rate_mmhr,cn2
0,0.0199,16.83,0.2,1.07e-15
10,0.0203,17.40,0.6,8.13e-16
20,0.0203,22.38,0.2,9.58e-16
30,0.0206,16.02,0.2,1.24e-15
40,0.0207,20.15,0.4,7.74e-16
50,0.0204,17.50,1.2,9.77e-16
60,0.0210,18.73,0.0,9.26e-16
70,0.0221,23.23,0.0,8.06e-16
80,0.0217,22.77,0.0,1.15e-15
90,0.0224,17.94,0.0,9.64e-16
100,0.0218,19.60,0.6,1.52e-15
110,0.0217,17.86,0.0,8.69e-16
120,0.0222,19.86,0.1,1.13e-15
130,0.0218,19.80,0.1,3.22e-16
140,0.0220,22.29,0.0,1.26e-15
150,0.0221,20.79,0.4,1.22e-15
160,0.0213,18.58,0.0,6.42e-16
170,0.0214,23.15,0.7,1.13e-15
180,0.0227,21.05,0.3,8.99e-16
190,0.0212,17.39,0.0,1.41e-15
200,0.0221,20.62,0.6,7.33e-16
210,0.0214,20.34,0.5,1.38e-15
220,0.0216,17.20,0.0,1.06e-15
230,0.0213,21.97,0.0,1.18e-15
240,0.0219,20.74,0.0,1.50e-15
250,0.0205,21.54,0.1,8.17e-16
260,0.0206,21.76,0.0,1.50e-15
270,0.0207,21.75,0.0,1.32e-15
280,0.0208,21.54,0.0,9.25e-16
290,0.0205,20.99,0.1,9.39e-16
300,0.0203,20.82,0.0,1.15e-15
310,0.0201,17.91,0.0,5.90e-16
320,0.0195,20.65,0.0,7.66e-16
330,0.0194,20.33,0.3,7.30e-16
340,0.0198,19.82,0.5,1.34e-15
350,0.0193,18.42,0.0,1.17e-15
360,0.0188,18.68,0.0,9.99e-16
370,0.0190,19.65,0.0,1.01e-15
380,0.0185,20.39,0.1,4.99e-16
390,0.0182,17.86,0.9,1.30e-15
400,0.0184,18.70,0.8,4.23e-16
410,0.0177,19.09,1.2,1.10e-15
420,0.0189,16.78,0.2,1.22e-15
430,0.0187,21.37,0.0,1.33e-15
440,0.0181,20.54,0.0,9.26e-16
450,0.0175,23.36,0.0,1.12e-15
460,0.0176,20.24,0.0,1.16e-15
470,0.0173,20.08,0.0,1.39e-15
480,0.0179,19.82,0.0,5.37e-16
490,0.0187,19.28,0.0,1.36e-15
500,0.0186,23.45,0.0,1.24e-15
510,0.0180,21.19,0.0,1.01e-15
520,0.0183,19.12,0.0,1.27e-15
530,0.0188,17.79,0.8,3.65e-16
540,0.0189,19.08,0.0,9.52e-16
550,0.0190,19.21,0.0,1.22e-15
560,0.0188,21.61,0.4,1.00e-15
570,0.0192,21.85,0.0,9.36e-16
580,0.0194,18.58,1.0,9.78e-16
590,0.0196,18.32,0.0,4.13e-16
600,0.0204,19.61,0.1,9.24e-16
610,0.0198,19.94,0.7,3.29e-16
620,0.0214,18.80,0.0,8.38e-16
630,0.0206,21.02,0.0,9.32e-16
