time_s,atm_loss_db_km,visibility_km,rain_rate_mmhr,cn2
0,0.5089,0.20,0.0,6.47e-17
10,0.5112,0.18,0.0,9.61e-17
20,0.5075,0.18,0.0,1.15e-16
30,0.5085,0.21,0.5,9.71e-17
40,0.5102,0.21,0.2,1.15e-16
50,0.5357,0.23,0.0,9.74e-17
60,0.5245,0.18,0.0,7.49e-17
70,0.5266,0.22,0.7,9.02e-17
80,0.5208,0.19,0.7,1.24e-16
90,0.5377,0.21,0.5,8.97e-17
100,0.5414,0.22,0.8,1.21e-16
110,0.5435,0.24,0.0,9.92e-17
120,0.5452,0.19,0.0,8.91e-17
130,0.5365,0.19,0.0,1.28e-16
140,0.5618,0.19,0.3,1.17e-16
150,0.5583,0.21,0.2,6.02e-17
160,0.5324,0.20,0.0,1.28e-16
170,0.5541,0.20,0.7,1.19e-16
180,0.5476,0.23,0.3,1.18e-16
190,0.5492,0.20,0.0,9.23e-17
200,0.5459,0.17,0.2,8.71e-17
210,0.5387,0.21,1.0,1.12e-16
220,0.5370,0.17,0.0,9.78e-17
230,0.5444,0.20,0.0,7.06e-17
240,0.5217,0.18,0.2,9.45e-17
250,0.5175,0.20,0.6,8.15e-17
260,0.5163,0.21,0.7,1.20e-16
270,0.5185,0.19,0.0,7.13e-17
280,0.5267,0.20,0.6,1.13e-16
290,0.5037,0.25,0.0,7.62e-17
300,0.4998,0.19,1.3,9.75e-17
310,0.4931,0.21,0.0,5.58e-17
320,0.5000,0.16,0.8,6.81e-17
330,0.4936,0.20,0.0,1.36e-16
340,0.4821,0.19,0.0,9.64e-17
350,0.4621,0.20,0.0,1.02e-16
360,0.4649,0.19,0.2,1.26e-16
370,0.4493,0.20,0.5,7.22e-17
380,0.4619,0.22,0.2,9.27e-17
390,0.4523,0.21,0.9,7.57e-17
400,0.4566,0.19,0.9,8.29e-17
410,0.4580,0.19,0.3,6.57e-17
420,0.4361,0.17,0.0,8.75e-17
430,0.4435,0.19,0.0,1.25e-16
440,0.4599,0.21,1.2,1.21e-16
450,0.4336,0.22,0.4,1.13e-16
460,0.4556,0.19,0.0,9.98e-17
470,0.4387,0.21,0.3,5.64e-17
480,0.4484,0.23,0.0,1.80e-16
490,0.4487,0.20,0.6,9.70e-17
500,0.4485,0.21,0.0,5.22e-17
510,0.4640,0.22,0.3,1.19e-16
520,0.4693,0.18,0.6,1.12e-16
530,0.4673,0.24,0.0,6.90e-17
540,0.4787,0.25,0.8,7.19e-17
550,0.4761,0.18,0.4,9.25e-17
560,0.4785,0.20,0.1,1.17e-16
570,0.5099,0.19,0.0,1.35e-16
580,0.4756,0.16,0.0,1.25e-16
590,0.4849,0.17,0.0,9.84e-17
600,0.5024,0.18,1.0,8.61e-17
610,0.5223,0.21,0.7,1.07e-16
620,0.5188,0.21,0.0,1.32e-16
630,0.5028,0.18,0.2,9.05e-17
640,0.5244,0.18,1.1,1.08e-16
650,0.5195,0.17,0.0,3.19e-17
660,0.5144,0.19,0.1,2.56e-17
670,0.5406,0.17,0.7,8.51e-17
680,0.5471,0.22,0.1,1.20e-16
690,0.5370,0.21,0.5,9.21e-17
700,0.5423,0.18,0.0,9.74e-17
710,0.5384,0.19,0.4,7.46e-17
720,0.5395,0.20,0.9,9.37e-17
730,0.5585,0.19,0.4,1.22e-16
740,0.5425,0.16,0.2,9.16e-17
750,0.5573,0.18,0.4,9.70e-17
760,0.5500,0.16,0.0,1.38e-16
770,0.5518,0.18,0.3,1.14e-16
780,0.5614,0.19,0.0,7.94e-17
790,0.5545,0.20,0.0,7.60e-17
800,0.5516,0.21,0.0,1.14e-16
810,0.5528,0.16,0.7,1.06e-16
820,0.5400,0.22,0.0,4.80e-17
830,0.5458,0.21,0.0,1.11e-16
840,0.5193,0.20,0.0,1.06e-16
850,0.5165,0.17,0.5,1.22e-16
860,0.5197,0.19,0.7,1.59e-16
870,0.5109,0.19,0.0,6.13e-17
880,0.5130,0.21,0.3,1.36e-16
890,0.5097,0.15,0.0,8.86e-17
900,0.5039,0.23,1.0,8.81e-17
910,0.4815,0.19,0.6,1.22e-16
920,0.4869,0.23,0.3,1.10e-16
930,0.4743,0.22,0.0,3.09e-17
940,0.4660,0.20,0.5,5.31e-17
950,0.4624,0.19,0.0,1.20e-16
960,0.4571,0.18,1.3,1.32e-16
970,0.4661,0.21,0.1,6.37e-17
980,0.4556,0.23,0.0,6.94e-17
990,0.4669,0.22,0.6,1.18e-16
1000,0.4621,0.21,0.0,1.11e-16
1010,0.4508,0.19,0.5,1.46e-16
1020,0.4406,0.20,0.0,5.38e-17
