time_s,atm_loss_db_km,visibility_km,rain_rate_mmhr,cn2
0,0.0489,3.87,5.0,4.96e-15
10,0.0503,5.12,5.0,4.73e-15
20,0.0502,4.98,4.8,6.80e-15
30,0.0520,4.75,5.3,3.73e-15
40,0.0502,4.78,5.6,7.44e-15
50,0.0509,5.24,4.6,4.62e-15
60,0.0530,4.73,5.0,3.38e-15
70,0.0531,5.08,4.7,2.04e-15
80,0.0531,4.02,4.8,4.22e-15
90,0.0543,5.27,5.0,2.63e-15
100,0.0549,5.56,5.0,4.91e-15
110,0.0550,5.11,5.8,5.09e-15
120,0.0550,4.66,5.4,3.13e-15
130,0.0539,5.29,5.0,6.00e-15
140,0.0533,5.05,5.9,4.27e-15
150,0.0552,5.28,4.7,5.01e-15
160,0.0556,4.99,5.4,7.44e-15
170,0.0544,4.54,5.0,5.83e-15
180,0.0539,5.55,4.6,4.56e-15
190,0.0559,5.54,5.1,3.57e-15
200,0.0531,4.94,5.2,3.80e-15
210,0.0531,5.30,5.6,5.84e-15
220,0.0526,5.19,4.4,5.11e-15
230,0.0535,5.25,4.8,6.12e-15
240,0.0530,4.98,4.6,5.63e-15
250,0.0524,5.10,5.6,5.81e-15
260,0.0503,5.59,6.0,5.88e-15
270,0.0526,5.33,5.5,6.60e-15
280,0.0518,5.44,5.3,3.50e-15
290,0.0512,5.32,4.1,3.41e-15
300,0.0496,6.53,4.3,5.10e-15
310,0.0517,4.95,5.0,5.52e-15
320,0.0480,4.89,4.9,2.40e-15
330,0.0497,5.42,5.0,4.09e-15
340,0.0486,4.84,4.5,4.98e-15
350,0.0488,5.67,4.8,4.03e-15
360,0.0484,4.72,5.1,1.48e-15
370,0.0464,5.02,5.1,7.83e-15
380,0.0464,5.35,5.4,6.15e-15
390,0.0468,4.26,5.4,4.27e-15
400,0.0462,4.41,4.8,4.11e-15
410,0.0461,4.69,5.6,3.01e-15
420,0.0448,4.89,4.9,7.61e-15
430,0.0431,5.88,5.5,6.46e-15
440,0.0472,4.76,5.2,3.29e-15
450,0.0446,4.40,5.1,1.00e-15
460,0.0451,5.58,4.9,3.41e-15
470,0.0453,5.57,5.6,5.75e-15
480,0.0437,4.04,6.2,3.87e-15
490,0.0449,5.84,4.9,6.02e-15
500,0.0446,4.60,5.1,6.92e-15
510,0.0462,5.41,4.9,4.87e-15
520,0.0459,5.17,5.6,4.57e-15
530,0.0457,4.50,5.8,3.02e-15
540,0.0454,5.65,5.3,5.05e-15
550,0.0472,4.47,4.6,8.65e-15
560,0.0479,3.98,4.3,5.43e-15
570,0.0501,4.47,5.3,3.36e-15
580,0.0471,5.34,5.5,6.32e-15
590,0.0488,4.69,5.3,3.43e-15
600,0.0504,4.73,5.5,5.14e-15
610,0.0500,5.54,5.2,2.58e-15
620,0.0515,5.65,4.9,5.27e-15
630,0.0530,5.33,4.8,5.32e-15
640,0.0513,4.35,4.6,3.35e-15
650,0.0534,4.65,5.1,4.08e-15
660,0.0537,5.64,5.3,3.11e-15
670,0.0535,5.22,6.0,6.91e-15
680,0.0521,5.03,4.5,4.59e-15
690,0.0527,4.88,5.0,5.85e-15
700,0.0553,4.91,4.8,5.09e-15
710,0.0549,5.51,5.4,5.73e-15
720,0.0542,4.87,5.1,4.86e-15
730,0.0543,4.59,5.3,5.64e-15
740,0.0545,4.85,4.9,6.38e-15
750,0.0545,4.59,4.7,5.41e-15
760,0.0540,4.57,4.6,5.44e-15
770,0.0536,4.62,4.9,3.63e-15
780,0.0557,4.49,5.5,3.19e-15
790,0.0556,5.15,5.0,7.30e-15
800,0.0545,5.33,5.8,5.79e-15
810,0.0536,4.85,4.7,6.38e-15
820,0.0537,4.73,4.7,6.82e-15
830,0.0537,4.03,3.5,2.66e-15
840,0.0531,5.23,4.7,2.68e-15
850,0.0519,4.87,5.2,8.04e-15
860,0.0520,5.44,4.8,3.42e-15
870,0.0513,4.91,5.0,4.70e-15
880,0.0507,5.04,5.4,1.70e-15
890,0.0512,5.58,4.4,5.59e-15
900,0.0509,5.31,5.1,2.93e-15
910,0.0494,4.82,4.2,6.73e-15
920,0.0485,5.00,6.2,3.67e-15
930,0.0474,4.56,4.5,4.35e-15
940,0.0499,4.97,5.4,8.26e-15
950,0.0472,4.72,5.1,3.42e-15
960,0.0482,4.67,3.8,1.88e-15
970,0.0464,4.87,6.3,5.60e-15
980,0.0481,4.16,4.9,8.41e-15
990,0.0450,5.57,5.6,4.29e-15
1000,0.0444,4.04,4.5,5.14e-15
1010,0.0454,5.38,4.3,2.76e-15
1020,0.0445,5.81,4.6,5.67e-15
1030,0.0442,3.80,4.4,5.83e-15
1040,0.0443,5.11,5.9,7.39e-15
1050,0.0441,5.35,5.5,3.63e-15
1060,0.0453,5.28,4.6,4.54e-15
1070,0.0459,4.70,5.0,7.39e-15
1080,0.0443,4.88,5.5,6.59e-15
1090,0.0429,5.29,4.0,4.53e-15
1100,0.0464,6.48,4.2,5.60e-15
1110,0.0466,5.37,5.1,7.20e-15
1120,0.0458,4.84,4.1,4.72e-15
1130,0.0465,4.91,4.9,6.69e-15
1140,0.0470,6.18,4.9,5.68e-15
1150,0.0478,4.81,4.0,5.96e-15
1160,0.0479,4.51,4.9,6.00e-15
1170,0.0512,4.81,4.0,3.85e-15
1180,0.0492,4.74,5.2,6.52e-15
1190,0.0490,5.12,4.9,5.58e-15
1200,0.0495,5.05,4.7,6.69e-15
1210,0.0509,4.23,5.1,4.86e-15
1220,0.0506,5.54,4.2,4.80e-15
1230,0.0519,5.33,4.4,5.11e-15
1240,0.0518,4.98,5.0,8.61e-16
1250,0.0509,4.76,5.2,2.81e-15
1260,0.0528,4.72,4.8,4.47e-15
1270,0.0546,4.25,4.9,4.16e-15
1280,0.0528,5.14,4.4,3.56e-15
1290,0.0536,4.27,5.1,4.83e-15
1300,0.0541,5.38,4.3,5.65e-15
1310,0.0550,5.01,5.0,5.37e-15
1320,0.0562,5.31,4.8,1.59e-15
1330,0.0535,4.94,4.9,5.02e-15
1340,0.0539,5.16,4.6,4.08e-15
1350,0.0538,5.14,5.1,5.10e-15
1360,0.0560,4.82,5.3,7.09e-15
1370,0.0550,5.81,5.4,4.00e-15
1380,0.0561,4.47,4.7,1.61e-15
1390,0.0533,5.20,4.8,5.41e-15
1400,0.0534,4.95,4.7,5.53e-15
1410,0.0542,4.64,4.4,2.89e-15
1420,0.0553,5.04,5.6,4.86e-15
1430,0.0544,5.30,5.3,3.91e-15
1440,0.0543,4.93,5.0,6.19e-15
1450,0.0515,4.74,5.0,6.43e-15
1460,0.0523,5.05,5.1,6.28e-15
1470,0.0498,4.33,5.1,4.53e-15
1480,0.0508,4.25,4.9,7.69e-15
1490,0.0502,4.43,4.5,6.85e-15
1500,0.0493,4.99,4.4,2.91e-15
1510,0.0489,5.21,5.6,5.20e-15
1520,0.0496,5.74,5.4,3.03e-15
1530,0.0487,4.32,5.6,3.17e-15
1540,0.0474,4.22,4.8,4.22e-15
1550,0.0457,5.40,5.5,2.73e-15
1560,0.0472,4.07,4.5,3.81e-15
1570,0.0456,4.36,4.5,5.03e-15
1580,0.0466,4.30,4.9,4.81e-15
1590,0.0459,5.27,4.9,3.87e-15
1600,0.0455,4.45,5.3,3.55e-15
1610,0.0460,4.97,5.6,4.41e-15
1620,0.0422,5.02,4.7,8.22e-15
1630,0.0446,6.15,5.7,5.21e-15
1640,0.0455,5.14,4.8,6.10e-15
1650,0.0463,5.49,5.0,6.02e-15
1660,0.0446,4.78,4.5,5.70e-15
1670,0.0456,5.31,4.4,4.01e-15
1680,0.0458,5.73,4.5,5.89e-15
1690,0.0450,5.52,4.9,2.77e-15
1700,0.0462,5.41,4.9,7.09e-15
1710,0.0465,4.34,5.4,6.51e-15
1720,0.0463,6.06,5.1,5.58e-15
1730,0.0472,5.19,5.2,6.90e-15
1740,0.0482,4.97,5.7,4.17e-15
1750,0.0473,5.12,5.5,3.07e-15
1760,0.0462,4.99,4.7,7.06e-15
1770,0.0483,5.49,5.5,4.71e-15
1780,0.0493,4.90,4.7,4.04e-15
1790,0.0484,4.87,5.4,6.72e-15
1800,0.0506,4.54,5.2,5.99e-15
1810,0.0494,4.46,4.2,3.60e-15
1820,0.0504,4.92,4.3,6.29e-15
1830,0.0523,5.47,4.8,6.10e-15
1840,0.0512,5.41,4.9,5.36e-15
1850,0.0527,4.46,5.4,5.56e-15
1860,0.0526,5.02,5.3,3.07e-15
1870,0.0533,5.12,4.0,5.49e-15
1880,0.0549,5.16,4.6,5.20e-15
1890,0.0549,5.02,5.4,5.87e-15
1900,0.0536,4.87,3.9,3.63e-15
1910,0.0553,5.00,4.3,6.45e-15
1920,0.0541,4.80,4.7,3.33e-15
1930,0.0552,5.13,5.5,5.99e-15
1940,0.0544,4.05,5.3,6.40e-15
1950,0.0552,4.65,5.8,5.35e-15
