time_s,atm_loss_db_km,visibility_km,rain_rate_mmhr,cn2
0,0.2945,1.05,0.0,6.00e-16
10,0.3045,0.97,0.6,5.40e-16
20,0.3060,0.93,0.0,5.49e-16
30,0.3050,1.01,0.0,6.80e-16
40,0.3217,1.00,0.4,8.37e-16
50,0.3120,1.01,0.0,5.17e-16
60,0.3202,0.98,0.0,5.35e-16
70,0.3123,1.06,0.4,5.16e-16
80,0.3332,1.06,0.9,2.82e-16
90,0.3325,1.18,0.0,3.82e-16
100,0.3238,0.87,0.0,6.90e-16
110,0.3253,1.09,0.1,3.92e-16
120,0.3335,1.15,0.5,6.40e-16
130,0.3308,0.96,1.1,5.74e-16
140,0.3252,0.80,0.5,5.04e-16
150,0.3269,1.17,0.0,5.06e-16
160,0.3262,1.08,0.0,3.63e-16
170,0.3278,1.03,0.2,2.81e-16
180,0.3298,1.11,0.1,2.89e-16
190,0.3291,1.00,0.4,5.87e-16
200,0.3323,0.99,0.0,5.40e-16
210,0.3160,1.02,0.0,5.08e-16
220,0.3263,0.81,0.0,4.12e-16
230,0.3200,1.17,0.0,5.30e-16
240,0.3246,1.10,0.0,5.91e-16
250,0.3150,0.81,0.0,2.98e-16
260,0.3053,0.97,0.0,7.53e-16
270,0.3018,1.16,0.0,4.60e-16
280,0.3040,1.07,0.0,5.54e-16
290,0.3145,0.99,0.0,4.30e-16
300,0.2993,0.95,0.1,4.97e-16
310,0.2990,1.14,0.0,5.52e-16
320,0.2936,0.99,0.0,4.56e-16
330,0.2951,1.00,0.0,5.95e-16
340,0.2914,0.86,0.1,4.92e-16
350,0.2798,1.07,0.1,7.44e-16
360,0.2762,0.85,0.1,5.01e-16
370,0.2790,1.12,0.5,3.05e-16
380,0.2825,1.14,0.0,8.40e-16
390,0.2726,0.98,0.0,4.77e-16
400,0.2802,1.04,0.0,5.73e-16
410,0.2683,1.02,0.0,4.85e-16
420,0.2786,1.01,0.0,5.60e-16
430,0.2769,0.99,0.0,3.64e-16
440,0.2713,1.03,0.0,5.19e-16
450,0.2790,1.06,0.2,6.22e-16
460,0.2669,1.04,0.0,6.43e-16
470,0.2789,1.01,0.0,7.90e-16
480,0.2693,0.98,0.0,5.80e-16
490,0.2749,0.99,0.9,6.09e-16
500,0.2743,1.10,0.4,5.01e-16
510,0.2835,1.09,0.2,5.38e-16
520,0.2717,0.99,0.0,5.33e-16
530,0.2720,1.14,0.6,4.10e-16
540,0.2885,1.11,0.1,2.80e-16
550,0.2753,1.05,0.4,4.44e-16
560,0.2812,1.11,0.8,4.32e-16
570,0.2893,1.07,0.3,4.78e-16
580,0.2890,0.89,0.2,5.58e-16
590,0.2941,1.01,0.0,3.30e-16
600,0.2987,0.80,0.0,4.16e-16
610,0.2971,0.88,0.0,4.86e-16
620,0.2995,1.06,0.0,6.27e-16
630,0.3185,1.01,0.1,8.00e-16
640,0.3146,0.97,0.1,4.58e-16
650,0.3039,0.93,0.2,4.45e-16
660,0.3072,0.95,0.5,4.75e-16
670,0.3215,0.97,0.0,3.86e-16
680,0.3297,0.89,0.8,2.11e-16
690,0.3185,1.05,0.0,3.05e-16
700,0.3309,1.07,0.1,4.18e-16
710,0.3248,1.23,0.0,4.75e-16
720,0.3405,1.06,0.0,3.58e-16
730,0.3166,0.85,0.0,1.92e-16
740,0.3437,1.15,0.0,6.60e-16
750,0.3269,0.96,0.0,4.56e-16
760,0.3414,0.91,0.3,5.82e-16
770,0.3313,1.04,0.0,5.52e-16
780,0.3271,1.21,0.8,7.54e-16
790,0.3314,0.82,0.6,5.93e-16
800,0.3223,0.93,0.0,5.07e-16
810,0.3257,1.01,0.0,1.48e-16
820,0.3099,0.99,0.7,3.15e-16
830,0.3347,0.81,0.0,7.02e-16
840,0.3063,0.92,0.7,5.99e-16
850,0.3089,1.05,0.3,6.15e-16
860,0.3245,0.98,0.2,5.06e-16
870,0.3031,0.90,1.0,2.97e-16
880,0.3039,1.00,0.0,7.21e-16
890,0.3024,0.84,0.8,3.52e-16
900,0.2938,1.08,0.0,4.14e-16
910,0.2937,0.81,0.3,8.70e-16
920,0.2980,0.90,0.5,4.08e-16
930,0.2919,0.84,0.0,6.11e-16
940,0.2936,1.13,0.0,3.32e-16
950,0.2928,0.97,0.0,2.14e-16
960,0.2910,1.02,1.0,4.79e-16
970,0.2738,1.11,0.0,6.36e-16
980,0.2848,0.94,0.0,3.97e-16
990,0.2788,1.10,0.0,3.63e-16
1000,0.2746,1.12,0.0,6.41e-16
1010,0.2696,1.00,0.0,5.02e-16
1020,0.2653,1.07,0.0,6.35e-16
1030,0.2738,1.21,0.0,4.36e-16
1040,0.2673,0.87,0.0,5.96e-16
1050,0.2816,1.15,0.0,3.89e-16
1060,0.2696,0.97,0.0,4.20e-16
1070,0.2755,0.83,0.3,4.69e-16
1080,0.2817,1.09,0.5,5.25e-16
1090,0.2687,0.90,0.0,5.25e-16
1100,0.2686,1.18,0.0,6.08e-16
1110,0.2696,1.05,0.6,4.47e-16
1120,0.2745,1.00,0.7,3.67e-16
1130,0.2724,0.94,0.0,6.66e-16
1140,0.2715,0.96,0.0,5.24e-16
1150,0.2862,1.14,0.1,4.24e-16
1160,0.2873,0.94,0.0,3.95e-16
1170,0.2902,0.98,0.0,6.87e-16
1180,0.2943,0.95,0.0,5.18e-16
1190,0.2913,1.13,0.5,5.16e-16
1200,0.3007,1.11,1.0,4.38e-16
1210,0.2992,0.99,0.0,1.31e-16
1220,0.2984,0.99,0.0,5.94e-16
1230,0.3033,0.99,0.6,5.02e-16
1240,0.3191,0.98,0.0,1.66e-16
1250,0.3170,1.07,0.3,5.56e-16
1260,0.3207,1.00,0.0,5.05e-16
1270,0.3267,1.09,0.0,3.99e-16
1280,0.3162,1.04,0.0,4.30e-16
1290,0.3227,0.93,0.0,6.58e-16
1300,0.3197,1.02,0.6,3.09e-16
1310,0.3306,0.88,0.1,2.94e-16
1320,0.3237,0.98,0.0,6.42e-16
1330,0.3234,1.05,0.3,5.73e-16
1340,0.3229,1.02,0.0,4.95e-16
1350,0.3346,1.11,0.2,4.34e-16
1360,0.3312,1.14,0.0,7.05e-16
1370,0.3290,1.17,0.8,4.44e-16
1380,0.3297,0.96,0.0,3.72e-16
1390,0.3363,1.04,0.2,3.26e-16
1400,0.3200,1.18,0.8,6.19e-16
1410,0.3165,0.99,0.5,5.25e-16
1420,0.3214,1.06,0.0,6.64e-16
1430,0.3231,1.13,0.0,4.45e-16
1440,0.3156,1.01,0.0,6.41e-16
1450,0.3114,1.11,0.2,3.52e-16
1460,0.3146,0.95,1.2,5.87e-16
1470,0.3118,0.90,0.2,6.07e-16
1480,0.3093,1.07,0.0,5.30e-16
1490,0.3001,1.03,0.0,2.40e-16
1500,0.3027,1.03,0.4,5.34e-16
1510,0.2932,0.98,0.6,5.29e-16
1520,0.2904,1.04,0.1,4.66e-16
1530,0.2829,0.99,0.5,3.81e-16
1540,0.2897,1.13,0.7,1.92e-16
1550,0.2805,0.88,0.0,4.74e-16
1560,0.2829,1.07,0.0,2.72e-16
1570,0.2702,1.11,0.9,3.95e-16
1580,0.2764,1.12,0.0,3.09e-16
1590,0.2836,0.96,0.3,2.88e-16
1600,0.2779,0.89,0.1,4.46e-16
1610,0.2639,0.94,0.0,4.91e-16
1620,0.2768,1.17,0.8,4.34e-16
1630,0.2675,0.91,0.0,5.06e-16
1640,0.2736,1.18,0.0,5.91e-16
1650,0.2711,1.11,0.0,4.90e-16
1660,0.2721,1.16,0.0,5.12e-16
1670,0.2827,1.27,0.0,5.82e-16
1680,0.2727,0.88,0.0,4.85e-16
1690,0.2691,1.22,0.0,2.18e-16
1700,0.2823,0.97,0.0,7.02e-16
1710,0.2788,0.90,0.6,4.61e-16
1720,0.2693,0.83,0.6,5.24e-16
1730,0.2825,0.80,0.6,3.81e-16
1740,0.2915,1.14,0.0,4.63e-16
1750,0.2977,1.12,0.0,5.32e-16
1760,0.2947,1.05,0.2,5.55e-16
1770,0.2914,0.95,0.3,6.72e-16
1780,0.2948,1.13,0.5,5.74e-16
1790,0.2975,0.93,0.0,4.94e-16
1800,0.2944,1.07,0.2,5.03e-16
1810,0.3081,0.92,0.5,3.27e-16
1820,0.3033,1.02,0.5,8.80e-16
1830,0.3123,0.84,0.0,7.27e-16
1840,0.3217,1.03,0.0,4.30e-16
1850,0.3155,1.11,0.9,6.46e-16
1860,0.3167,1.01,0.3,4.46e-16
1870,0.3304,0.90,0.3,1.42e-16
1880,0.3162,0.92,0.0,5.50e-16
1890,0.3307,0.96,0.4,3.35e-16
1900,0.3267,1.01,0.0,5.42e-16
1910,0.3240,1.01,0.0,3.84e-16
1920,0.3324,0.99,0.0,6.30e-16
1930,0.3232,0.89,0.0,6.26e-16
1940,0.3270,1.06,0.3,4.61e-16
1950,0.3390,0.93,0.0,4.54e-16
1960,0.3217,1.01,0.0,6.16e-16
1970,0.3227,0.99,0.0,5.14e-16
1980,0.3380,1.01,0.0,4.55e-16
1990,0.3259,1.07,0.7,8.46e-16
2000,0.3190,0.92,0.0,4.57e-16
2010,0.3128,0.98,0.0,4.74e-16
2020,0.3229,1.11,1.7,4.21e-16
2030,0.3269,1.12,0.0,4.84e-16
2040,0.3215,0.95,0.0,5.02e-16
2050,0.3109,1.06,0.0,4.95e-16
2060,0.3055,1.16,0.4,5.04e-16
2070,0.2997,1.13,1.1,7.08e-16
2080,0.3159,1.06,0.0,2.06e-16
2090,0.3097,0.90,0.8,4.12e-16
