aspect_deg,rcs_m2,rcs_dbsm
0,0.036389,-14.39
1,0.036221,-14.41
2,0.035555,-14.49
3,0.035800,-14.46
4,0.035842,-14.46
5,0.035726,-14.47
6,0.035513,-14.50
7,0.035111,-14.55
8,0.034822,-14.58
9,0.034457,-14.63
10,0.034029,-14.68
11,0.033231,-14.78
12,0.033217,-14.79
13,0.032960,-14.82
14,0.032583,-14.87
15,0.031676,-14.99
16,0.030763,-15.12
17,0.030761,-15.12
18,0.030100,-15.21
19,0.029293,-15.33
20,0.028548,-15.44
21,0.028456,-15.46
22,0.027264,-15.64
23,0.026593,-15.75
24,0.026247,-15.81
25,0.025597,-15.92
26,0.024638,-16.08
27,0.023973,-16.20
28,0.023197,-16.35
29,0.022777,-16.43
30,0.022432,-16.49
31,0.021333,-16.71
32,0.021067,-16.76
33,0.019941,-17.00
34,0.019542,-17.09
35,0.018489,-17.33
36,0.018388,-17.35
37,0.017771,-17.50
38,0.016900,-17.72
39,0.016668,-17.78
40,0.016129,-17.92
41,0.015612,-18.07
42,0.015044,-18.23
43,0.014452,-18.40
44,0.014464,-18.40
45,0.014200,-18.48
46,0.013589,-18.67
47,0.013391,-18.73
48,0.013204,-18.79
49,0.012755,-18.94
50,0.012493,-19.03
51,0.012287,-19.11
52,0.012308,-19.10
53,0.011620,-19.35
54,0.011807,-19.28
55,0.012186,-19.14
56,0.012184,-19.14
57,0.011899,-19.25
58,0.011960,-19.22
59,0.012090,-19.18
60,0.011959,-19.22
61,0.012020,-19.20
62,0.012051,-19.19
63,0.012403,-19.06
64,0.012435,-19.05
65,0.012716,-18.96
66,0.012806,-18.93
67,0.012799,-18.93
68,0.013221,-18.79
69,0.013261,-18.77
70,0.013771,-18.61
71,0.013359,-18.74
72,0.013802,-18.60
73,0.013752,-18.62
74,0.013814,-18.60
75,0.014503,-18.39
76,0.014471,-18.40
77,0.014962,-18.25
78,0.015061,-18.22
79,0.015005,-18.24
80,0.014980,-18.24
81,0.015488,-18.10
82,0.015520,-18.09
83,0.015398,-18.13
84,0.015445,-18.11
85,0.015613,-18.07
86,0.015813,-18.01
87,0.016200,-17.90
88,0.015885,-17.99
89,0.015865,-18.00
90,0.016022,-17.95
91,0.016091,-17.93
92,0.016051,-17.94
93,0.016243,-17.89
94,0.015774,-18.02
95,0.015982,-17.96
96,0.015846,-18.00
97,0.015516,-18.09
98,0.015582,-18.07
99,0.015508,-18.09
100,0.015102,-18.21
101,0.015058,-18.22
102,0.014864,-18.28
103,0.014609,-18.35
104,0.014461,-18.40
105,0.014302,-18.45
106,0.014248,-18.46
107,0.013713,-18.63
108,0.013402,-18.73
109,0.013466,-18.71
110,0.013401,-18.73
111,0.013307,-18.76
112,0.012566,-19.01
113,0.012770,-18.94
114,0.012917,-18.89
115,0.012562,-19.01
116,0.012347,-19.08
117,0.012090,-19.18
118,0.012060,-19.19
119,0.012142,-19.16
120,0.011986,-19.21
121,0.011948,-19.23
122,0.012145,-19.16
123,0.012208,-19.13
124,0.011705,-19.32
125,0.011894,-19.25
126,0.012258,-19.12
127,0.012164,-19.15
128,0.012324,-19.09
129,0.012252,-19.12
130,0.013018,-18.85
131,0.013444,-18.71
132,0.013036,-18.85
133,0.013622,-18.66
134,0.013684,-18.64
135,0.013973,-18.55
136,0.014203,-18.48
137,0.014442,-18.40
138,0.015288,-18.16
139,0.015733,-18.03
140,0.015989,-17.96
141,0.016641,-17.79
142,0.017376,-17.60
143,0.017558,-17.56
144,0.018387,-17.35
145,0.019013,-17.21
146,0.019159,-17.18
147,0.019834,-17.03
148,0.020691,-16.84
149,0.021357,-16.70
150,0.021859,-16.60
151,0.022442,-16.49
152,0.023777,-16.24
153,0.023874,-16.22
154,0.024780,-16.06
155,0.025769,-15.89
156,0.026034,-15.84
157,0.026690,-15.74
158,0.027467,-15.61
159,0.028238,-15.49
160,0.028770,-15.41
161,0.029252,-15.34
162,0.029916,-15.24
163,0.030423,-15.17
164,0.030891,-15.10
165,0.031391,-15.03
166,0.032301,-14.91
167,0.032701,-14.85
168,0.033296,-14.78
169,0.033657,-14.73
170,0.033945,-14.69
171,0.034411,-14.63
172,0.034858,-14.58
173,0.035186,-14.54
174,0.035610,-14.48
175,0.035250,-14.53
176,0.035287,-14.52
177,0.036233,-14.41
178,0.035789,-14.46
179,0.035753,-14.47
180,0.036168,-14.42
181,0.035933,-14.45
182,0.036052,-14.43
183,0.035681,-14.48
184,0.035467,-14.50
185,0.035816,-14.46
186,0.035339,-14.52
187,0.034880,-14.57
188,0.034811,-14.58
189,0.034075,-14.68
190,0.033804,-14.71
191,0.033916,-14.70
192,0.032690,-14.86
193,0.032553,-14.87
194,0.031757,-14.98
195,0.031562,-15.01
196,0.031170,-15.06
197,0.030540,-15.15
198,0.030036,-15.22
199,0.029522,-15.30
200,0.028498,-15.45
201,0.027928,-15.54
202,0.027790,-15.56
203,0.026608,-15.75
204,0.026049,-15.84
205,0.025645,-15.91
206,0.024662,-16.08
207,0.024278,-16.15
208,0.023290,-16.33
209,0.023015,-16.38
210,0.021910,-16.59
211,0.021595,-16.66
212,0.020367,-16.91
213,0.019899,-17.01
214,0.019837,-17.03
215,0.018877,-17.24
216,0.018026,-17.44
217,0.017735,-17.51
218,0.017167,-17.65
219,0.016485,-17.83
220,0.016200,-17.90
221,0.015508,-18.09
