aspect_deg,rcs_m2,rcs_dbsm
0,0.017890,-17.47
1,0.018055,-17.43
2,0.017985,-17.45
3,0.017909,-17.47
4,0.017868,-17.48
5,0.017789,-17.50
6,0.017569,-17.55
7,0.017351,-17.61
8,0.017251,-17.63
9,0.017073,-17.68
10,0.017042,-17.68
11,0.016773,-17.75
12,0.016623,-17.79
13,0.016344,-17.87
14,0.016089,-17.93
15,0.015744,-18.03
16,0.015763,-18.02
17,0.015149,-18.20
18,0.014667,-18.34
19,0.014709,-18.32
20,0.014472,-18.39
21,0.014068,-18.52
22,0.013679,-18.64
23,0.013337,-18.75
24,0.013066,-18.84
25,0.012610,-18.99
26,0.012319,-19.09
27,0.011948,-19.23
28,0.011622,-19.35
29,0.011320,-19.46
30,0.010913,-19.62
31,0.010688,-19.71
32,0.010310,-19.87
33,0.010202,-19.91
34,0.009698,-20.13
35,0.009299,-20.32
36,0.009184,-20.37
37,0.008890,-20.51
38,0.008565,-20.67
39,0.008368,-20.77
40,0.008056,-20.94
41,0.007845,-21.05
42,0.007525,-21.24
43,0.007414,-21.30
44,0.007140,-21.46
45,0.007079,-21.50
46,0.006892,-21.62
47,0.006625,-21.79
48,0.006547,-21.84
49,0.006451,-21.90
50,0.006317,-21.99
51,0.006126,-22.13
52,0.006075,-22.16
53,0.006080,-22.16
54,0.005978,-22.23
55,0.005943,-22.26
56,0.005945,-22.26
57,0.005916,-22.28
58,0.005938,-22.26
59,0.005961,-22.25
60,0.005938,-22.26
61,0.006009,-22.21
62,0.006058,-22.18
63,0.006125,-22.13
64,0.006244,-22.05
65,0.006261,-22.03
66,0.006324,-21.99
67,0.006496,-21.87
68,0.006538,-21.85
69,0.006554,-21.84
70,0.006644,-21.78
71,0.006797,-21.68
72,0.006893,-21.62
73,0.007115,-21.48
74,0.007138,-21.46
75,0.007231,-21.41
76,0.007126,-21.47
77,0.007354,-21.33
78,0.007466,-21.27
79,0.007454,-21.28
80,0.007592,-21.20
81,0.007644,-21.17
82,0.007799,-21.08
83,0.007864,-21.04
84,0.007841,-21.06
85,0.007822,-21.07
86,0.007952,-21.00
87,0.007945,-21.00
88,0.008153,-20.89
89,0.007887,-21.03
90,0.008028,-20.95
91,0.008097,-20.92
92,0.007885,-21.03
93,0.007881,-21.03
94,0.007975,-20.98
95,0.007757,-21.10
96,0.007920,-21.01
97,0.007853,-21.05
98,0.007810,-21.07
99,0.007663,-21.16
100,0.007651,-21.16
101,0.007488,-21.26
102,0.007448,-21.28
103,0.007316,-21.36
104,0.007200,-21.43
105,0.007176,-21.44
106,0.007179,-21.44
107,0.006905,-21.61
108,0.006722,-21.73
109,0.006824,-21.66
110,0.006642,-21.78
111,0.006641,-21.78
112,0.006405,-21.93
113,0.006287,-22.02
114,0.006241,-22.05
