aspect_deg,rcs_m2,rcs_dbsm
0,0.005407,-22.67
1,0.005394,-22.68
2,0.005380,-22.69
3,0.005374,-22.70
4,0.005355,-22.71
5,0.005323,-22.74
6,0.005302,-22.76
7,0.005247,-22.80
8,0.005200,-22.84
9,0.005165,-22.87
10,0.005105,-22.92
11,0.005038,-22.98
12,0.004979,-23.03
13,0.004914,-23.09
14,0.004831,-23.16
15,0.004757,-23.23
16,0.004667,-23.31
17,0.004588,-23.38
18,0.004481,-23.49
19,0.004395,-23.57
20,0.004309,-23.66
21,0.004211,-23.76
22,0.004101,-23.87
23,0.004017,-23.96
24,0.003912,-24.08
25,0.003804,-24.20
26,0.003704,-24.31
27,0.003607,-24.43
28,0.003504,-24.55
29,0.003400,-24.69
30,0.003301,-24.81
31,0.003203,-24.94
32,0.003120,-25.06
33,0.003007,-25.22
34,0.002913,-25.36
35,0.002829,-25.48
36,0.002746,-25.61
37,0.002649,-25.77
38,0.002551,-25.93
39,0.002492,-26.03
40,0.002409,-26.18
41,0.002342,-26.31
42,0.002270,-26.44
43,0.002210,-26.56
44,0.002148,-26.68
45,0.002097,-26.78
46,0.002043,-26.90
47,0.002005,-26.98
48,0.001971,-27.05
49,0.001924,-27.16
50,0.001891,-27.23
51,0.001877,-27.27
52,0.001853,-27.32
53,0.001836,-27.36
54,0.001799,-27.45
55,0.001803,-27.44
56,0.001785,-27.48
57,0.001786,-27.48
58,0.001779,-27.50
59,0.001797,-27.45
60,0.001812,-27.42
61,0.001817,-27.41
62,0.001829,-27.38
63,0.001835,-27.36
64,0.001855,-27.32
65,0.001877,-27.27
66,0.001904,-27.20
67,0.001922,-27.16
68,0.001951,-27.10
69,0.001975,-27.04
70,0.001992,-27.01
71,0.002040,-26.90
72,0.002068,-26.84
73,0.002091,-26.80
74,0.002118,-26.74
75,0.002148,-26.68
76,0.002176,-26.62
77,0.002200,-26.58
78,0.002230,-26.52
79,0.002265,-26.45
80,0.002272,-26.44
81,0.002300,-26.38
82,0.002324,-26.34
83,0.002341,-26.31
84,0.002350,-26.29
85,0.002360,-26.27
86,0.002379,-26.24
87,0.002385,-26.22
88,0.002405,-26.19
89,0.002399,-26.20
90,0.002411,-26.18
91,0.002390,-26.22
92,0.002395,-26.21
93,0.002395,-26.21
94,0.002379,-26.24
95,0.002380,-26.23
96,0.002349,-26.29
97,0.002345,-26.30
98,0.002327,-26.33
99,0.002299,-26.39
100,0.002280,-26.42
101,0.002261,-26.46
102,0.002231,-26.51
103,0.002211,-26.55
104,0.002179,-26.62
105,0.002146,-26.68
106,0.002129,-26.72
107,0.002096,-26.79
108,0.002071,-26.84
109,0.002029,-26.93
110,0.002012,-26.96
111,0.001981,-27.03
112,0.001952,-27.10
113,0.001931,-27.14
114,0.001915,-27.18
115,0.001870,-27.28
116,0.001861,-27.30
117,0.001833,-27.37
118,0.001832,-27.37
119,0.001817,-27.41
120,0.001806,-27.43
121,0.001795,-27.46
122,0.001795,-27.46
123,0.001785,-27.48
124,0.001784,-27.49
125,0.001791,-27.47
126,0.001816,-27.41
127,0.001819,-27.40
128,0.001846,-27.34
129,0.001861,-27.30
130,0.001891,-27.23
131,0.001926,-27.15
132,0.001971,-27.05
133,0.002011,-26.97
134,0.002062,-26.86
135,0.002105,-26.77
136,0.002156,-26.66
137,0.002210,-26.56
138,0.002283,-26.42
139,0.002348,-26.29
140,0.002412,-26.18
141,0.002486,-26.05
142,0.002566,-25.91
143,0.002641,-25.78
144,0.002722,-25.65
145,0.002827,-25.49
146,0.002915,-25.35
147,0.003011,-25.21
148,0.003110,-25.07
149,0.003196,-24.95
150,0.003296,-24.82
151,0.003398,-24.69
152,0.003508,-24.55
153,0.003613,-24.42
154,0.003709,-24.31
155,0.003809,-24.19
156,0.003906,-24.08
157,0.004009,-23.97
158,0.004101,-23.87
159,0.004215,-23.75
160,0.004312,-23.65
161,0.004398,-23.57
162,0.004489,-23.48
163,0.004574,-23.40
164,0.004666,-23.31
165,0.004739,-23.24
166,0.004835,-23.16
167,0.004893,-23.10
168,0.004969,-23.04
169,0.005033,-22.98
170,0.005094,-22.93
171,0.005149,-22.88
172,0.005212,-22.83
173,0.005247,-22.80
174,0.005292,-22.76
175,0.005328,-22.73
176,0.005349,-22.72
177,0.005373,-22.70
178,0.005393,-22.68
179,0.005395,-22.68
180,0.005398,-22.68
181,0.005406,-22.67
182,0.005386,-22.69
183,0.005369,-22.70
184,0.005356,-22.71
185,0.005323,-22.74
186,0.005290,-22.77
187,0.005253,-22.80
188,0.005200,-22.84
189,0.005149,-22.88
190,0.005095,-22.93
191,0.005032,-22.98
192,0.004976,-23.03
193,0.004897,-23.10
194,0.004824,-23.17
195,0.004749,-23.23
196,0.004666,-23.31
197,0.004577,-23.39
198,0.004485,-23.48
199,0.004391,-23.57
200,0.004301,-23.66
201,0.004205,-23.76
202,0.004118,-23.85
203,0.004012,-23.97
204,0.003910,-24.08
205,0.003810,-24.19
206,0.003710,-24.31
207,0.003603,-24.43
208,0.003496,-24.56
209,0.003401,-24.68
210,0.003307,-24.81
211,0.003216,-24.93
212,0.003095,-25.09
213,0.003001,-25.23
214,0.002908,-25.36
215,0.002822,-25.49
216,0.002734,-25.63
217,0.002638,-25.79
218,0.002582,-25.88
219,0.002508,-26.01
220,0.002408,-26.18
221,0.002339,-26.31
222,0.002276,-26.43
223,0.002210,-26.56
224,0.002157,-26.66
225,0.002102,-26.77
226,0.002053,-26.88
227,0.002001,-26.99
228,0.001952,-27.10
229,0.001932,-27.14
230,0.001892,-27.23
231,0.001864,-27.30
232,0.001844,-27.34
233,0.001826,-27.39
234,0.001789,-27.47
235,0.001777,-27.50
236,0.001801,-27.45
237,0.001788,-27.48
238,0.001790,-27.47
239,0.001796,-27.46
240,0.001799,-27.45
241,0.001814,-27.41
242,0.001827,-27.38
243,0.001846,-27.34
244,0.001875,-27.27
245,0.001882,-27.25
246,0.001900,-27.21
247,0.001936,-27.13
248,0.001953,-27.09
249,0.001986,-27.02
250,0.002017,-26.95
251,0.002035,-26.91
252,0.002063,-26.85
253,0.002092,-26.80
254,0.002127,-26.72
255,0.002154,-26.67
256,0.002180,-26.62
257,0.002195,-26.58
258,0.002227,-26.52
259,0.002253,-26.47
260,0.002274,-26.43
261,0.002312,-26.36
262,0.002330,-26.33
263,0.002344,-26.30
264,0.002358,-26.27
265,0.002365,-26.26
266,0.002384,-26.23
267,0.002396,-26.21
268,0.002388,-26.22
269,0.002391,-26.21
270,0.002396,-26.21
271,0.002404,-26.19
272,0.002394,-26.21
273,0.002373,-26.25
274,0.002377,-26.24
275,0.002369,-26.26
276,0.002357,-26.28
277,0.002338,-26.31
278,0.002321,-26.34
279,0.002295,-26.39
280,0.002284,-26.41
281,0.002260,-26.46
282,0.002234,-26.51
283,0.002197,-26.58
284,0.002173,-26.63
285,0.002159,-26.66
286,0.002121,-26.73
287,0.002090,-26.80
288,0.002059,-26.86
289,0.002049,-26.88
290,0.002002,-26.99
291,0.001974,-27.05
292,0.001953,-27.09
293,0.001930,-27.14
294,0.001906,-27.20
295,0.001883,-27.25
296,0.001870,-27.28
297,0.001836,-27.36
298,0.001826,-27.38
299,0.001813,-27.42
300,0.001791,-27.47
301,0.001789,-27.47
302,0.001792,-27.47
303,0.001800,-27.45
304,0.001795,-27.46
305,0.001798,-27.45
306,0.001809,-27.43
307,0.001830,-27.38
308,0.001835,-27.36
309,0.001860,-27.31
310,0.001894,-27.23
311,0.001932,-27.14
312,0.001962,-27.07
313,0.002003,-26.98
314,0.002054,-26.87
315,0.002105,-26.77
316,0.002152,-26.67
317,0.002214,-26.55
318,0.002280,-26.42
319,0.002356,-26.28
320,0.002423,-26.16
321,0.002500,-26.02
322,0.002566,-25.91
323,0.002650,-25.77
324,0.002738,-25.63
325,0.002825,-25.49
326,0.002918,-25.35
327,0.003000,-25.23
328,0.003105,-25.08
329,0.003204,-24.94
330,0.003308,-24.80
331,0.003408,-24.68
332,0.003508,-24.55
333,0.003600,-24.44
334,0.003702,-24.32
335,0.003807,-24.19
336,0.003910,-24.08
337,0.004009,-23.97
338,0.004118,-23.85
339,0.004218,-23.75
340,0.004307,-23.66
341,0.004401,-23.56
342,0.004485,-23.48
343,0.004592,-23.38
344,0.004657,-23.32
345,0.004756,-23.23
346,0.004825,-23.17
347,0.004886,-23.11
348,0.004977,-23.03
349,0.005025,-22.99
350,0.005095,-22.93
351,0.005156,-22.88
352,0.005196,-22.84
353,0.005255,-22.79
354,0.005300,-22.76
355,0.005327,-22.74
356,0.005353,-22.71
357,0.005362,-22.71
358,0.005388,-22.69
359,0.005400,-22.68
