aspect_deg,rcs_m2,rcs_dbsm
0,0.008974,-20.47
1,0.008985,-20.46
2,0.008983,-20.47
3,0.008953,-20.48
4,0.008926,-20.49
5,0.008894,-20.51
6,0.008815,-20.55
7,0.008734,-20.59
8,0.008696,-20.61
9,0.008627,-20.64
10,0.008488,-20.71
11,0.008420,-20.75
12,0.008281,-20.82
13,0.008160,-20.88
14,0.008061,-20.94
15,0.007911,-21.02
16,0.007795,-21.08
17,0.007641,-21.17
18,0.007468,-21.27
19,0.007310,-21.36
20,0.007171,-21.44
21,0.007018,-21.54
22,0.006834,-21.65
23,0.006679,-21.75
24,0.006514,-21.86
25,0.006355,-21.97
26,0.006179,-22.09
27,0.006014,-22.21
28,0.005821,-22.35
29,0.005698,-22.44
30,0.005494,-22.60
31,0.005332,-22.73
32,0.005170,-22.87
33,0.005028,-22.99
34,0.004835,-23.16
35,0.004721,-23.26
36,0.004568,-23.40
37,0.004420,-23.55
38,0.004257,-23.71
39,0.004128,-23.84
40,0.004011,-23.97
41,0.003899,-24.09
42,0.003795,-24.21
43,0.003708,-24.31
44,0.003585,-24.46
45,0.003462,-24.61
46,0.003417,-24.66
47,0.003332,-24.77
48,0.003269,-24.86
49,0.003200,-24.95
50,0.003157,-25.01
51,0.003098,-25.09
52,0.003069,-25.13
53,0.003028,-25.19
54,0.003022,-25.20
55,0.002989,-25.24
56,0.002981,-25.26
57,0.002987,-25.25
58,0.002999,-25.23
59,0.002979,-25.26
60,0.003017,-25.20
61,0.003022,-25.20
62,0.003005,-25.22
63,0.003088,-25.10
64,0.003083,-25.11
65,0.003117,-25.06
66,0.003171,-24.99
67,0.003241,-24.89
68,0.003274,-24.85
69,0.003279,-24.84
70,0.003358,-24.74
71,0.003392,-24.70
72,0.003440,-24.63
73,0.003505,-24.55
74,0.003547,-24.50
75,0.003567,-24.48
76,0.003645,-24.38
77,0.003691,-24.33
78,0.003725,-24.29
79,0.003758,-24.25
80,0.003795,-24.21
81,0.003847,-24.15
82,0.003893,-24.10
83,0.003896,-24.09
84,0.003931,-24.06
85,0.003963,-24.02
86,0.003977,-24.00
87,0.003986,-23.99
88,0.004021,-23.96
89,0.003994,-23.99
90,0.004025,-23.95
91,0.004000,-23.98
92,0.003972,-24.01
93,0.003993,-23.99
94,0.003967,-24.02
95,0.003950,-24.03
96,0.003938,-24.05
97,0.003909,-24.08
98,0.003871,-24.12
99,0.003794,-24.21
100,0.003828,-24.17
101,0.003771,-24.24
102,0.003707,-24.31
103,0.003666,-24.36
104,0.003633,-24.40
105,0.003590,-24.45
106,0.003530,-24.52
107,0.003461,-24.61
108,0.003436,-24.64
109,0.003366,-24.73
110,0.003342,-24.76
111,0.003291,-24.83
112,0.003244,-24.89
113,0.003207,-24.94
114,0.003183,-24.97
115,0.003157,-25.01
116,0.003092,-25.10
117,0.003072,-25.13
118,0.003065,-25.14
119,0.003014,-25.21
120,0.002997,-25.23
121,0.003018,-25.20
122,0.002972,-25.27
123,0.002997,-25.23
124,0.002997,-25.23
125,0.002992,-25.24
126,0.003045,-25.16
127,0.003002,-25.23
128,0.003054,-25.15
129,0.003144,-25.03
130,0.003157,-25.01
131,0.003213,-24.93
132,0.003277,-24.85
133,0.003314,-24.80
134,0.003433,-24.64
135,0.003519,-24.54
136,0.003586,-24.45
137,0.003690,-24.33
138,0.003815,-24.18
139,0.003905,-24.08
140,0.004005,-23.97
141,0.004151,-23.82
142,0.004267,-23.70
143,0.004433,-23.53
144,0.004540,-23.43
145,0.004680,-23.30
146,0.004837,-23.15
147,0.005015,-23.00
148,0.005176,-22.86
149,0.005339,-22.73
150,0.005502,-22.59
151,0.005664,-22.47
152,0.005874,-22.31
153,0.005995,-22.22
154,0.006182,-22.09
155,0.006348,-21.97
156,0.006519,-21.86
157,0.006669,-21.76
158,0.006847,-21.65
159,0.007010,-21.54
160,0.007154,-21.45
161,0.007322,-21.35
162,0.007475,-21.26
163,0.007638,-21.17
164,0.007782,-21.09
165,0.007918,-21.01
166,0.008029,-20.95
167,0.008168,-20.88
168,0.008312,-20.80
169,0.008393,-20.76
170,0.008488,-20.71
171,0.008599,-20.66
172,0.008671,-20.62
173,0.008749,-20.58
174,0.008818,-20.55
175,0.008890,-20.51
176,0.008917,-20.50
177,0.008953,-20.48
178,0.008996,-20.46
179,0.009015,-20.45
180,0.009002,-20.46
181,0.008999,-20.46
182,0.008971,-20.47
183,0.008947,-20.48
184,0.008911,-20.50
185,0.008864,-20.52
186,0.008817,-20.55
187,0.008769,-20.57
188,0.008677,-20.62
189,0.008584,-20.66
190,0.008533,-20.69
191,0.008368,-20.77
192,0.008297,-20.81
193,0.008172,-20.88
194,0.008015,-20.96
195,0.007918,-21.01
196,0.007776,-21.09
197,0.007617,-21.18
198,0.007494,-21.25
199,0.007306,-21.36
200,0.007188,-21.43
201,0.007012,-21.54
202,0.006857,-21.64
203,0.006681,-21.75
204,0.006546,-21.84
205,0.006334,-21.98
206,0.006167,-22.10
207,0.005981,-22.23
208,0.005812,-22.36
209,0.005677,-22.46
210,0.005502,-22.59
211,0.005329,-22.73
212,0.005181,-22.86
213,0.005005,-23.01
214,0.004883,-23.11
215,0.004715,-23.26
216,0.004555,-23.41
217,0.004420,-23.55
218,0.004300,-23.67
219,0.004156,-23.81
220,0.004043,-23.93
221,0.003930,-24.06
222,0.003784,-24.22
223,0.003716,-24.30
224,0.003611,-24.42
225,0.003448,-24.62
226,0.003430,-24.65
227,0.003340,-24.76
228,0.003274,-24.85
229,0.003221,-24.92
230,0.003163,-25.00
231,0.003104,-25.08
232,0.003069,-25.13
233,0.003046,-25.16
234,0.003024,-25.19
235,0.003001,-25.23
236,0.002973,-25.27
237,0.002972,-25.27
238,0.002957,-25.29
239,0.002996,-25.24
240,0.002993,-25.24
241,0.003022,-25.20
242,0.003016,-25.21
243,0.003062,-25.14
244,0.003118,-25.06
245,0.003126,-25.05
246,0.003191,-24.96
247,0.003220,-24.92
248,0.003272,-24.85
249,0.003288,-24.83
250,0.003363,-24.73
251,0.003432,-24.64
252,0.003445,-24.63
253,0.003486,-24.58
254,0.003547,-24.50
255,0.003601,-24.44
256,0.003637,-24.39
257,0.003689,-24.33
258,0.003726,-24.29
259,0.003782,-24.22
260,0.003782,-24.22
261,0.003823,-24.18
262,0.003853,-24.14
263,0.003896,-24.09
264,0.003937,-24.05
265,0.003958,-24.03
266,0.003934,-24.05
267,0.003981,-24.00
268,0.004010,-23.97
269,0.004006,-23.97
270,0.004020,-23.96
271,0.003990,-23.99
272,0.003965,-24.02
273,0.003963,-24.02
274,0.003946,-24.04
275,0.003924,-24.06
276,0.003927,-24.06
277,0.003908,-24.08
278,0.003883,-24.11
279,0.003855,-24.14
280,0.003773,-24.23
281,0.003744,-24.27
282,0.003706,-24.31
283,0.003659,-24.37
284,0.003606,-24.43
285,0.003607,-24.43
286,0.003533,-24.52
287,0.003482,-24.58
288,0.003450,-24.62
289,0.003392,-24.69
290,0.003368,-24.73
291,0.003307,-24.81
292,0.003247,-24.89
293,0.003252,-24.88
294,0.003185,-24.97
295,0.003136,-25.04
296,0.003102,-25.08
297,0.003072,-25.13
298,0.003038,-25.17
299,0.003021,-25.20
300,0.002988,-25.25
301,0.003009,-25.22
302,0.003011,-25.21
303,0.002962,-25.28
304,0.002966,-25.28
305,0.002993,-25.24
306,0.003006,-25.22
307,0.003048,-25.16
308,0.003089,-25.10
309,0.003093,-25.10
310,0.003169,-24.99
311,0.003228,-24.91
312,0.003262,-24.86
313,0.003351,-24.75
314,0.003429,-24.65
315,0.003495,-24.57
316,0.003597,-24.44
317,0.003691,-24.33
318,0.003775,-24.23
319,0.003900,-24.09
320,0.004034,-23.94
321,0.004164,-23.81
322,0.004294,-23.67
323,0.004414,-23.55
324,0.004548,-23.42
325,0.004696,-23.28
326,0.004865,-23.13
327,0.004997,-23.01
328,0.005181,-22.86
329,0.005331,-22.73
330,0.005501,-22.60
331,0.005639,-22.49
332,0.005844,-22.33
333,0.005990,-22.23
334,0.006179,-22.09
335,0.006348,-21.97
336,0.006534,-21.85
337,0.006707,-21.73
338,0.006838,-21.65
339,0.007000,-21.55
340,0.007162,-21.45
341,0.007349,-21.34
342,0.007508,-21.25
343,0.007649,-21.16
344,0.007797,-21.08
345,0.007915,-21.02
346,0.008028,-20.95
347,0.008150,-20.89
348,0.008292,-20.81
349,0.008407,-20.75
350,0.008466,-20.72
351,0.008546,-20.68
352,0.008665,-20.62
353,0.008754,-20.58
354,0.008852,-20.53
355,0.008866,-20.52
356,0.008925,-20.49
357,0.008972,-20.47
358,0.008969,-20.47
359,0.009016,-20.45
