time_s,x_m,y_m,z_m,range_m,v_radial_mps,azimuth_deg,elevation_deg,rcs_m2
0.000,151.421,19.911,49.952,160.686,58.769,7.491,18.112,0.012030
0.100,152.744,20.483,50.451,162.160,20.018,7.638,18.127,0.015573
0.200,153.074,21.164,50.513,162.576,18.632,7.872,18.102,0.000021
0.300,154.219,21.401,50.918,163.811,13.475,7.901,18.110,0.001668
0.400,154.833,21.761,51.213,164.528,7.231,8.000,18.136,0.026881
0.500,155.970,22.215,51.379,165.710,17.854,8.106,18.062,0.001356
0.600,156.917,22.500,51.896,166.800,18.867,8.160,18.127,0.012915
0.700,157.581,22.646,52.170,167.530,17.923,8.178,18.144,0.002269
0.800,158.706,22.322,52.441,168.630,10.456,8.006,18.118,0.001396
0.900,159.563,22.475,52.473,169.466,-4.316,8.018,18.037,0.002757
1.000,160.317,22.363,53.078,170.349,-17.143,7.941,18.155,0.005783
1.100,161.404,22.076,53.134,171.352,-15.478,7.788,18.064,0.000998
1.200,161.779,20.997,53.757,171.765,3.072,7.395,18.238,0.000986
1.300,162.660,20.850,53.935,172.633,-11.733,7.304,18.206,0.021232
1.400,163.509,20.200,54.092,173.405,12.828,7.043,18.176,0.027520
1.500,164.681,19.686,54.361,174.535,26.478,6.817,18.147,0.017384
1.600,165.035,18.791,54.718,174.882,10.677,6.496,18.233,0.015369
1.700,166.094,17.743,55.018,175.867,-7.538,6.097,18.231,0.012714
1.800,166.829,16.780,55.336,176.565,12.689,5.744,18.264,0.008157
1.900,167.899,15.646,55.621,177.563,22.189,5.324,18.255,0.003209
2.000,168.498,13.973,55.949,178.093,20.630,4.741,18.310,0.014776
2.100,169.542,12.786,56.199,179.071,29.122,4.313,18.291,0.001233
2.200,169.922,11.456,56.414,179.408,-16.268,3.857,18.327,0.000935
2.300,170.767,10.084,56.544,180.167,-11.830,3.379,18.291,0.004378
2.400,171.211,8.443,56.814,180.589,11.207,2.823,18.337,0.000141
2.500,171.462,7.401,57.059,180.859,6.873,2.471,18.391,0.011291
2.600,172.761,5.545,57.491,182.160,9.421,1.838,18.398,0.001234
2.700,173.477,4.067,57.639,182.847,15.034,1.343,18.375,0.008896
2.800,173.883,2.175,57.880,183.276,4.425,0.717,18.410,0.015062
2.900,173.952,0.881,58.257,183.450,6.729,0.290,18.516,0.010597
3.000,175.235,-0.897,58.460,184.732,-3.969,-0.293,18.449,0.012383
3.100,175.587,-2.331,58.676,185.146,21.414,-0.760,18.477,0.003371
3.200,176.019,-3.784,58.990,185.679,1.325,-1.232,18.524,0.006688
3.300,176.676,-4.850,59.127,186.371,10.980,-1.573,18.497,0.008099
3.400,177.302,-6.927,59.383,187.111,10.250,-2.237,18.504,0.012187
3.500,177.340,-8.177,59.618,187.272,-16.985,-2.640,18.563,0.000293
3.600,177.715,-9.316,59.969,187.792,1.973,-3.001,18.623,0.005775
3.700,178.719,-10.215,60.135,188.841,-29.117,-3.271,18.569,0.011049
3.800,179.116,-11.147,60.269,189.313,2.918,-3.561,18.564,0.017459
3.900,179.393,-12.524,60.469,189.724,-6.674,-3.994,18.586,0.004178
4.000,179.502,-13.354,60.812,189.993,5.576,-4.255,18.668,0.005097
4.100,179.703,-13.818,61.234,190.352,22.236,-4.397,18.765,0.000536
4.200,180.091,-14.992,61.105,190.765,-9.043,-4.759,18.682,0.002368
4.300,180.101,-15.570,61.328,190.893,14.781,-4.941,18.740,0.010377
4.400,180.838,-15.600,61.521,191.652,13.525,-4.930,18.724,0.010194
4.500,180.847,-16.316,61.797,191.809,-6.451,-5.155,18.795,0.009738
4.600,181.318,-16.741,61.908,192.326,-8.054,-5.275,18.777,0.006274
4.700,181.104,-16.999,62.109,192.211,15.581,-5.362,18.852,0.004232
4.800,181.460,-17.696,62.338,192.683,-17.212,-5.570,18.876,0.026838
4.900,181.514,-17.087,62.450,192.715,14.121,-5.378,18.908,0.001024
5.000,181.689,-17.491,62.804,193.032,15.651,-5.499,18.987,0.012169
5.100,181.953,-17.496,62.792,193.276,12.976,-5.493,18.958,0.004040
5.200,181.484,-17.072,62.956,192.851,20.223,-5.374,19.053,0.002187
5.300,181.500,-17.439,63.079,192.938,2.532,-5.488,19.083,0.000531
5.400,181.575,-16.912,63.255,193.020,0.531,-5.321,19.130,0.008861
5.500,181.069,-16.973,63.374,192.589,17.793,-5.355,19.212,0.037851
5.600,181.383,-16.748,63.417,192.879,13.064,-5.276,19.196,0.021650
5.700,181.317,-16.639,63.972,192.990,-5.929,-5.243,19.359,0.001758
5.800,180.954,-16.245,63.771,192.549,-26.057,-5.130,19.341,0.007394
5.900,181.437,-16.099,63.921,193.040,2.972,-5.071,19.337,0.031577
6.000,180.634,-15.835,64.028,192.299,4.168,-5.010,19.449,0.008284
6.100,180.415,-15.706,64.014,192.079,16.598,-4.975,19.467,0.000063
6.200,180.151,-15.381,64.276,191.892,-20.835,-4.880,19.570,0.004855
6.300,180.018,-15.149,64.357,191.775,-4.501,-4.810,19.608,0.026717
6.400,179.965,-14.825,64.300,191.681,7.837,-4.709,19.600,0.011128
6.500,179.147,-14.944,64.410,190.960,-16.720,-4.768,19.712,0.001323
6.600,178.941,-14.505,64.564,190.785,18.494,-4.634,19.780,0.020974
6.700,178.480,-14.881,64.335,190.304,-12.336,-4.766,19.759,0.012850
6.800,178.724,-14.586,64.712,190.637,-5.710,-4.666,19.843,0.019138
6.900,177.751,-14.319,64.655,189.686,-15.449,-4.605,19.929,0.017213
7.000,177.528,-14.468,64.789,189.534,12.626,-4.659,19.989,0.001793
7.100,176.811,-14.197,64.808,188.849,-6.389,-4.591,20.070,0.003394
7.200,176.817,-14.500,64.884,188.904,-28.443,-4.688,20.089,0.010440
7.300,175.751,-14.468,65.006,187.946,-10.576,-4.706,20.235,0.007029
7.400,175.308,-14.077,64.702,187.397,-16.607,-4.591,20.198,0.004065
7.500,174.572,-14.239,64.972,186.814,-9.838,-4.663,20.352,0.001908
7.600,174.590,-14.130,65.256,186.922,-1.768,-4.627,20.433,0.018140
7.700,173.709,-14.177,65.039,186.027,-11.203,-4.666,20.464,0.003597
7.800,172.980,-14.375,64.966,185.336,-15.154,-4.750,20.520,0.009932
7.900,172.008,-13.888,64.869,184.358,1.125,-4.616,20.602,0.002575
8.000,171.742,-14.058,64.889,184.130,-32.992,-4.679,20.635,0.006829
8.100,171.040,-13.901,65.066,183.525,-3.783,-4.646,20.765,0.008382
8.200,170.505,-13.536,64.971,182.965,-16.066,-4.539,20.799,0.003002
8.300,169.884,-13.318,64.864,182.333,6.242,-4.482,20.839,0.001076
8.400,168.486,-12.723,64.907,181.004,-17.780,-4.318,21.014,0.005759
8.500,168.033,-12.467,64.889,180.557,-28.709,-4.243,21.062,0.002438
8.600,167.572,-12.356,64.755,180.073,-27.079,-4.217,21.076,0.014918
8.700,166.712,-11.743,64.972,179.310,-20.817,-4.029,21.244,0.001181
8.800,165.850,-10.510,64.838,178.384,14.754,-3.626,21.314,0.000221
8.900,165.376,-10.015,64.563,177.815,-11.003,-3.466,21.290,0.015610
9.000,164.117,-9.030,64.389,176.527,-0.048,-3.149,21.392,0.007321
9.100,163.615,-7.770,64.390,176.000,-12.448,-2.719,21.460,0.035345
9.200,162.716,-7.206,64.463,175.168,-25.457,-2.536,21.593,0.009359
9.300,162.374,-6.112,64.487,174.818,3.806,-2.156,21.647,0.000182
9.400,161.074,-5.238,64.374,173.540,-17.738,-1.862,21.774,0.050812
9.500,160.108,-3.492,64.291,172.569,-41.654,-1.250,21.873,0.012009
9.600,158.904,-2.517,64.158,171.386,7.457,-0.908,21.984,0.000306
9.700,158.601,-1.356,63.920,171.002,12.739,-0.490,21.950,0.010712
9.800,157.569,0.085,63.889,170.029,4.034,0.031,22.071,0.011906
9.900,156.540,1.478,63.728,169.021,-27.551,0.541,22.151,0.001077
10.000,155.855,3.153,63.689,168.396,8.347,1.159,22.223,0.013424
10.100,155.070,4.457,63.364,167.575,-9.257,1.646,22.218,0.004009
10.200,154.054,5.681,63.333,166.661,-18.137,2.112,22.334,0.033659
10.300,153.542,7.325,63.040,166.141,-2.415,2.732,22.299,0.008012
10.400,152.198,9.044,63.178,165.038,-6.521,3.401,22.508,0.000397
10.500,151.205,10.239,62.871,164.075,27.156,3.874,22.531,0.005428
10.600,150.184,11.547,62.735,163.169,13.343,4.396,22.611,0.005997
10.700,149.527,12.880,62.423,162.545,-5.038,4.923,22.584,0.007572
10.800,148.171,14.619,62.453,161.458,-13.861,5.635,22.756,0.022774
10.900,147.572,16.299,62.434,161.062,-13.677,6.303,22.808,0.007074
11.000,146.872,16.842,62.186,160.381,-19.190,6.542,22.814,0.017149
11.100,145.875,18.348,61.993,159.560,-7.337,7.169,22.863,0.001114
11.200,145.119,19.414,61.900,158.959,-42.625,7.620,22.918,0.024177
11.300,144.584,20.294,61.435,158.401,1.385,7.990,22.820,0.003027
11.400,143.396,21.220,61.378,157.416,17.765,8.418,22.949,0.001673
11.500,142.063,21.767,61.181,156.201,-17.518,8.711,23.059,0.000874
11.600,141.427,22.703,61.104,155.726,-11.854,9.120,23.103,0.002801
11.700,140.789,22.999,60.969,155.137,-22.936,9.278,23.141,0.001352
11.800,140.224,23.579,60.593,154.564,-9.895,9.545,23.080,0.014955
11.900,138.972,23.823,60.220,153.320,-9.461,9.727,23.127,0.010891
12.000,138.370,24.063,60.304,152.846,-20.048,9.865,23.237,0.020281
12.100,137.648,24.007,60.025,152.073,13.195,9.893,23.248,0.001728
12.200,136.764,23.873,59.548,151.064,-17.965,9.902,23.215,0.009046
12.300,135.890,23.858,59.528,150.263,-19.244,9.958,23.338,0.005884
12.400,134.929,23.508,59.170,149.196,12.670,9.883,23.366,0.002799
12.500,134.470,23.439,58.879,148.655,-4.671,9.888,23.333,0.031710
12.600,133.658,22.746,58.715,147.747,-3.823,9.658,23.416,0.012297
12.700,132.835,22.475,58.525,146.885,-27.182,9.603,23.481,0.002329
12.800,132.460,21.584,58.306,146.325,14.895,9.255,23.483,0.024108
12.900,131.990,21.095,58.176,145.777,-7.949,9.080,23.521,0.001625
13.000,131.035,19.882,57.842,144.607,-4.224,8.628,23.578,0.026340
13.100,130.120,19.294,57.442,143.538,6.109,8.434,23.590,0.004596
13.200,129.786,18.822,57.180,143.067,-17.315,8.252,23.558,0.004344
13.300,128.804,17.679,56.794,141.875,16.339,7.815,23.598,0.002355
13.400,128.703,16.357,56.674,141.577,-3.698,7.243,23.597,0.001160
13.500,128.232,15.465,56.320,140.906,-6.838,6.877,23.559,0.011494
13.600,127.215,14.379,55.982,139.730,-9.476,6.449,23.619,0.009415
13.700,126.494,13.627,55.910,138.969,-9.283,6.149,23.723,0.025096
13.800,126.527,12.237,55.540,138.721,-4.806,5.524,23.601,0.018767
13.900,125.619,11.983,55.165,137.721,11.618,5.449,23.613,0.007811
14.000,125.005,10.610,55.014,136.987,-5.584,4.851,23.679,0.006169
14.100,124.870,9.901,54.751,136.705,3.761,4.534,23.610,0.007109
14.200,124.583,8.901,54.504,136.274,2.663,4.086,23.575,0.003133
14.300,124.069,7.948,54.098,135.584,12.527,3.666,23.516,0.039755
14.400,124.240,7.363,54.042,135.685,-11.498,3.392,23.471,0.002635
14.500,123.357,6.361,53.771,134.718,2.981,2.952,23.524,0.004590
14.600,122.973,5.666,53.412,134.191,30.339,2.638,23.455,0.012731
14.700,122.818,4.916,53.081,133.888,23.137,2.292,23.357,0.006939
14.800,122.279,4.523,52.867,133.295,5.351,2.118,23.367,0.013008
14.900,122.255,3.680,52.348,133.042,-1.775,1.724,23.171,0.012083
15.000,121.684,3.104,52.074,132.394,-12.509,1.461,23.162,0.023933
15.100,121.971,2.885,52.015,132.630,-5.781,1.355,23.090,0.004504
15.200,121.981,2.391,51.630,132.479,23.990,1.123,22.937,0.008890
15.300,121.765,1.566,51.197,132.099,-17.348,0.737,22.803,0.004178
15.400,121.780,1.448,51.084,132.068,-28.756,0.681,22.755,0.012753
15.500,121.704,0.840,50.687,131.840,5.091,0.395,22.610,0.013875
15.600,121.511,0.432,50.426,131.559,-16.016,0.203,22.538,0.001698
15.700,121.173,0.115,49.980,131.076,-3.419,0.055,22.415,0.002072
15.800,121.345,-0.577,49.596,131.091,2.075,-0.272,22.231,0.006372
15.900,121.357,-0.872,49.338,131.006,5.545,-0.411,22.124,0.009345
16.000,121.714,-1.549,48.844,131.158,6.128,-0.729,21.864,0.000338
16.100,121.624,-1.691,48.809,131.064,14.021,-0.797,21.864,0.016130
16.200,121.853,-2.104,48.608,131.208,5.149,-0.989,21.744,0.008712
16.300,122.152,-2.455,48.397,131.413,6.360,-1.152,21.610,0.008419
16.400,122.163,-3.045,47.882,131.247,6.715,-1.428,21.397,0.021269
16.500,122.506,-3.614,47.713,131.519,13.639,-1.690,21.271,0.001772
16.600,122.316,-4.177,47.299,131.209,-29.356,-1.956,21.130,0.000921
16.700,122.918,-4.922,46.992,131.687,-10.598,-2.293,20.907,0.003851
16.800,122.853,-5.445,46.605,131.508,-31.627,-2.538,20.756,0.000253
16.900,123.611,-6.270,46.551,132.234,-12.986,-2.904,20.612,0.020137
17.000,123.534,-7.043,46.222,132.086,1.824,-3.263,20.483,0.019175
17.100,124.089,-7.567,45.876,132.514,-3.903,-3.490,20.255,0.004202
17.200,124.724,-8.914,45.634,133.109,-1.683,-4.088,20.050,0.000263
17.300,124.877,-9.578,45.484,133.247,19.996,-4.386,19.959,0.004921
17.400,125.292,-10.617,44.971,133.541,3.468,-4.844,19.679,0.003715
17.500,125.817,-11.497,44.655,134.000,13.876,-5.221,19.466,0.001885
17.600,126.007,-12.061,44.450,134.160,8.720,-5.467,19.349,0.000799
17.700,126.993,-13.198,44.222,135.118,10.201,-5.933,19.104,0.029681
17.800,127.147,-14.303,43.894,135.268,7.762,-6.418,18.935,0.018431
17.900,127.801,-15.421,43.722,135.950,19.964,-6.880,18.760,0.000252
18.000,128.706,-16.112,43.233,136.726,3.988,-7.135,18.433,0.003453
18.100,128.870,-17.043,43.163,136.971,7.769,-7.534,18.368,0.008437
18.200,129.341,-18.281,42.848,137.475,17.233,-8.045,18.161,0.007449
18.300,129.888,-19.012,42.592,138.008,7.680,-8.327,17.976,0.016698
18.400,130.597,-20.023,42.246,138.713,7.226,-8.717,17.732,0.006520
18.500,131.465,-20.611,42.221,139.608,14.428,-8.910,17.603,0.002555
18.600,132.043,-21.646,41.753,140.168,-21.780,-9.310,17.330,0.001191
18.700,132.793,-22.345,41.532,140.919,-7.206,-9.551,17.141,0.001945
18.800,133.424,-22.575,41.460,141.529,25.499,-9.603,17.034,0.005116
18.900,134.126,-23.237,41.032,142.174,0.318,-9.829,16.775,0.001735
19.000,134.883,-23.333,40.830,142.846,11.215,-9.814,16.608,0.010450
19.100,135.413,-23.694,40.592,143.338,-0.630,-9.925,16.451,0.031390
19.200,136.353,-24.095,40.518,144.272,10.035,-10.021,16.311,0.002098
19.300,137.287,-24.035,40.310,145.087,20.252,-9.930,16.131,0.029422
19.400,137.980,-23.720,39.750,145.538,2.339,-9.754,15.850,0.000822
19.500,138.715,-23.659,39.750,146.225,0.920,-9.679,15.774,0.020075
19.600,139.385,-23.504,39.428,146.748,25.591,-9.571,15.585,0.000871
19.700,140.659,-23.300,39.119,147.845,-2.630,-9.406,15.343,0.004358
19.800,141.461,-22.693,39.149,148.522,14.591,-9.114,15.283,0.003410
19.900,142.394,-22.197,38.705,149.221,-8.155,-8.860,15.034,0.006011
20.000,143.338,-21.339,38.693,149.994,1.605,-8.468,14.949,0.011814
20.100,144.272,-20.209,38.519,150.687,25.410,-7.974,14.811,0.001949
20.200,144.860,-19.600,38.239,151.099,8.682,-7.705,14.659,0.012553
20.300,145.915,-18.471,38.117,151.938,-17.101,-7.215,14.529,0.032341
20.400,146.684,-16.756,37.848,152.412,8.308,-6.517,14.378,0.000208
20.500,147.268,-16.472,37.553,152.870,-9.704,-6.382,14.220,0.005623
20.600,148.426,-14.828,37.332,153.766,24.437,-5.705,14.051,0.007220
20.700,149.529,-13.323,37.301,154.686,7.605,-5.092,13.954,0.027157
