time_s,elevation_deg,azimuth_deg,slant_range_km,doppler_hz
0.0,0.00,277.66,9406.9,-303600
5.0,2.82,278.51,2408.4,-303232
10.0,5.64,279.37,2149.5,-302132
15.0,8.44,280.22,1925.5,-300308
20.1,11.24,281.08,1733.5,-297777
25.1,14.02,281.93,1570.0,-294559
30.1,16.77,282.79,1431.1,-290681
35.1,19.51,283.64,1313.1,-286176
40.1,22.21,284.49,1212.7,-281080
45.1,24.88,285.35,1127.0,-275434
50.2,27.51,286.20,1053.7,-269284
55.2,30.09,287.06,990.6,-262678
60.2,32.64,287.91,936.3,-255666
65.2,35.13,288.77,889.2,-248302
70.2,37.57,289.62,848.4,-240641
75.2,39.95,290.48,812.8,-232738
80.3,42.27,291.33,781.7,-224649
85.3,44.53,292.19,754.4,-216430
90.3,46.72,293.04,730.6,-208136
95.3,48.84,293.90,709.6,-199821
100.3,50.88,294.75,691.2,-191538
105.3,52.85,295.61,675.0,-183338
110.4,54.74,296.46,660.7,-175269
115.4,56.54,297.31,648.2,-167378
120.4,58.26,298.17,637.2,-159708
125.4,59.89,299.02,627.5,-152301
130.4,61.43,299.88,619.0,-145194
135.4,62.87,300.73,611.7,-138422
140.5,64.22,301.59,605.2,-132018
145.5,65.48,302.44,599.6,-126011
150.5,66.63,303.30,594.8,-120428
155.5,67.68,304.15,590.6,-115293
160.5,68.63,305.01,587.1,-110627
165.5,69.47,305.86,584.0,-106447
170.6,70.21,306.72,581.5,-102771
175.6,70.85,307.57,579.5,-99612
180.6,71.37,308.42,577.8,-96981
185.6,71.79,309.28,576.5,-94888
190.6,72.09,310.13,575.6,-93340
195.6,72.29,310.99,575.0,-92342
200.7,72.38,311.84,574.8,-91898
205.7,72.36,312.70,574.8,92009
210.7,72.23,313.55,575.2,92675
215.7,71.98,314.41,575.9,93893
220.7,71.63,315.26,577.0,95660
225.7,71.17,316.12,578.4,97969
230.7,70.61,316.97,580.2,100813
235.8,69.93,317.83,582.5,104180
240.8,69.15,318.68,585.2,108059
245.8,68.26,319.54,588.4,112436
250.8,67.27,320.39,592.2,117292
255.8,66.18,321.24,596.6,122609
260.8,64.99,322.10,601.8,128365
265.9,63.70,322.95,607.7,134533
270.9,62.31,323.81,614.5,141088
275.9,60.83,324.66,622.3,147998
280.9,59.25,325.52,631.2,155230
285.9,57.58,326.37,641.4,162747
290.9,55.83,327.23,653.0,170511
296.0,53.99,328.08,666.2,178478
301.0,52.07,328.94,681.2,186605
306.0,50.08,329.79,698.2,194844
311.0,48.00,330.65,717.6,203146
316.0,45.85,331.50,739.7,211459
321.0,43.64,332.36,764.9,219730
326.1,41.35,333.21,793.6,227904
331.1,39.00,334.06,826.4,235925
336.1,36.60,334.92,864.0,243738
341.1,34.14,335.77,907.3,251287
346.1,31.62,336.63,957.1,258516
351.1,29.06,337.48,1014.7,265372
356.2,26.46,338.34,1081.7,271802
361.2,23.81,339.19,1159.7,277756
366.2,21.13,340.05,1250.9,283187
371.2,18.42,340.90,1358.0,288051
376.2,15.67,341.76,1483.9,292309
381.2,12.91,342.61,1632.2,295927
386.3,10.12,343.47,1806.7,298873
391.3,7.32,344.32,2011.1,301124
396.3,4.51,345.18,2248.7,302659
401.3,1.69,346.03,2522.2,303468
