time_s,normalized_intensity,log_intensity_db,beam_wander_x_urad,beam_wander_y_urad
0.0000,0.901765,-0.449,-0.000,0.000
0.0100,1.323478,1.217,-0.000,0.000
0.0200,1.212096,0.835,-0.000,-0.000
0.0300,0.983469,-0.072,-0.000,-0.000
0.0400,0.903963,-0.438,-0.000,-0.000
0.0500,0.986169,-0.060,0.000,-0.000
0.0600,1.114709,0.472,0.000,-0.000
0.0700,0.820290,-0.860,0.000,-0.000
0.0800,1.276972,1.062,0.000,-0.000
0.0900,0.683356,-1.654,0.000,-0.000
0.1000,1.051684,0.219,0.000,-0.000
0.1100,1.304858,1.156,0.000,-0.000
0.1200,1.235565,0.919,0.000,-0.000
0.1300,0.842927,-0.742,0.000,-0.001
0.1400,0.493287,-3.069,0.000,-0.000
0.1500,0.368807,-4.332,0.000,-0.000
0.1600,0.716492,-1.448,0.000,-0.000
0.1700,0.631139,-1.999,-0.000,-0.000
0.1800,0.746422,-1.270,-0.000,-0.000
0.1900,0.844082,-0.736,-0.000,-0.000
0.2000,0.938996,-0.273,-0.000,-0.000
0.2100,0.866682,-0.621,-0.000,-0.000
0.2200,0.817462,-0.875,-0.000,-0.000
0.2300,0.912769,-0.396,-0.000,-0.000
0.2400,0.516398,-2.870,-0.000,-0.000
0.2500,0.515971,-2.874,-0.000,-0.000
0.2600,0.711116,-1.481,-0.000,-0.000
0.2700,0.647100,-1.890,-0.000,-0.000
0.2800,0.628031,-2.020,-0.001,-0.000
0.2900,0.491025,-3.089,-0.001,-0.000
0.3000,0.567761,-2.458,-0.001,-0.001
0.3100,0.445550,-3.511,-0.001,-0.001
0.3200,0.825112,-0.835,-0.001,-0.000
0.3300,0.883469,-0.538,-0.000,-0.000
0.3400,0.638848,-1.946,-0.000,-0.000
0.3500,0.628852,-2.015,-0.000,-0.000
0.3600,0.691310,-1.603,-0.000,-0.000
0.3700,1.239471,0.932,-0.000,-0.000
0.3800,1.170094,0.682,-0.000,-0.000
0.3900,1.225017,0.881,-0.001,-0.000
0.4000,1.220957,0.867,-0.001,-0.000
0.4100,1.226954,0.888,-0.001,-0.000
0.4200,1.034034,0.145,-0.001,-0.000
0.4300,1.447088,1.605,-0.001,-0.000
0.4400,2.853639,4.554,-0.001,0.000
0.4500,2.397413,3.797,-0.001,-0.000
0.4600,1.689030,2.276,-0.001,-0.000
0.4700,2.424541,3.846,-0.001,-0.000
0.4800,1.660804,2.203,-0.001,-0.000
0.4900,1.009760,0.042,-0.001,-0.000
0.5000,0.766438,-1.155,-0.001,-0.001
0.5100,0.850796,-0.702,-0.001,-0.001
0.5200,1.231324,0.904,-0.001,-0.000
0.5300,1.106250,0.439,-0.001,-0.000
0.5400,0.945027,-0.246,-0.000,-0.000
0.5500,1.152097,0.615,-0.000,-0.000
0.5600,1.485664,1.719,-0.000,-0.000
0.5700,2.016720,3.046,-0.000,-0.000
0.5800,2.000595,3.012,-0.000,-0.000
0.5900,1.543010,1.884,-0.000,-0.000
0.6000,1.428188,1.548,-0.000,-0.000
0.6100,1.121710,0.499,-0.000,-0.000
0.6200,1.534768,1.860,-0.000,-0.000
0.6300,0.950277,-0.221,-0.000,0.000
0.6400,0.887148,-0.520,-0.001,0.000
0.6500,0.413598,-3.834,-0.000,0.000
0.6600,0.866031,-0.625,-0.000,0.000
0.6700,0.766247,-1.156,-0.001,0.000
0.6800,1.248384,0.963,-0.001,0.000
0.6900,0.642782,-1.919,-0.001,0.000
0.7000,0.698971,-1.555,-0.001,0.000
0.7100,0.941848,-0.260,-0.000,0.000
0.7200,0.663013,-1.785,-0.001,0.000
0.7300,0.540003,-2.676,-0.001,0.000
0.7400,0.600643,-2.214,-0.001,0.000
0.7500,1.015637,0.067,-0.001,0.000
0.7600,1.113368,0.466,-0.000,0.000
0.7700,1.433037,1.563,-0.000,-0.000
0.7800,1.690594,2.280,-0.000,0.000
0.7900,2.153129,3.331,-0.000,0.000
0.8000,2.430049,3.856,-0.000,0.000
0.8100,2.017898,3.049,-0.000,0.000
0.8200,1.693670,2.288,-0.001,0.000
0.8300,1.164333,0.661,-0.000,0.000
0.8400,0.897908,-0.468,-0.000,-0.000
0.8500,1.031439,0.134,-0.001,-0.000
0.8600,1.177657,0.710,-0.001,-0.000
0.8700,1.044428,0.189,-0.001,-0.000
0.8800,0.850402,-0.704,-0.001,-0.000
0.8900,0.750797,-1.245,-0.001,-0.000
0.9000,0.919018,-0.367,-0.001,-0.000
0.9100,0.769529,-1.138,-0.001,0.000
0.9200,0.632552,-1.989,-0.000,0.000
0.9300,0.588774,-2.301,-0.000,0.000
0.9400,0.513957,-2.891,-0.000,-0.000
0.9500,0.359239,-4.446,-0.000,-0.000
0.9600,0.247815,-6.059,-0.000,0.000
0.9700,0.278090,-5.558,-0.000,0.000
0.9800,0.388221,-4.109,-0.000,0.000
0.9900,0.263964,-5.785,-0.000,0.000
1.0000,0.220421,-6.567,-0.000,0.000
1.0100,0.201604,-6.955,-0.000,0.000
1.0200,0.181658,-7.407,0.000,0.000
1.0300,0.208019,-6.819,0.000,0.000
1.0400,0.144628,-8.397,0.000,0.000
1.0500,0.158971,-7.987,-0.000,0.000
1.0600,0.229573,-6.391,0.000,0.000
1.0700,0.351996,-4.535,0.000,0.000
1.0800,0.551174,-2.587,0.000,0.000
1.0900,0.556750,-2.543,0.000,0.000
1.1000,0.688567,-1.621,0.000,0.000
1.1100,0.645764,-1.899,0.000,0.001
1.1200,0.827122,-0.824,0.000,0.001
1.1300,0.645040,-1.904,0.000,0.001
1.1400,0.554239,-2.563,0.000,0.001
1.1500,0.576479,-2.392,0.000,0.001
1.1600,0.749387,-1.253,0.001,0.001
1.1700,1.022660,0.097,0.001,0.001
1.1800,0.685848,-1.638,0.001,0.001
1.1900,0.412409,-3.847,0.001,0.001
1.2000,0.596122,-2.247,0.001,0.001
1.2100,0.872592,-0.592,0.001,0.001
1.2200,1.330552,1.240,0.001,0.001
1.2300,1.220730,0.866,0.001,0.001
1.2400,1.153437,0.620,0.001,0.001
1.2500,2.038575,3.093,0.001,0.001
1.2600,2.031307,3.078,0.001,0.001
1.2700,1.955884,2.913,0.001,0.001
1.2800,1.373595,1.379,0.001,0.001
1.2900,0.805652,-0.939,0.001,0.001
1.3000,0.884259,-0.534,0.001,0.001
1.3100,0.617103,-2.096,0.001,0.001
1.3200,0.394789,-4.036,0.001,0.001
1.3300,0.323410,-4.902,0.001,0.001
1.3400,0.567914,-2.457,0.001,0.001
1.3500,0.404009,-3.936,0.001,0.001
1.3600,0.382343,-4.175,0.001,0.001
1.3700,0.608695,-2.156,0.001,0.001
1.3800,0.839968,-0.757,0.001,0.001
1.3900,1.211627,0.834,0.001,0.001
1.4000,1.391819,1.436,0.001,0.001
1.4100,1.244231,0.949,0.001,0.001
1.4200,1.446466,1.603,0.001,0.001
1.4300,1.275362,1.056,0.001,0.001
1.4400,0.752745,-1.234,0.001,0.001
1.4500,0.891111,-0.501,0.001,0.001
1.4600,0.902765,-0.444,0.001,0.001
1.4700,0.825243,-0.834,0.001,0.001
1.4800,0.661568,-1.794,0.001,0.002
1.4900,0.561897,-2.503,0.001,0.002
1.5000,0.644845,-1.905,0.001,0.002
1.5100,0.691051,-1.605,0.001,0.002
1.5200,1.161486,0.650,0.001,0.002
1.5300,0.778871,-1.085,0.001,0.002
1.5400,0.768227,-1.145,0.001,0.002
1.5500,0.488868,-3.108,0.001,0.002
1.5600,0.601272,-2.209,0.001,0.002
1.5700,0.492338,-3.077,0.001,0.002
1.5800,0.354245,-4.507,0.001,0.002
1.5900,0.594270,-2.260,0.001,0.002
1.6000,0.406236,-3.912,0.001,0.002
1.6100,0.364324,-4.385,0.001,0.002
1.6200,0.616720,-2.099,0.001,0.002
1.6300,0.487488,-3.120,0.001,0.002
1.6400,0.564266,-2.485,0.001,0.002
1.6500,0.451303,-3.455,0.001,0.002
1.6600,0.584172,-2.335,0.001,0.002
1.6700,0.686350,-1.635,0.001,0.002
1.6800,0.402504,-3.952,0.001,0.002
