time_s,normalized_intensity,log_intensity_db,beam_wander_x_urad,beam_wander_y_urad
0.0000,2975.570179,34.736,0.000,0.000
0.0100,132.843442,21.233,-0.000,0.000
0.0200,1.096039,0.398,-0.001,0.001
0.0300,0.019974,-16.995,-0.001,0.001
0.0400,0.002393,-26.211,-0.001,0.001
0.0500,0.000314,-35.037,-0.001,0.001
0.0600,0.000037,-44.325,-0.001,0.001
0.0700,0.000012,-49.278,-0.001,0.001
0.0800,0.000019,-47.222,-0.001,0.001
0.0900,0.000017,-47.678,-0.001,0.001
0.1000,0.000020,-46.985,-0.001,0.002
0.1100,0.000019,-47.280,-0.001,0.002
0.1200,0.000016,-47.843,-0.001,0.002
0.1300,0.000003,-54.714,-0.001,0.001
0.1400,0.000001,-59.850,-0.001,0.001
0.1500,0.000001,-60.872,-0.001,0.002
0.1600,0.000000,-68.095,-0.002,0.002
0.1700,0.000000,-64.884,-0.002,0.002
0.1800,0.000000,-65.426,-0.003,0.002
0.1900,0.000000,-63.528,-0.002,0.002
0.2000,0.000001,-60.742,-0.002,0.002
0.2100,0.000000,-66.181,-0.002,0.002
0.2200,0.000000,-64.636,-0.002,0.003
0.2300,0.000000,-66.443,-0.002,0.003
0.2400,0.000000,-71.391,-0.002,0.003
0.2500,0.000000,-69.367,-0.002,0.003
0.2600,0.000000,-72.592,-0.002,0.002
0.2700,0.000000,-71.174,-0.002,0.003
0.2800,0.000000,-76.062,-0.002,0.002
0.2900,0.000000,-77.963,-0.002,0.003
0.3000,0.000000,-73.772,-0.002,0.003
0.3100,0.000000,-75.705,-0.002,0.003
0.3200,0.000000,-74.820,-0.002,0.004
0.3300,0.000000,-71.684,-0.003,0.004
0.3400,0.000000,-66.549,-0.002,0.003
0.3500,0.000000,-72.621,-0.003,0.003
0.3600,0.000000,-71.057,-0.003,0.004
0.3700,0.000000,-71.380,-0.003,0.004
0.3800,0.000000,-70.029,-0.003,0.003
0.3900,0.000000,-69.661,-0.003,0.003
0.4000,0.000000,-68.889,-0.004,0.003
0.4100,0.000000,-66.941,-0.003,0.003
0.4200,0.000000,-77.349,-0.003,0.004
0.4300,0.000000,-73.635,-0.003,0.004
0.4400,0.000000,-79.268,-0.002,0.004
0.4500,0.000000,-81.852,-0.003,0.004
0.4600,0.000000,-72.803,-0.003,0.003
0.4700,0.000000,-66.856,-0.003,0.003
0.4800,0.000000,-63.516,-0.003,0.003
0.4900,0.000001,-60.067,-0.004,0.003
0.5000,0.000001,-59.741,-0.004,0.003
0.5100,0.000001,-60.867,-0.003,0.003
0.5200,0.000001,-61.663,-0.004,0.002
0.5300,0.000001,-60.153,-0.004,0.002
0.5400,0.000000,-63.031,-0.004,0.002
0.5500,0.000000,-66.416,-0.004,0.002
0.5600,0.000000,-64.196,-0.004,0.002
0.5700,0.000000,-65.231,-0.004,0.002
0.5800,0.000000,-69.656,-0.004,0.002
0.5900,0.000000,-67.969,-0.004,0.002
0.6000,0.000000,-67.884,-0.003,0.001
0.6100,0.000000,-66.797,-0.004,0.002
0.6200,0.000001,-61.154,-0.003,0.001
0.6300,0.000002,-58.040,-0.003,0.001
0.6400,0.000007,-51.858,-0.004,0.001
0.6500,0.000004,-53.781,-0.004,0.001
0.6600,0.000004,-53.799,-0.004,0.000
0.6700,0.000006,-51.995,-0.004,0.001
0.6800,0.000002,-56.958,-0.004,0.000
0.6900,0.000001,-59.636,-0.004,-0.001
0.7000,0.000001,-60.266,-0.004,-0.001
0.7100,0.000001,-59.242,-0.004,-0.000
0.7200,0.000002,-57.907,-0.004,-0.000
0.7300,0.000001,-60.460,-0.004,-0.001
0.7400,0.000002,-57.971,-0.004,-0.001
0.7500,0.000000,-63.801,-0.004,-0.001
0.7600,0.000002,-56.615,-0.004,-0.001
0.7700,0.000001,-59.669,-0.004,-0.001
0.7800,0.000000,-64.474,-0.004,-0.001
0.7900,0.000000,-64.109,-0.004,-0.001
0.8000,0.000000,-66.292,-0.004,-0.001
0.8100,0.000000,-67.901,-0.003,-0.002
0.8200,0.000000,-63.225,-0.003,-0.001
0.8300,0.000000,-65.382,-0.003,-0.002
0.8400,0.000000,-66.837,-0.004,-0.002
0.8500,0.000000,-71.629,-0.003,-0.002
0.8600,0.000000,-74.191,-0.004,-0.001
0.8700,0.000000,-72.924,-0.004,-0.001
0.8800,0.000000,-72.026,-0.003,-0.002
0.8900,0.000001,-62.415,-0.003,-0.001
0.9000,0.000001,-62.147,-0.003,-0.001
0.9100,0.000000,-63.986,-0.003,-0.001
0.9200,0.000000,-65.477,-0.003,-0.000
0.9300,0.000000,-64.916,-0.002,-0.001
0.9400,0.000000,-66.805,-0.003,-0.000
0.9500,0.000000,-65.015,-0.002,-0.000
0.9600,0.000000,-66.100,-0.002,-0.000
0.9700,0.000001,-61.290,-0.002,0.000
0.9800,0.000001,-62.232,-0.002,0.000
0.9900,0.000000,-66.557,-0.002,0.000
1.0000,0.000000,-66.700,-0.002,0.000
1.0100,0.000000,-66.027,-0.002,0.000
1.0200,0.000000,-65.004,-0.002,0.000
1.0300,0.000000,-63.495,-0.002,0.001
1.0400,0.000000,-71.429,-0.003,-0.000
1.0500,0.000000,-64.842,-0.003,-0.001
1.0600,0.000000,-66.485,-0.003,-0.001
1.0700,0.000000,-69.321,-0.004,-0.001
1.0800,0.000001,-62.400,-0.004,-0.001
1.0900,0.000000,-63.757,-0.004,-0.001
1.1000,0.000000,-63.447,-0.004,-0.001
1.1100,0.000001,-61.683,-0.005,-0.001
1.1200,0.000001,-60.055,-0.005,-0.002
1.1300,0.000003,-54.858,-0.005,-0.001
1.1400,0.000002,-57.084,-0.005,-0.002
1.1500,0.000000,-63.309,-0.005,-0.002
1.1600,0.000000,-63.233,-0.005,-0.001
1.1700,0.000001,-61.918,-0.005,-0.001
1.1800,0.000003,-55.782,-0.005,-0.001
1.1900,0.000001,-58.719,-0.005,-0.001
1.2000,0.000000,-63.981,-0.005,-0.001
1.2100,0.000001,-62.624,-0.005,-0.001
1.2200,0.000000,-70.312,-0.005,-0.001
1.2300,0.000000,-75.850,-0.005,-0.001
1.2400,0.000000,-69.683,-0.005,-0.001
1.2500,0.000000,-70.580,-0.004,-0.002
1.2600,0.000000,-66.857,-0.004,-0.002
