hour,visibility_km,rain_rate_mmhr,temperature_c,wind_speed_mps
0,15.00,0.0,-4.6,4.8
1,22.77,0.0,-3.0,4.4
2,4.53,0.0,0.8,1.7
3,4.24,0.0,-1.9,5.2
4,0.25,0.0,-0.6,3.6
5,0.25,0.0,2.7,3.7
6,0.25,0.0,-0.2,3.5
7,0.25,0.0,4.4,4.4
8,0.25,0.0,2.3,5.2
9,0.25,0.0,6.3,4.4
10,15.40,0.0,6.5,9.0
11,6.88,0.0,7.9,7.1
12,50.00,0.0,5.6,4.3
13,17.80,0.0,6.2,2.4
14,4.70,0.0,7.5,6.3
15,20.60,0.0,4.9,3.7
16,5.59,0.0,5.8,4.0
17,22.87,0.0,3.8,2.0
18,30.78,0.0,1.5,5.7
19,6.32,0.0,0.4,21.2
20,26.33,0.0,-0.3,3.3
21,16.95,0.0,-1.7,6.5
22,23.52,0.0,-1.1,9.5
23,50.00,0.0,-3.2,3.3
24,10.01,0.0,-3.7,1.0
25,6.67,0.0,-1.3,6.8
26,5.98,0.0,-2.8,4.7
27,6.34,0.0,-2.2,5.4
28,0.42,0.0,-4.0,4.6
29,0.42,0.0,-0.7,9.0
30,0.42,0.0,0.9,4.2
31,0.42,0.0,2.7,16.5
32,0.42,0.0,3.6,6.8
33,38.97,0.0,7.2,8.2
34,9.86,0.0,5.4,4.5
35,50.00,0.0,6.0,5.4
36,20.10,0.0,7.4,1.6
37,6.14,0.0,5.4,3.2
38,5.17,0.0,8.9,8.6
39,17.92,0.0,6.9,4.3
40,10.19,0.0,2.9,2.3
41,21.57,0.0,5.0,3.0
42,17.79,0.0,4.0,3.0
43,11.49,0.0,-0.8,4.4
44,6.19,0.0,-2.0,2.7
45,3.63,0.0,-2.2,10.5
46,8.52,0.0,-4.2,5.1
47,24.17,0.0,-3.8,1.9
48,14.46,0.0,-3.4,11.3
49,4.50,0.0,-1.9,4.4
50,13.99,0.0,-2.0,6.1
51,16.58,0.0,-1.5,5.4
52,6.01,0.0,-1.0,5.8
53,13.78,0.0,-1.0,3.6
54,12.76,0.0,3.1,5.5
55,4.88,0.0,4.4,4.1
56,16.22,0.0,3.8,5.6
57,19.08,0.0,4.1,4.0
58,28.98,0.0,8.9,3.8
59,28.31,0.0,7.4,1.9
60,4.05,0.0,7.8,4.5
61,5.75,0.0,7.7,5.1
62,18.39,0.0,4.8,13.6
63,18.38,0.0,8.0,6.0
64,18.39,0.0,4.1,2.9
65,50.00,0.0,4.8,2.4
66,19.23,0.0,4.4,5.3
67,30.22,0.0,1.1,2.9
68,26.13,0.0,-2.0,3.2
69,20.51,0.0,-5.0,2.9
70,9.47,0.0,-2.2,3.7
71,22.36,0.0,-2.2,7.0
72,6.56,0.0,-3.6,1.4
73,10.08,0.0,-2.4,9.7
74,8.26,0.0,-1.4,4.0
75,13.01,0.0,0.2,3.1
76,50.00,0.0,-0.6,7.6
77,2.74,0.0,0.9,4.0
78,21.09,0.0,2.0,2.4
79,3.35,0.0,3.6,1.8
80,8.35,0.0,4.0,6.8
81,29.11,0.0,5.0,7.1
82,12.83,0.0,5.9,3.5
83,5.14,0.0,7.3,9.9
84,6.87,0.0,6.0,4.6
85,20.98,0.0,6.4,9.9
86,6.79,0.0,9.3,2.5
87,14.49,0.0,7.1,2.3
88,12.63,0.0,3.3,3.3
89,7.23,0.0,4.9,3.5
90,50.00,0.0,3.2,8.9
91,20.23,0.0,0.8,5.3
92,2.41,0.0,-1.3,2.8
93,14.14,0.0,-2.5,4.5
94,7.17,0.0,-1.7,3.5
95,24.09,0.0,-3.8,2.8
96,6.46,0.0,-1.1,4.3
97,11.11,0.0,-0.5,4.0
98,18.25,0.0,-2.1,2.8
99,24.35,0.0,0.5,2.8
100,4.66,0.0,-0.8,7.3
101,9.32,0.0,-0.1,5.8
102,8.33,0.0,3.9,7.9
103,7.22,0.0,5.9,3.8
104,50.00,0.0,7.7,2.3
105,16.84,0.0,6.3,3.2
106,4.44,0.0,7.9,8.3
107,25.39,0.0,7.6,1.7
108,50.00,0.0,9.4,10.7
109,27.83,0.0,7.8,2.3
110,3.61,0.0,7.8,7.2
111,8.27,0.0,4.1,2.4
112,33.57,0.0,4.5,3.1
113,6.92,0.0,4.8,1.3
114,17.38,0.0,3.4,13.6
115,22.64,0.0,2.4,6.3
116,5.80,0.0,-0.0,6.6
117,11.62,0.0,-2.2,3.3
118,0.91,0.0,-2.1,2.6
119,5.37,0.0,-2.4,7.1
120,9.95,0.0,-2.3,2.2
121,4.49,0.0,-4.0,4.1
122,44.97,0.0,-2.4,2.1
123,3.88,0.0,-1.4,4.8
124,8.57,0.0,-3.5,1.4
125,13.53,0.0,2.3,1.8
126,38.59,0.0,2.6,2.7
127,3.86,0.0,4.0,6.5
128,30.89,0.0,4.1,3.3
129,12.28,0.0,6.7,8.1
130,5.56,0.0,5.4,11.0
131,17.63,0.0,6.1,3.7
132,14.29,0.0,8.3,1.8
133,7.54,0.0,7.7,8.0
134,12.88,0.0,4.7,1.8
135,8.95,0.0,8.2,2.6
136,13.34,0.0,3.7,1.6
137,20.69,0.0,3.4,8.0
138,43.33,0.0,5.0,6.3
139,4.53,9.0,-2.0,11.8
140,50.00,9.0,-2.7,3.4
141,2.56,9.0,-0.5,2.7
142,10.79,9.0,-5.7,3.3
143,19.50,9.0,-5.5,2.0
