hour,visibility_km,rain_rate_mmhr,temperature_c,wind_speed_mps
0,12.26,0.0,20.7,7.9
1,7.29,0.0,18.0,4.6
2,15.63,0.0,21.1,4.2
3,8.91,0.0,21.0,3.7
4,9.04,0.0,21.2,3.4
5,10.31,0.0,21.4,6.1
6,8.12,0.0,25.0,2.4
7,5.74,0.0,24.7,2.2
8,5.97,0.0,25.3,7.6
9,6.28,0.0,29.5,9.0
10,16.02,0.0,24.7,12.3
11,15.48,0.0,30.7,3.5
12,10.37,0.0,31.6,1.6
13,10.68,0.0,27.1,1.4
14,24.55,0.0,26.9,10.0
15,16.59,0.0,25.4,7.5
16,31.15,0.0,27.4,5.9
17,8.62,0.0,23.9,6.6
18,6.06,0.0,23.4,6.8
19,22.16,0.0,23.2,14.0
20,12.03,0.0,18.7,2.3
21,7.53,0.0,17.7,2.6
22,16.33,0.0,19.7,6.0
23,7.98,0.0,18.2,7.1
24,18.42,0.0,17.1,2.2
25,16.31,0.0,18.7,7.4
26,10.64,0.0,19.0,3.4
27,4.43,0.0,18.7,6.1
28,7.00,0.0,21.3,2.1
29,30.30,0.0,20.8,1.4
30,34.72,0.0,24.6,6.3
31,45.00,0.0,24.5,14.9
32,15.49,0.0,28.8,4.6
33,6.33,0.0,25.1,13.4
34,27.21,0.0,27.0,2.0
35,10.40,0.0,29.8,2.6
36,8.09,0.0,27.0,6.0
37,14.89,0.0,28.4,6.2
38,38.02,0.0,24.9,3.3
39,11.44,0.0,25.5,6.4
40,12.31,0.0,24.6,3.2
41,4.86,0.0,24.6,4.8
42,13.00,0.0,25.0,5.5
43,18.16,0.0,21.8,13.6
44,11.56,0.0,20.5,2.6
45,12.08,0.0,18.8,6.4
46,13.94,0.0,17.5,7.5
47,6.49,0.0,20.2,17.7
48,3.11,0.0,18.8,11.2
49,11.45,0.0,18.2,6.8
50,10.64,0.0,21.6,1.4
51,17.15,0.0,15.8,6.0
52,45.00,0.0,22.5,8.7
53,26.51,0.0,19.9,2.3
54,3.55,0.0,23.7,2.7
55,45.00,0.0,26.3,13.3
56,18.15,0.0,23.3,9.5
57,10.39,0.0,28.9,1.8
58,29.54,0.0,27.6,4.6
59,2.63,0.0,27.1,4.5
60,8.79,0.0,28.8,11.6
61,13.71,0.0,29.1,12.2
62,12.68,0.0,31.4,5.4
63,30.22,0.0,26.7,2.5
64,24.74,0.0,27.3,3.5
65,18.34,0.0,25.0,1.5
66,10.32,0.0,24.0,1.8
67,21.69,0.0,21.8,22.6
68,8.51,0.0,19.9,3.7
69,19.36,0.0,20.5,3.8
70,7.87,0.0,17.7,4.1
71,14.53,0.0,15.7,4.8
72,5.09,0.0,18.6,5.8
73,22.68,0.0,17.4,2.6
74,9.33,0.0,18.7,11.1
75,5.36,0.0,17.4,3.0
76,6.83,0.0,22.4,1.6
77,10.14,0.0,18.1,2.0
78,7.05,0.0,24.1,4.4
79,18.77,0.0,25.6,7.8
80,10.31,0.0,26.3,7.2
81,21.35,0.0,28.5,9.7
82,10.28,0.0,26.0,2.1
83,18.73,0.0,31.2,9.9
84,12.25,0.0,27.1,6.0
85,10.43,0.0,29.3,3.7
86,6.52,0.0,30.5,2.9
87,12.69,0.0,26.7,2.6
88,18.94,0.0,24.9,6.2
89,8.06,0.0,25.9,4.7
90,12.09,0.0,22.6,1.5
91,8.75,0.0,20.9,3.7
92,38.93,0.0,22.0,3.5
93,14.69,0.0,21.0,9.1
94,12.86,0.0,19.1,5.5
95,9.10,0.0,18.7,3.5
96,20.70,0.0,18.7,2.8
97,12.18,0.0,18.3,5.3
98,11.72,0.0,18.7,3.1
99,11.66,0.0,17.9,1.9
100,6.27,0.0,19.8,5.5
101,29.89,0.0,22.1,4.3
102,21.15,0.0,26.6,4.0
103,12.25,0.0,23.0,4.7
104,11.45,0.0,25.2,6.2
105,7.18,0.0,25.0,2.0
106,5.02,0.0,24.6,2.7
107,7.18,0.0,30.3,10.9
108,24.20,0.0,29.2,8.7
109,9.66,0.0,30.3,15.2
110,23.32,0.0,24.9,7.2
111,11.97,0.0,27.9,6.8
112,7.24,0.0,29.1,4.3
113,7.84,0.0,26.2,1.8
114,14.13,0.0,24.3,6.7
115,4.61,0.0,21.0,4.3
116,7.69,0.0,23.1,1.6
117,9.28,0.0,18.9,6.3
118,19.93,0.0,19.8,8.8
119,14.44,0.0,17.0,2.8
120,13.63,0.0,18.3,3.6
121,16.09,0.0,20.0,5.6
122,22.66,0.0,20.4,2.6
123,12.56,0.0,19.9,4.1
124,6.55,0.0,24.1,5.1
125,13.64,0.0,21.8,7.3
126,7.36,0.0,25.1,4.5
127,3.52,0.0,23.9,6.2
128,13.64,0.0,24.0,4.0
129,16.61,0.0,26.6,4.9
130,15.00,0.0,25.2,5.6
131,16.50,0.0,28.7,1.0
132,23.78,0.0,28.6,3.0
133,6.81,0.0,29.1,8.8
134,9.65,0.0,27.7,1.3
135,5.63,0.0,26.5,5.7
136,15.95,0.0,26.0,10.3
137,25.46,0.0,26.4,8.9
138,8.79,0.0,24.9,7.4
139,18.79,0.0,24.0,12.7
140,7.68,0.0,17.5,9.3
141,17.94,0.0,21.5,3.6
142,3.19,0.0,20.1,6.9
143,30.37,0.0,21.6,2.0
144,6.33,0.0,17.6,8.0
145,13.48,0.0,18.1,4.3
146,28.30,0.0,19.4,8.6
147,6.04,0.0,16.2,5.3
148,35.01,0.0,16.8,8.2
149,43.03,0.0,22.5,4.9
150,18.42,0.0,21.6,3.9
151,12.31,0.0,22.7,5.4
152,10.90,0.0,26.7,1.8
153,17.19,0.0,24.5,4.2
154,19.06,0.0,28.7,3.4
155,3.64,0.0,26.9,2.0
156,10.27,0.0,27.0,2.9
157,8.58,0.0,28.7,2.1
158,7.86,0.0,25.8,1.8
159,7.96,0.0,29.5,3.2
160,5.60,0.0,25.7,6.1
161,30.87,0.0,24.6,1.8
162,8.56,0.0,24.3,4.4
163,11.17,0.0,23.7,5.0
164,10.10,0.0,20.1,4.2
165,8.76,0.0,20.9,7.4
166,15.65,0.0,20.1,29.0
167,10.10,0.0,20.7,12.1
168,17.52,0.0,17.6,3.1
169,31.25,0.0,19.6,2.5
170,6.30,0.0,19.9,3.4
171,14.79,0.0,20.4,6.1
172,14.53,0.0,17.5,4.6
173,6.02,0.0,23.9,4.6
174,17.95,0.0,24.9,4.8
175,10.41,0.0,25.6,4.7
176,31.42,0.0,24.9,5.3
177,22.18,0.0,29.3,7.9
178,12.18,0.0,27.6,5.5
179,10.70,0.0,28.9,2.3
180,34.45,0.0,26.6,7.8
181,8.61,0.0,27.7,8.6
182,14.28,0.0,27.8,4.1
183,11.72,0.0,25.5,5.4
184,24.95,0.0,24.8,3.4
185,26.13,0.0,25.4,2.8
186,16.87,0.0,24.9,3.0
187,8.88,0.0,19.8,3.2
188,11.09,0.0,24.3,10.6
189,5.82,0.0,18.5,4.3
190,14.14,0.0,17.4,2.7
191,7.51,0.0,20.8,3.9
192,45.00,0.0,19.3,6.7
193,8.77,0.0,19.9,10.7
194,22.54,0.0,17.7,6.2
195,30.48,0.0,20.5,4.4
196,20.03,0.0,24.6,12.6
197,8.99,0.0,20.7,3.9
198,8.61,0.0,24.4,3.8
199,45.00,0.0,23.4,2.2
200,39.82,0.0,24.2,3.1
201,14.62,0.0,26.5,2.2
202,9.94,0.0,27.6,2.0
203,7.23,0.0,27.9,4.3
204,8.40,0.0,28.2,3.3
205,18.66,0.0,31.4,9.2
206,45.00,0.0,30.2,5.4
207,11.34,0.0,27.1,6.8
208,25.01,0.0,25.9,6.0
209,20.89,0.0,26.8,2.3
210,10.22,0.0,24.4,4.0
211,22.19,0.0,22.4,5.8
212,22.60,0.0,24.2,1.6
213,21.12,0.0,18.5,1.6
214,9.51,0.0,18.9,5.0
215,18.73,0.0,18.3,3.9
216,24.86,0.0,19.0,0.6
217,21.62,0.0,16.9,1.5
218,23.26,0.0,19.7,2.5
219,10.79,0.0,19.3,6.1
220,23.19,0.0,22.3,3.3
221,26.42,0.0,21.5,8.9
222,9.26,0.0,22.4,2.9
223,5.31,0.0,25.6,3.2
224,32.50,0.0,25.9,18.0
225,9.23,0.0,26.4,7.5
226,7.80,0.0,27.3,8.4
227,13.84,0.0,27.4,2.9
228,10.36,0.0,31.4,3.9
229,3.84,0.0,28.9,4.6
230,20.80,0.0,28.8,3.9
231,20.49,0.0,27.6,5.0
232,6.56,0.0,26.2,4.9
233,12.00,0.0,23.9,4.0
234,6.62,0.0,22.2,3.8
235,7.28,0.0,21.3,10.3
236,8.49,0.0,21.8,2.7
237,16.73,0.0,19.1,3.4
238,40.72,0.0,20.9,1.9
239,9.51,0.0,21.0,2.6
240,20.15,0.0,15.7,3.4
241,19.66,0.0,20.8,4.8
242,3.39,0.0,17.3,7.4
243,5.31,0.0,19.3,7.5
244,41.59,0.0,21.0,10.1
245,8.99,0.0,18.8,2.5
246,15.99,0.0,22.2,2.7
247,14.91,0.0,24.8,2.3
248,3.40,0.0,23.9,13.1
249,8.09,0.0,24.9,6.3
250,18.84,0.0,30.4,7.6
251,6.94,0.0,28.3,2.2
252,9.71,0.0,29.8,4.5
253,5.92,0.0,31.0,6.3
254,7.36,0.0,28.8,1.9
255,8.88,0.0,26.0,3.3
256,3.99,0.0,24.8,5.8
257,24.60,0.0,25.3,1.2
258,5.30,0.0,24.3,10.9
259,10.99,0.0,22.3,6.7
260,7.79,0.0,21.9,2.3
261,23.25,0.0,19.5,4.4
262,5.82,0.0,18.9,6.0
263,7.62,0.0,17.8,4.8
264,5.46,0.0,16.9,4.3
265,2.87,0.0,17.1,4.2
266,16.53,0.0,18.3,7.1
267,12.42,0.0,20.8,7.3
268,13.89,0.0,20.8,6.8
269,19.81,0.0,21.3,6.8
270,13.00,0.0,22.8,6.0
271,9.33,0.0,21.8,6.4
272,14.24,0.0,24.9,12.3
273,8.99,0.0,27.9,4.2
274,23.75,0.0,25.8,1.6
275,9.80,0.0,25.7,9.4
276,11.34,0.0,26.4,5.9
277,17.85,0.0,27.3,6.2
278,45.00,0.0,27.5,2.7
279,6.60,0.0,27.1,1.7
280,5.86,0.0,26.8,5.3
281,10.52,0.0,24.1,3.8
282,7.78,0.0,24.3,4.4
283,18.54,0.0,20.1,3.3
284,13.71,0.0,22.5,4.6
285,6.22,0.0,20.2,3.0
286,19.10,0.0,15.9,11.0
287,36.91,0.0,18.5,4.0
288,7.54,0.0,21.7,7.5
289,14.81,0.0,21.5,6.0
290,3.26,0.0,18.8,9.8
291,9.77,0.0,20.6,5.0
292,14.67,0.0,19.0,7.8
293,11.19,0.0,20.0,6.9
294,13.03,0.0,22.9,11.4
295,7.64,0.0,23.8,6.9
296,25.95,0.0,25.9,2.8
297,9.52,0.0,27.7,4.0
298,5.83,0.0,28.4,2.2
299,11.90,0.0,29.6,3.7
300,21.19,0.0,29.0,2.0
301,16.99,0.0,29.7,7.0
302,8.93,0.0,29.1,1.5
303,35.30,0.0,26.4,2.4
304,11.65,0.0,22.6,5.4
305,4.36,0.0,22.7,7.3
306,17.40,0.0,24.1,1.3
307,11.22,0.0,22.1,5.6
308,11.65,0.0,23.8,6.6
309,20.77,0.0,17.3,1.6
310,10.42,0.0,20.2,1.5
311,10.24,0.0,18.3,4.5
312,5.74,0.0,17.0,5.9
313,8.87,0.0,21.0,3.4
314,14.11,0.0,17.2,5.1
315,8.56,0.0,20.2,4.5
316,4.47,0.0,22.6,14.9
317,18.01,0.0,20.6,1.2
318,18.46,0.0,20.4,3.4
319,18.54,0.0,25.4,3.5
320,6.99,0.0,27.4,1.6
321,12.03,0.0,26.0,5.6
322,14.07,0.0,25.1,3.2
323,17.40,0.0,28.4,2.6
324,17.64,0.0,27.7,2.1
325,5.22,0.0,25.2,4.8
326,34.24,0.0,28.4,6.0
327,5.90,0.0,25.6,4.0
328,4.58,0.0,26.6,7.7
329,2.10,0.0,27.9,5.6
330,18.52,0.0,23.1,13.3
331,29.06,0.0,22.0,2.3
332,8.34,0.0,20.8,1.9
333,4.22,0.0,19.5,6.4
334,20.59,0.0,17.1,3.8
335,5.59,0.0,18.8,2.0
336,17.66,0.0,17.3,2.5
337,7.00,0.0,17.7,7.0
338,9.36,0.0,17.7,7.9
339,14.75,0.0,20.3,7.1
340,14.82,0.0,19.5,4.8
341,12.99,0.0,22.4,3.9
342,29.43,0.0,23.9,4.0
343,34.08,0.0,24.5,5.2
344,35.71,0.0,23.5,5.0
345,10.96,0.0,25.8,2.5
346,12.98,0.0,27.4,8.2
347,27.85,0.0,26.0,4.6
348,8.24,0.0,28.6,1.2
349,9.41,0.0,30.1,2.1
350,12.34,0.0,28.2,3.5
