hour,visibility_km,rain_rate_mmhr,temperature_c,wind_speed_mps
0,32.46,0.0,5.1,2.0
1,50.80,0.0,6.4,18.3
2,22.73,0.0,7.6,5.4
3,24.37,0.0,7.9,8.7
4,34.86,0.0,9.7,4.0
5,50.06,0.0,13.0,10.7
6,26.16,0.0,11.3,9.4
7,49.19,0.0,9.9,5.7
8,48.46,0.0,11.2,1.5
9,37.25,0.0,12.2,2.2
10,53.25,0.0,14.3,6.3
11,26.86,0.0,15.0,9.4
12,60.49,0.0,15.3,6.9
13,60.17,0.0,15.2,6.8
14,58.74,0.0,15.1,8.3
15,42.87,0.0,14.1,5.7
16,20.01,0.0,15.0,6.3
17,43.13,0.0,13.6,11.9
18,58.43,0.0,10.0,4.4
19,11.68,0.0,9.4,11.8
20,39.99,0.0,10.5,1.3
21,39.01,0.0,6.0,4.0
22,25.48,0.0,4.7,3.4
23,15.40,0.0,4.4,7.3
24,27.64,0.0,3.3,2.8
25,40.45,0.0,4.6,2.9
26,25.82,0.0,3.6,2.3
27,61.57,0.0,5.6,6.4
28,33.49,0.0,10.1,5.7
29,34.95,0.0,6.6,7.0
30,29.76,0.0,10.2,3.4
31,29.53,0.0,10.4,5.5
32,29.99,0.0,13.0,3.0
33,32.74,0.0,13.8,5.4
34,29.36,0.0,15.6,10.4
35,26.37,0.0,15.5,4.1
36,43.34,0.0,13.3,3.5
37,31.61,0.0,15.3,4.1
38,48.59,0.0,11.6,5.5
39,34.47,0.0,11.0,6.6
40,24.08,0.0,14.6,4.3
41,20.63,0.0,12.4,4.1
42,32.80,0.0,9.3,7.9
43,50.26,0.0,8.8,3.7
44,61.13,0.0,9.3,4.8
45,69.76,0.0,6.9,4.0
46,51.07,0.0,4.9,4.3
47,67.22,0.0,4.2,5.4
48,23.91,0.0,2.9,5.3
49,39.63,0.0,4.5,3.6
50,24.31,0.0,4.1,7.0
51,39.90,0.0,7.9,3.8
52,49.38,0.0,8.4,3.9
53,27.32,0.0,7.4,6.9
54,38.85,0.0,9.0,6.4
55,34.36,0.0,11.2,4.9
56,36.83,0.0,12.0,4.8
57,31.11,0.0,15.7,4.1
58,19.51,0.0,17.9,4.3
59,58.80,0.0,13.7,3.1
60,39.62,0.0,16.9,26.0
61,42.57,0.0,14.8,7.0
62,57.82,0.0,14.7,3.5
63,49.43,0.0,14.2,5.9
64,17.95,0.0,12.1,1.6
65,53.63,0.0,10.5,3.4
66,37.05,0.0,9.6,10.0
67,35.06,0.0,9.5,15.7
68,41.59,0.0,8.4,3.2
69,38.66,0.0,9.9,6.1
70,24.99,0.0,6.0,3.3
71,20.26,0.0,4.8,8.5
72,9.04,0.0,4.7,1.8
73,47.11,0.0,5.1,5.6
74,78.73,0.0,5.9,2.1
75,26.85,0.0,7.3,4.3
76,51.56,0.0,11.6,3.9
77,23.28,0.0,9.0,4.8
78,27.10,0.0,8.4,10.7
79,54.81,0.0,14.0,6.4
80,24.37,0.0,13.7,4.8
81,28.29,0.0,11.5,4.8
82,28.68,0.0,15.1,5.2
83,30.13,0.0,15.5,7.5
84,50.79,0.0,16.6,5.9
85,20.57,0.0,19.0,10.3
86,28.42,0.0,14.8,2.6
87,24.11,0.0,13.5,4.2
88,14.76,0.0,13.1,4.4
89,37.86,0.0,11.2,3.9
90,31.18,0.0,8.4,4.5
91,10.37,0.0,10.3,5.9
92,41.42,0.0,4.7,2.6
93,39.62,0.0,4.9,1.2
94,27.15,0.0,4.0,5.7
95,20.75,0.0,5.6,2.8
96,32.82,0.0,4.6,2.2
97,99.61,0.0,7.0,4.1
98,30.19,0.0,7.9,12.5
99,25.78,0.0,5.0,11.6
100,27.82,0.0,6.1,4.1
101,18.65,0.0,7.0,2.0
102,54.99,0.0,12.4,8.3
103,21.75,0.0,12.0,15.2
104,18.63,0.0,11.7,12.9
105,26.59,0.0,15.1,4.5
106,59.03,0.0,13.9,6.2
107,44.92,0.0,15.9,6.0
108,29.45,0.0,14.9,5.2
109,27.54,0.0,13.5,3.1
110,25.95,0.0,16.2,2.5
111,26.12,0.0,13.5,7.9
112,29.61,0.0,14.5,5.2
113,48.97,0.0,14.6,6.1
114,23.64,0.0,11.7,3.6
115,73.96,0.0,10.8,3.1
116,52.16,0.0,9.2,1.6
117,78.93,0.0,6.3,1.5
118,17.00,0.0,7.4,8.2
119,27.15,0.0,5.7,13.6
120,37.81,0.0,3.0,4.7
121,33.80,0.0,6.5,4.7
122,45.71,0.0,7.3,3.0
123,41.69,0.0,6.2,2.4
124,21.77,0.0,5.6,3.1
125,25.10,0.0,11.7,11.2
126,31.89,0.0,11.1,16.4
127,17.85,0.0,13.5,2.2
128,28.54,0.0,12.6,7.1
129,39.96,0.0,13.9,10.1
130,56.10,0.0,13.4,3.5
131,37.34,0.0,18.0,5.1
132,11.34,0.0,19.9,2.8
133,33.27,0.0,15.2,9.0
134,51.35,0.0,15.3,6.8
135,16.94,0.0,16.5,2.0
136,31.34,0.0,10.2,3.9
137,50.95,0.0,16.0,3.6
138,32.09,0.0,13.5,10.9
139,29.74,0.0,7.6,5.3
140,56.34,0.0,6.6,4.0
141,32.12,0.0,4.9,8.4
142,31.76,0.0,4.2,1.7
143,31.08,0.0,6.8,1.8
144,53.39,0.0,4.4,11.7
145,33.60,0.0,6.4,3.5
146,30.81,0.0,8.3,3.0
147,29.49,0.0,8.5,3.7
148,15.15,0.0,9.7,15.1
149,40.27,0.0,10.5,8.6
150,32.85,0.0,12.4,1.8
