time_s,ecg_clean_mv,ecg_noisy_mv
0.0000,350.000000,350.003386
0.0010,350.000000,350.013126
0.0020,350.000000,350.013575
0.0030,350.000000,350.008110
0.0040,350.000000,350.026110
0.0050,350.000000,350.022411
0.0060,350.000000,350.031041
0.0070,350.000000,350.013835
0.0080,350.000000,350.013401
0.0090,350.000000,349.997597
0.0100,350.000000,350.008527
0.0110,350.000000,350.004874
0.0120,350.000000,349.984703
0.0130,350.000000,349.981971
0.0140,350.000000,349.973864
0.0150,350.000000,349.973687
0.0160,350.000000,349.986342
0.0170,350.000000,349.980395
0.0180,350.000000,349.993765
0.0190,350.000000,349.996759
0.0200,350.000000,350.010528
0.0210,350.000000,350.009027
0.0220,350.000000,350.027765
0.0230,350.000000,350.039621
0.0240,350.000000,350.014650
0.0250,350.000000,350.028916
0.0260,350.000000,350.027963
0.0270,350.000000,350.019796
0.0280,350.000000,350.023699
0.0290,350.000000,350.022939
0.0300,350.000000,349.990991
0.0310,350.000000,349.983196
0.0320,350.000000,350.006388
0.0330,350.000000,349.986128
0.0340,350.000000,349.985578
0.0350,350.000000,349.975365
0.0360,350.000000,349.985668
0.0370,350.000000,349.999900
0.0380,350.000000,349.998455
0.0390,350.000000,350.002942
0.0400,350.000000,349.994882
0.0410,350.000000,350.022626
0.0420,350.000000,350.023678
0.0430,350.000000,350.024272
0.0440,350.000000,350.037911
0.0450,350.000000,350.027388
0.0460,350.000000,350.037708
0.0470,350.000000,350.039774
0.0480,350.000000,350.026189
0.0490,350.000000,350.015098
0.0500,350.002198,350.008920
0.0510,350.002678,350.009848
0.0520,350.003246,349.997434
0.0530,350.003916,350.015407
0.0540,350.004700,349.982755
0.0550,350.005612,349.993001
0.0560,350.006669,349.998677
0.0570,350.007885,350.002575
0.0580,350.009277,350.003787
0.0590,350.010859,350.026629
0.0600,350.012648,350.031536
0.0610,350.014658,350.041772
0.0620,350.016903,350.039671
0.0630,350.019395,350.049818
0.0640,350.022142,350.063328
0.0650,350.025153,350.055029
0.0660,350.028431,350.071486
0.0670,350.031976,350.065715
0.0680,350.035784,350.073762
0.0690,350.039845,350.059420
0.0700,350.044146,350.074464
0.0710,350.048667,350.060564
0.0720,350.053383,350.059694
0.0730,350.058264,350.049787
0.0740,350.063275,350.059181
0.0750,350.068374,350.056909
0.0760,350.073515,350.055521
0.0770,350.078649,350.075046
0.0780,350.083721,350.096520
0.0790,350.088676,350.098575
0.0800,350.093456,350.109156
0.0810,350.098002,350.121237
0.0820,350.102257,350.152799
0.0830,350.106165,350.149175
0.0840,350.109672,350.138728
0.0850,350.112730,350.151560
0.0860,350.115295,350.154313
0.0870,350.117330,350.150601
0.0880,350.118806,350.153276
