time_s,ecg_clean_mv,ecg_noisy_mv
0.0000,300.000000,300.016872
0.0010,300.000000,300.016163
0.0020,300.000000,300.010400
0.0030,300.000000,300.002277
0.0040,300.000000,300.028811
0.0050,300.000000,300.025732
0.0060,300.000000,300.006992
0.0070,300.000000,300.050873
0.0080,300.000000,300.024039
0.0090,300.000000,300.003029
0.0100,300.000000,300.005275
0.0110,300.000000,300.000024
0.0120,300.000000,299.990741
0.0130,300.000000,299.970926
0.0140,300.000000,299.980541
0.0150,300.000000,299.973714
0.0160,300.000000,299.980416
0.0170,300.000000,299.967820
0.0180,300.000000,299.996943
0.0190,300.000000,300.010358
0.0200,300.000000,300.002058
0.0210,300.000000,300.024762
0.0220,300.000000,300.022176
0.0230,300.000000,300.018480
0.0240,300.000000,300.014382
0.0250,300.000000,300.008387
0.0260,300.000000,300.020193
0.0270,300.000000,300.031969
0.0280,300.001832,300.033760
0.0290,300.002231,300.012094
0.0300,300.002705,300.001339
0.0310,300.003263,299.988210
0.0320,300.003916,300.003976
0.0330,300.004677,299.995511
0.0340,300.005558,299.986767
0.0350,300.006571,299.996184
0.0360,300.007730,299.997323
0.0370,300.009049,300.009109
0.0380,300.010540,300.019415
0.0390,300.012215,299.993543
0.0400,300.014086,300.030662
0.0410,300.016162,300.028415
0.0420,300.018452,300.026833
0.0430,300.020961,300.033288
0.0440,300.023693,300.049111
0.0450,300.026647,300.058142
0.0460,300.029820,300.053568
0.0470,300.033204,300.051602
0.0480,300.036788,300.047102
0.0490,300.040555,300.061411
0.0500,300.044486,300.067002
0.0510,300.048554,300.061905
0.0520,300.052729,300.053654
0.0530,300.056978,300.050278
0.0540,300.061263,300.050185
0.0550,300.065541,300.048370
0.0560,300.069768,300.055838
0.0570,300.073897,300.061778
0.0580,300.077880,300.087071
0.0590,300.081669,300.076095
0.0600,300.085214,300.091739
0.0610,300.088471,300.119877
0.0620,300.091393,300.114223
0.0630,300.093941,300.118155
0.0640,300.096079,300.132875
0.0650,300.097775,300.137804
0.0660,300.099005,300.129038
0.0670,300.099750,300.124560
0.0680,300.100000,300.120193
0.0690,300.099750,300.109159
0.0700,300.099005,300.110989
0.0710,300.097775,300.104668
0.0720,300.096079,300.079338
0.0730,300.093941,300.087877
0.0740,300.091393,300.082402
0.0750,300.088471,300.076808
0.0760,300.085214,300.077932
0.0770,300.081669,300.077852
0.0780,300.077880,300.079312
0.0790,300.073897,300.095503
0.0800,300.069768,300.077124
0.0810,300.065541,300.087499
0.0820,300.061263,300.079373
0.0830,300.056978,300.097720
0.0840,300.052729,300.092000
0.0850,300.048554,300.082740
0.0860,300.044486,300.071352
0.0870,300.040555,300.066232
0.0880,300.036788,300.067697
0.0890,300.033204,300.050420
0.0900,300.029820,300.030002
0.0910,300.026647,300.046207
0.0920,300.023693,300.040064
0.0930,300.020961,300.008840
0.0940,300.018452,299.999656
0.0950,300.016162,300.030453
0.0960,300.014086,300.031737
0.0970,300.012215,300.011098
0.0980,300.010540,300.024114
0.0990,300.009049,300.019706
0.1000,300.007730,300.017154
0.1010,300.006571,300.033479
0.1020,300.005558,300.032903
0.1030,300.004677,300.036172
0.1040,300.003916,300.063265
0.1050,300.003263,300.052098
0.1060,300.002705,300.054524
0.1070,300.002231,300.057835
0.1080,300.000000,300.052089
0.1090,300.000000,300.028715
0.1100,300.000000,300.029664
0.1110,300.000000,300.015669
0.1120,300.000000,300.005066
0.1130,300.000000,300.017013
0.1140,300.000000,299.999853
0.1150,300.000000,300.011159
0.1160,300.000000,300.011507
0.1170,300.000000,300.004497
0.1180,300.000000,300.000307
0.1190,300.000000,300.033240
0.1200,300.000000,300.014420
0.1210,300.000000,300.031642
0.1220,300.000000,300.037207
0.1230,300.000000,300.035035
0.1240,300.000000,300.040978
0.1250,300.000000,300.033813
0.1260,300.000000,300.053492
0.1270,300.000000,300.039292
0.1280,300.000000,300.036239
0.1290,299.979209,300.001328
0.1300,299.959326,299.980017
0.1310,299.941221,299.943494
0.1320,299.925686,299.936630
0.1330,299.913397,299.925533
0.1340,299.904894,299.910286
0.1350,299.900548,299.923410
0.1360,299.918863,299.908702
0.1370,299.939591,299.946373
0.1380,299.975574,299.982409
0.1390,300.031085,300.040941
0.1400,300.110235,300.122407
0.1410,300.215702,300.248067
0.1420,300.347088,300.378086
