time_s,ecg_clean_mv,ecg_noisy_mv
0.0000,280.000000,280.001938
0.0010,280.000000,280.007010
0.0020,280.000000,280.006209
0.0030,280.000000,279.996221
0.0040,280.000000,280.001320
0.0050,280.000000,280.005885
0.0060,280.000000,280.010675
0.0070,280.000000,280.002290
0.0080,280.000000,280.001236
0.0090,280.000000,279.999307
0.0100,280.000000,279.995736
0.0110,280.000000,280.000718
0.0120,280.000000,279.993401
0.0130,280.000000,280.005612
0.0140,280.000000,279.993824
0.0150,280.000000,279.990967
0.0160,280.000000,279.986498
0.0170,280.000000,279.985185
0.0180,280.000000,280.006177
0.0190,280.000000,280.003261
0.0200,280.000000,280.001384
0.0210,280.000000,280.002535
0.0220,280.000000,279.995493
0.0230,280.000000,280.004012
0.0240,280.000000,280.000219
0.0250,280.000000,280.005801
0.0260,280.000549,280.004155
0.0270,280.000669,280.008535
0.0280,280.000812,280.003394
0.0290,280.000979,279.998493
0.0300,280.001175,280.001909
0.0310,280.001403,280.001605
0.0320,280.001667,280.003350
0.0330,280.001971,280.008257
0.0340,280.002319,280.010489
0.0350,280.002715,279.993582
0.0360,280.003162,279.997854
0.0370,280.003665,279.997313
0.0380,280.004226,279.990614
0.0390,280.004849,280.008573
0.0400,280.005536,280.012057
0.0410,280.006288,280.005389
0.0420,280.007108,280.018535
0.0430,280.007994,280.016731
0.0440,280.008946,280.021286
0.0450,280.009961,280.018984
0.0460,280.011036,280.017629
0.0470,280.012167,280.023747
0.0480,280.013346,280.021643
0.0490,280.014566,280.017301
0.0500,280.015819,280.022902
0.0510,280.017093,280.017675
0.0520,280.018379,280.015431
0.0530,280.019662,280.012319
0.0540,280.020930,280.027919
0.0550,280.022169,280.015728
0.0560,280.023364,280.010944
0.0570,280.024501,280.029970
0.0580,280.025564,280.028004
0.0590,280.026541,280.017366
0.0600,280.027418,280.036521
0.0610,280.028182,280.036610
0.0620,280.028824,280.039964
0.0630,280.029333,280.038868
0.0640,280.029701,280.041102
0.0650,280.029925,280.040330
0.0660,280.030000,280.038784
0.0670,280.029925,280.041756
0.0680,280.029701,280.038465
0.0690,280.029333,280.028050
0.0700,280.028824,280.027896
0.0710,280.028182,280.029211
0.0720,280.027418,280.019804
0.0730,280.026541,280.024257
0.0740,280.025564,280.024605
0.0750,280.024501,280.017291
0.0760,280.023364,280.027970
0.0770,280.022169,280.015635
0.0780,280.020930,280.018484
0.0790,280.019662,280.024251
0.0800,280.018379,280.018898
0.0810,280.017093,280.025282
0.0820,280.015819,280.018955
0.0830,280.014566,280.030805
0.0840,280.013346,280.019841
0.0850,280.012167,280.016478
0.0860,280.011036,280.023581
0.0870,280.009961,280.019375
0.0880,280.008946,280.008722
0.0890,280.007994,280.015859
0.0900,280.007108,280.015459
0.0910,280.006288,280.020601
0.0920,280.005536,280.008141
0.0930,280.004849,279.997097
0.0940,280.004226,280.015937
0.0950,280.003665,280.005253
0.0960,280.003162,279.992488
0.0970,280.002715,280.006213
0.0980,280.002319,280.004868
0.0990,280.001971,280.009232
0.1000,280.001667,280.010646
0.1010,280.001403,280.011939
0.1020,280.001175,280.011447
0.1030,280.000979,280.011788
0.1040,280.000812,280.016173
0.1050,280.000669,280.002294
0.1060,280.000000,280.007959
0.1070,280.000000,280.012476
0.1080,280.000000,280.005887
0.1090,280.000000,280.008813
0.1100,280.000000,280.000607
0.1110,280.000000,280.002203
0.1120,280.000000,280.003577
0.1130,280.000000,280.005320
0.1140,280.000000,280.008302
0.1150,280.000000,280.005147
0.1160,280.000000,280.003756
0.1170,280.000000,279.997474
0.1180,280.000000,280.005763
0.1190,280.000000,280.000845
0.1200,280.000000,280.003780
0.1210,280.000000,280.004931
0.1220,280.000000,280.018338
0.1230,280.000000,280.011659
0.1240,280.000000,280.009010
0.1250,280.000000,280.023458
0.1260,280.000000,280.004229
0.1270,279.993763,280.002048
0.1280,279.987798,280.001787
0.1290,279.982366,279.990250
0.1300,279.977706,279.988752
0.1310,279.974019,279.977068
0.1320,279.971468,279.975051
0.1330,279.970164,279.975207
0.1340,279.975659,279.978309
0.1350,279.981877,279.979289
0.1360,279.992672,279.991006
0.1370,280.009325,280.009134
0.1380,280.033070,280.032481
0.1390,280.064711,280.074041
0.1400,280.104126,280.114398
0.1410,280.149806,280.155043
0.1420,280.192354,280.209357
0.1430,280.233640,280.252086
0.1440,280.268452,280.290491
0.1450,280.291781,280.321563
0.1460,280.300000,280.305522
0.1470,280.291781,280.298200
0.1480,280.268452,280.280811
0.1490,280.233640,280.244912
0.1500,280.192354,280.203449
0.1510,280.149806,280.154866
0.1520,280.110364,280.118534
0.1530,280.076913,280.071834
0.1540,280.050704,280.048723
0.1550,280.031620,280.035710
0.1560,280.018653,280.027211
0.1570,280.010409,280.014602
0.1580,280.000000,279.997425
0.1590,280.000000,280.012730
0.1600,280.000000,280.009810
0.1610,280.000000,280.006351
0.1620,280.000000,280.007994
0.1630,280.000000,280.010344
0.1640,280.000000,280.010721
0.1650,280.000000,280.007183
0.1660,279.955000,279.972374
0.1670,279.961268,279.969299
0.1680,279.966663,279.978190
0.1690,279.971307,279.981999
0.1700,279.975303,279.982433
0.1710,279.978744,279.989728
0.1720,279.981704,279.989194
0.1730,279.984253,279.987254
0.1740,279.986446,279.985282
0.1750,279.988334,279.985503
0.1760,279.989959,279.998537
0.1770,279.991358,279.996792
0.1780,279.992562,280.003376
0.1790,279.993598,279.995999
0.1800,279.994489,280.006804
0.1810,279.995257,279.991470
0.1820,279.995918,280.023581
0.1830,279.996486,280.018773
0.1840,279.996976,280.004491
0.1850,279.997397,280.010118
0.1860,280.000000,280.013760
0.1870,280.000000,280.011740
0.1880,280.000000,280.011543
0.1890,280.000000,280.013719
0.1900,280.000000,280.005766
0.1910,280.000000,280.001614
0.1920,280.000000,280.015348
0.1930,280.000000,280.010843
0.1940,280.000000,280.003588
0.1950,280.000000,280.003165
0.1960,280.000000,280.003148
0.1970,280.000000,280.005263
0.1980,280.000000,280.006005
0.1990,280.000000,280.005220
0.2000,280.000000,280.006815
0.2010,280.000000,280.009518
0.2020,280.000000,280.011239
0.2030,280.000000,280.019057
