time_s,ecg_clean_mv,ecg_noisy_mv
0.0000,300.003916,300.026798
0.0010,300.004677,300.040248
0.0020,300.005558,300.087470
0.0030,300.006571,300.085480
0.0040,300.007730,300.089048
0.0050,300.009049,300.073697
0.0060,300.010540,300.070561
0.0070,300.012215,300.009541
0.0080,300.014086,299.999654
0.0090,300.016162,299.946889
0.0100,300.018452,300.090275
0.0110,300.020961,300.019237
0.0120,300.023693,300.030895
0.0130,300.026647,299.872279
0.0140,300.029820,299.980512
0.0150,300.033204,300.064712
0.0160,300.036788,300.037311
0.0170,300.040555,299.994502
0.0180,300.044486,300.030258
0.0190,300.048554,300.144897
0.0200,300.052729,300.044721
0.0210,300.056978,300.073170
0.0220,300.061263,300.076832
0.0230,300.065541,300.096452
0.0240,300.069768,300.153515
0.0250,300.073897,300.222719
0.0260,300.077880,300.175634
0.0270,300.081669,300.114605
0.0280,300.085214,300.161884
0.0290,300.088471,300.025404
0.0300,300.091393,300.096148
0.0310,300.093941,300.058602
0.0320,300.096079,300.061882
0.0330,300.097775,300.135847
0.0340,300.099005,300.154717
0.0350,300.099750,300.019805
0.0360,300.100000,300.078954
0.0370,300.099750,300.057962
0.0380,300.099005,300.127800
0.0390,300.097775,300.154523
0.0400,300.096079,300.216928
0.0410,300.093941,300.167709
0.0420,300.091393,300.168341
0.0430,300.088471,300.062682
0.0440,300.085214,300.078747
0.0450,300.081669,300.112936
0.0460,300.077880,300.233968
0.0470,300.073897,300.102749
0.0480,300.069768,300.162132
0.0490,300.065541,300.060005
0.0500,300.061263,300.069499
0.0510,300.056978,300.059338
0.0520,300.052729,300.026111
0.0530,300.048554,300.076717
0.0540,300.044486,299.970930
0.0550,300.040555,299.939525
0.0560,300.036788,300.015199
0.0570,300.033204,300.055277
0.0580,300.029820,299.990978
0.0590,300.026647,300.147869
0.0600,300.023693,300.034873
0.0610,300.020961,300.042481
0.0620,300.018452,299.991781
0.0630,300.016162,300.075648
0.0640,300.014086,300.096426
0.0650,300.012215,300.054379
0.0660,300.010540,300.057665
0.0670,300.009049,300.049988
0.0680,300.007730,299.987156
0.0690,300.006571,300.097803
0.0700,300.005558,300.003140
0.0710,300.004677,300.098208
0.0720,300.003916,299.945374
0.0730,300.003263,300.046155
0.0740,300.002705,300.006919
0.0750,300.002231,300.000933
0.0760,300.000000,299.965719
0.0770,300.000000,300.031808
0.0780,300.000000,300.029715
0.0790,300.000000,300.098008
0.0800,300.000000,300.048517
0.0810,300.000000,300.000996
0.0820,300.000000,300.005649
0.0830,300.000000,300.047981
0.0840,300.000000,300.109104
0.0850,300.000000,300.055351
0.0860,300.000000,300.086328
0.0870,300.000000,300.047334
0.0880,300.000000,299.934399
0.0890,300.000000,300.045631
0.0900,300.000000,300.007279
0.0910,300.000000,300.072367
0.0920,300.000000,300.088133
0.0930,300.000000,300.091472
0.0940,300.000000,299.990036
0.0950,300.000000,299.974234
0.0960,300.000000,299.983024
0.0970,299.979209,299.975415
0.0980,299.959326,299.974256
0.0990,299.941221,299.907561
0.1000,299.925686,299.945516
0.1010,299.913397,299.836899
0.1020,299.904894,300.043370
0.1030,299.900548,299.924552
0.1040,299.918863,299.936119
0.1050,299.939591,300.006557
0.1060,299.975574,300.056423
0.1070,300.031085,299.965876
0.1080,300.110235,300.107947
0.1090,300.215702,300.313425
0.1100,300.347088,300.411449
0.1110,300.499352,300.455438
0.1120,300.641180,300.709771
0.1130,300.778801,300.821671
0.1140,300.894839,300.856768
0.1150,300.972604,300.973940
0.1160,301.000000,300.917696
0.1170,300.972604,301.018930
0.1180,300.894839,300.982254
0.1190,300.778801,300.777921
0.1200,300.641180,300.663391
0.1210,300.499352,300.549340
0.1220,300.367879,300.391164
0.1230,300.256376,300.192269
0.1240,300.169013,300.265176
0.1250,300.105399,300.209122
0.1260,300.062177,300.139091
0.1270,300.034697,300.144515
0.1280,300.000000,300.029149
0.1290,300.000000,300.052501
0.1300,300.000000,299.989330
0.1310,300.000000,299.974595
0.1320,300.000000,299.947845
0.1330,300.000000,300.025959
0.1340,300.000000,300.010465
0.1350,300.000000,300.060207
0.1360,299.850000,299.769394
0.1370,299.870894,299.893540
0.1380,299.888877,299.989263
0.1390,299.904356,299.930093
0.1400,299.917678,299.988919
0.1410,299.929145,300.078887
0.1420,299.939015,300.045580
0.1430,299.947509,299.919163
0.1440,299.954821,299.985184
0.1450,299.961114,300.026235
0.1460,299.966530,300.009631
0.1470,299.971193,300.080518
0.1480,299.975205,300.013647
0.1490,299.978659,300.009175
0.1500,299.981632,300.063904
0.1510,299.984190,299.935798
0.1520,299.986392,300.027471
0.1530,299.988288,299.969111
0.1540,299.989919,300.038455
0.1550,299.991323,299.981995
0.1560,300.000000,300.035764
0.1570,300.000000,299.985836
0.1580,300.000000,299.918769
0.1590,300.000000,300.041555
0.1600,300.000000,299.964936
0.1610,300.000000,300.111074
0.1620,300.000000,300.070177
0.1630,300.000000,300.082878
0.1640,300.000000,300.035484
0.1650,300.000000,300.049837
0.1660,300.000000,299.931690
0.1670,300.000000,300.066983
0.1680,300.000000,299.986007
0.1690,300.000000,300.053500
0.1700,300.000000,299.976899
0.1710,300.000000,300.056458
0.1720,300.000000,300.029410
0.1730,300.000000,299.950332
0.1740,300.000000,300.080963
0.1750,300.000000,300.002803
0.1760,300.000000,299.969691
0.1770,300.000000,300.068599
0.1780,300.000000,299.993905
0.1790,300.000000,300.018680
0.1800,300.000000,300.110056
0.1810,300.000000,300.059778
0.1820,300.000000,300.076550
0.1830,300.000000,300.044630
0.1840,300.000000,300.020141
0.1850,300.000000,300.037924
0.1860,300.000000,299.935448
0.1870,300.000000,300.084556
0.1880,300.000000,300.076325
0.1890,300.000000,299.967001
0.1900,300.000000,300.054285
0.1910,300.000000,299.879769
0.1920,300.000000,300.130723
0.1930,300.000000,299.991113
0.1940,300.000000,299.991299
0.1950,300.000000,300.053494
0.1960,300.005495,300.046231
0.1970,300.006069,299.949967
0.1980,300.006694,300.034055
0.1990,300.007375,300.059516
0.2000,300.008116,300.003478
0.2010,300.008919,300.091898
0.2020,300.009789,299.995357
0.2030,300.010731,300.094643
0.2040,300.011749,299.993937
0.2050,300.012848,300.049674
0.2060,300.014031,299.989815
0.2070,300.015305,300.109941
0.2080,300.016673,300.129519
0.2090,300.018141,300.148390
0.2100,300.019713,300.037989
0.2110,300.021395,300.015699
0.2120,300.023191,300.101440
0.2130,300.025107,300.051449
0.2140,300.027147,300.015818
0.2150,300.029317,300.016603
0.2160,300.031620,300.054077
0.2170,300.034061,300.119148
0.2180,300.036645,300.012504
0.2190,300.039376,300.139641
0.2200,300.042258,300.073975
0.2210,300.045293,300.153209
0.2220,300.048486,300.090983
0.2230,300.051840,300.151184
0.2240,300.055356,300.074309
0.2250,300.059037,300.141831
0.2260,300.062883,300.156302
0.2270,300.066897,300.032080
0.2280,300.071078,300.206822
0.2290,300.075426,300.051295
0.2300,300.079940,300.176621
0.2310,300.084619,300.096423
0.2320,300.089459,300.158998
0.2330,300.094458,300.142584
0.2340,300.099612,300.106515
0.2350,300.104916,300.084035
0.2360,300.110364,300.122641
0.2370,300.115950,300.119492
0.2380,300.121666,300.172247
0.2390,300.127505,300.169714
0.2400,300.133457,300.137957
0.2410,300.139513,300.128783
0.2420,300.145661,300.181386
0.2430,300.151890,300.208826
0.2440,300.158188,300.184546
0.2450,300.164541,300.248693
0.2460,300.170935,300.224229
0.2470,300.177356,300.288210
0.2480,300.183788,300.259946
0.2490,300.190215,300.272091
0.2500,300.196622,300.214091
0.2510,300.202990,300.307188
0.2520,300.209303,300.256761
0.2530,300.215542,300.311790
0.2540,300.221691,300.293179
0.2550,300.227729,300.244420
0.2560,300.233640,300.231439
0.2570,300.239405,300.275613
0.2580,300.245006,300.266378
0.2590,300.250424,300.256642
0.2600,300.255643,300.250508
0.2610,300.260645,300.411025
0.2620,300.265412,300.257604
0.2630,300.269929,300.238183
0.2640,300.274179,300.360973
0.2650,300.278149,300.310713
0.2660,300.281824,300.334790
0.2670,300.285191,300.281882
0.2680,300.288237,300.369535
0.2690,300.290952,300.360653
0.2700,300.293325,300.390407
0.2710,300.295349,300.366461
0.2720,300.297015,300.320665
0.2730,300.298317,300.251604
0.2740,300.299251,300.290594
0.2750,300.299813,300.287721
0.2760,300.300000,300.276420
0.2770,300.299813,300.399116
0.2780,300.299251,300.407942
0.2790,300.298317,300.317586
0.2800,300.297015,300.388731
0.2810,300.295349,300.365924
0.2820,300.293325,300.327515
0.2830,300.290952,300.363678
0.2840,300.288237,300.261055
0.2850,300.285191,300.278713
0.2860,300.281824,300.374284
0.2870,300.278149,300.393916
0.2880,300.274179,300.383833
0.2890,300.269929,300.276267
0.2900,300.265412,300.362493
0.2910,300.260645,300.340719
0.2920,300.255643,300.320127
0.2930,300.250424,300.280702
0.2940,300.245006,300.253471
0.2950,300.239405,300.309956
0.2960,300.233640,300.308497
0.2970,300.227729,300.255311
0.2980,300.221691,300.285705
0.2990,300.215542,300.287074
0.3000,300.209303,300.258840
0.3010,300.202990,300.229351
0.3020,300.196622,300.266925
0.3030,300.190215,300.304882
0.3040,300.183788,300.214839
0.3050,300.177356,300.310814
0.3060,300.170935,300.208877
0.3070,300.164541,300.327494
0.3080,300.158188,300.265960
0.3090,300.151890,300.192222
0.3100,300.145661,300.134371
0.3110,300.139513,300.162410
0.3120,300.133457,300.163152
0.3130,300.127505,300.151711
0.3140,300.121666,300.126105
0.3150,300.115950,300.154865
0.3160,300.110364,300.144236
0.3170,300.104916,300.106880
0.3180,300.099612,300.198450
0.3190,300.094458,300.202318
0.3200,300.089459,300.148258
0.3210,300.084619,300.196382
0.3220,300.079940,300.182165
0.3230,300.075426,300.120085
0.3240,300.071078,300.170529
0.3250,300.066897,300.101757
0.3260,300.062883,300.094003
0.3270,300.059037,300.164911
0.3280,300.055356,300.152177
0.3290,300.051840,300.140113
0.3300,300.048486,300.115315
0.3310,300.045293,300.013361
0.3320,300.042258,300.015665
0.3330,300.039376,300.102159
0.3340,300.036645,300.114793
0.3350,300.034061,300.039068
0.3360,300.031620,300.158133
0.3370,300.029317,300.042058
0.3380,300.027147,300.135764
0.3390,300.025107,299.997158
0.3400,300.023191,300.042862
0.3410,300.021395,300.106491
0.3420,300.019713,300.077362
0.3430,300.018141,300.137525
0.3440,300.016673,300.110913
0.3450,300.015305,300.169665
0.3460,300.014031,300.070465
0.3470,300.012848,300.036897
0.3480,300.011749,300.074957
0.3490,300.010731,300.059357
0.3500,300.009789,300.039293
0.3510,300.008919,300.022520
0.3520,300.008116,299.988085
0.3530,300.007375,300.119367
0.3540,300.006694,299.977126
0.3550,300.006069,300.045726
0.3560,300.000000,300.051465
0.3570,300.000000,300.065931
0.3580,300.000000,300.050279
0.3590,300.000000,299.986489
0.3600,300.000000,300.025050
0.3610,300.000000,300.068307
0.3620,300.000000,300.076380
0.3630,300.000000,300.021408
0.3640,300.000000,300.115724
0.3650,300.000000,300.040359
0.3660,300.000000,300.168296
0.3670,300.000000,299.985635
0.3680,300.000000,300.104388
0.3690,300.000000,300.079336
0.3700,300.000000,300.057441
0.3710,300.000000,300.091142
0.3720,300.000000,300.018496
0.3730,300.000000,300.034486
0.3740,300.000000,299.993308
0.3750,300.000000,300.113847
0.3760,300.000000,300.021107
0.3770,300.000000,300.022377
0.3780,300.000000,300.121176
0.3790,300.000000,299.976127
0.3800,300.000000,300.150580
0.3810,300.000000,300.068981
0.3820,300.000000,300.130655
