time_s,ecg_clean_mv,ecg_noisy_mv
0.0000,300.000000,300.002089
0.0010,300.000000,299.986772
0.0020,300.000000,299.998851
0.0030,300.000000,300.018714
0.0040,300.000000,300.027160
0.0050,300.000000,300.022656
0.0060,300.000000,300.018996
0.0070,300.000000,300.014489
0.0080,300.000000,299.998478
0.0090,300.000000,300.000678
0.0100,300.000000,299.997278
0.0110,300.000000,300.006464
0.0120,300.000000,299.993942
0.0130,300.000000,299.968640
0.0140,300.000000,299.986858
0.0150,300.000000,299.978976
0.0160,300.000000,299.977225
0.0170,300.000000,299.993141
0.0180,300.000000,300.001947
0.0190,300.000000,300.006713
0.0200,300.000000,299.995377
0.0210,300.000000,300.007046
0.0220,300.000000,300.019214
0.0230,300.000000,300.030270
0.0240,300.000000,300.018752
0.0250,300.000000,300.022855
0.0260,300.000000,300.012857
0.0270,300.000000,300.009306
0.0280,300.000000,300.025157
0.0290,300.001832,300.027039
0.0300,300.002231,300.007164
0.0310,300.002705,300.012401
0.0320,300.003263,300.001153
0.0330,300.003916,299.987503
0.0340,300.004677,299.995676
0.0350,300.005558,300.007532
0.0360,300.006571,299.993974
0.0370,300.007730,300.014167
0.0380,300.009049,299.978255
0.0390,300.010540,300.019926
0.0400,300.012215,300.020621
0.0410,300.014086,300.025000
0.0420,300.016162,300.036747
0.0430,300.018452,300.022856
0.0440,300.020961,300.046073
0.0450,300.023693,300.055740
0.0460,300.026647,300.069111
0.0470,300.029820,300.049669
0.0480,300.033204,300.045915
0.0490,300.036788,300.047179
0.0500,300.040555,300.059126
0.0510,300.044486,300.051197
0.0520,300.048554,300.041292
0.0530,300.052729,300.051661
0.0540,300.056978,300.049096
0.0550,300.061263,300.061305
0.0560,300.065541,300.050042
0.0570,300.069768,300.061042
0.0580,300.073897,300.069139
0.0590,300.077880,300.068172
0.0600,300.081669,300.095925
0.0610,300.085214,300.105488
0.0620,300.088471,300.111948
0.0630,300.091393,300.117085
0.0640,300.093941,300.110854
0.0650,300.096079,300.124106
0.0660,300.097775,300.125790
0.0670,300.099005,300.119771
0.0680,300.099750,300.122689
0.0690,300.100000,300.123204
0.0700,300.099750,300.131783
0.0710,300.099005,300.107929
0.0720,300.097775,300.102141
0.0730,300.096079,300.092887
0.0740,300.093941,300.069653
0.0750,300.091393,300.085236
0.0760,300.088471,300.084347
0.0770,300.085214,300.108149
0.0780,300.081669,300.082659
0.0790,300.077880,300.089572
0.0800,300.073897,300.088594
0.0810,300.069768,300.079492
0.0820,300.065541,300.104143
0.0830,300.061263,300.100568
0.0840,300.056978,300.099702
0.0850,300.052729,300.079615
0.0860,300.048554,300.097769
0.0870,300.044486,300.063001
0.0880,300.040555,300.074720
0.0890,300.036788,300.081600
0.0900,300.033204,300.040212
0.0910,300.029820,300.035077
0.0920,300.026647,300.033175
0.0930,300.023693,300.019952
0.0940,300.020961,300.004094
0.0950,300.018452,300.016985
0.0960,300.016162,300.004552
0.0970,300.014086,300.020862
0.0980,300.012215,300.009672
0.0990,300.010540,300.038452
0.1000,300.009049,300.019997
0.1010,300.007730,300.029656
0.1020,300.006571,300.045615
0.1030,300.005558,300.028768
0.1040,300.004677,300.045498
0.1050,300.003916,300.056699
0.1060,300.003263,300.026107
0.1070,300.002705,300.040816
0.1080,300.002231,300.036856
0.1090,300.000000,300.034454
0.1100,300.000000,300.008272
0.1110,300.000000,300.001443
0.1120,300.000000,300.014477
0.1130,300.000000,300.007989
0.1140,300.000000,300.004869
0.1150,300.000000,300.005036
0.1160,300.000000,299.995935
0.1170,300.000000,300.008085
0.1180,300.000000,300.013303
0.1190,300.000000,300.008990
0.1200,300.000000,300.041157
0.1210,300.000000,300.033603
0.1220,300.000000,300.022713
0.1230,300.000000,300.045801
0.1240,300.000000,300.032515
0.1250,300.000000,300.051297
0.1260,300.000000,300.054218
