time_s,ecg_clean_mv,ecg_noisy_mv
0.0000,250.000000,249.967734
0.0010,250.001465,249.988301
0.0020,250.001785,250.008982
0.0030,250.002164,250.012967
0.0040,250.002610,250.026115
0.0050,250.003133,250.026842
0.0060,250.003742,249.993303
0.0070,250.004446,250.026225
0.0080,250.005257,250.018547
0.0090,250.006184,250.021836
0.0100,250.007239,250.024750
0.0110,250.008432,250.003003
0.0120,250.009772,250.020861
0.0130,250.011269,249.986944
0.0140,250.012930,249.985638
0.0150,250.014762,250.007455
0.0160,250.016769,249.998433
0.0170,250.018954,250.012498
0.0180,250.021317,250.044522
0.0190,250.023856,250.027679
0.0200,250.026563,250.032761
0.0210,250.029430,250.024503
0.0220,250.032444,250.019666
0.0230,250.035589,250.050912
0.0240,250.038843,250.073681
0.0250,250.042183,250.057108
0.0260,250.045583,250.070741
0.0270,250.049010,250.087422
0.0280,250.052433,250.087081
0.0290,250.055814,250.071562
0.0300,250.059117,250.066191
0.0310,250.062304,250.039253
0.0320,250.065335,250.051301
0.0330,250.068172,250.055990
0.0340,250.070776,250.047899
0.0350,250.073114,250.066117
0.0360,250.075153,250.094037
0.0370,250.076863,250.092262
0.0380,250.078220,250.078201
0.0390,250.079204,250.091829
0.0400,250.079800,250.074899
0.0410,250.080000,250.113084
0.0420,250.079800,250.072105
0.0430,250.079204,250.112320
0.0440,250.078220,250.107501
0.0450,250.076863,250.088306
0.0460,250.075153,250.094169
0.0470,250.073114,250.076127
0.0480,250.070776,250.071038
0.0490,250.068172,250.056632
0.0500,250.065335,250.084380
0.0510,250.062304,250.083123
0.0520,250.059117,250.025119
0.0530,250.055814,250.078428
0.0540,250.052433,250.045170
0.0550,250.049010,250.045642
0.0560,250.045583,250.016714
0.0570,250.042183,250.057637
0.0580,250.038843,250.041177
0.0590,250.035589,250.056612
0.0600,250.032444,250.059793
0.0610,250.029430,250.063584
0.0620,250.026563,250.035580
0.0630,250.023856,250.043167
0.0640,250.021317,250.036995
0.0650,250.018954,250.058167
0.0660,250.016769,250.046916
0.0670,250.014762,250.053830
0.0680,250.012930,250.049262
0.0690,250.011269,250.000691
0.0700,250.009772,250.040570
0.0710,250.008432,250.028437
0.0720,250.007239,250.003133
0.0730,250.006184,250.009473
0.0740,250.005257,249.999321
0.0750,250.004446,250.008973
0.0760,250.003742,249.994390
0.0770,250.003133,250.008959
0.0780,250.002610,250.005951
0.0790,250.002164,250.002622
0.0800,250.001785,250.016672
0.0810,250.000000,250.057726
0.0820,250.000000,250.011456
0.0830,250.000000,250.021679
0.0840,250.000000,250.017829
0.0850,250.000000,250.020335
0.0860,250.000000,250.040387
0.0870,250.000000,250.036765
0.0880,250.000000,250.022549
0.0890,250.000000,250.033720
0.0900,250.000000,250.025433
0.0910,250.000000,250.006301
0.0920,250.000000,249.981417
0.0930,250.000000,250.013482
0.0940,250.000000,250.001457
0.0950,250.000000,249.998611
0.0960,250.000000,249.992220
0.0970,250.000000,250.012802
0.0980,250.000000,250.010548
0.0990,250.000000,250.006378
0.1000,250.000000,249.996642
0.1010,250.000000,250.036136
0.1020,249.983367,250.017167
0.1030,249.967461,249.999708
0.1040,249.952977,249.943963
0.1050,249.940548,249.971749
0.1060,249.930718,249.958235
0.1070,249.923915,249.943649
0.1080,249.920438,249.957372
0.1090,249.935091,249.967123
0.1100,249.951673,249.974739
0.1110,249.980459,250.007745
0.1120,250.024868,250.016940
0.1130,250.088188,250.085398
0.1140,250.172562,250.175575
0.1150,250.277671,250.269597
0.1160,250.399481,250.412578
0.1170,250.512944,250.509721
0.1180,250.623041,250.650814
0.1190,250.715871,250.714811
0.1200,250.778084,250.828063
0.1210,250.800000,250.853531
0.1220,250.778084,250.804363
0.1230,250.715871,250.764453
0.1240,250.623041,250.650844
0.1250,250.512944,250.562884
0.1260,250.399481,250.430948
0.1270,250.294304,250.307003
0.1280,250.205101,250.180698
0.1290,250.135211,250.155457
0.1300,250.084319,250.107987
0.1310,250.049741,250.084381
0.1320,250.027757,250.038679
0.1330,250.000000,250.022024
0.1340,250.000000,249.998047
0.1350,250.000000,249.999161
0.1360,250.000000,250.020962
0.1370,250.000000,249.970602
0.1380,250.000000,250.011454
0.1390,250.000000,250.009868
0.1400,250.000000,250.041368
0.1410,249.880000,249.898127
0.1420,249.896715,249.935122
0.1430,249.911102,249.959270
0.1440,249.923485,249.937861
0.1450,249.934143,249.969748
0.1460,249.943316,249.973902
0.1470,249.951212,250.000341
0.1480,249.958007,249.999676
0.1490,249.963857,249.987588
0.1500,249.968891,249.975612
0.1510,249.973224,250.006431
0.1520,249.976954,249.989260
0.1530,249.980164,249.965817
0.1540,249.982927,249.967744
0.1550,249.985305,249.999036
0.1560,249.987352,249.976311
0.1570,249.989114,250.027524
0.1580,249.990630,249.990776
0.1590,249.991935,250.010739
0.1600,249.993059,250.019345
0.1610,250.000000,250.018050
0.1620,250.000000,250.000000
0.1630,250.000000,250.040147
0.1640,250.000000,250.028404
0.1650,250.000000,250.042380
0.1660,250.000000,250.038160
0.1670,250.000000,250.041818
0.1680,250.000000,250.057903
0.1690,250.000000,250.021968
0.1700,250.000000,250.018330
0.1710,250.000000,249.995577
0.1720,250.000000,250.013322
0.1730,250.000000,250.019004
0.1740,250.000000,250.003477
0.1750,250.000000,250.016338
0.1760,250.000000,250.008358
0.1770,250.000000,249.993905
0.1780,250.000000,250.021804
0.1790,250.000000,250.018642
0.1800,250.000000,250.028661
0.1810,250.000000,250.023405
0.1820,250.000000,250.026684
0.1830,250.000000,250.042561
0.1840,250.000000,250.039159
0.1850,250.000000,250.069410
0.1860,250.000000,250.054889
0.1870,250.000000,250.048955
0.1880,250.000000,250.034723
0.1890,250.000000,250.002680
0.1900,250.000000,250.016157
0.1910,250.000000,250.013762
0.1920,250.000000,250.015031
0.1930,250.000000,250.015260
0.1940,250.000000,250.023474
0.1950,250.000000,250.017091
0.1960,250.000000,250.031309
0.1970,250.000000,250.011660
0.1980,250.000000,250.023880
0.1990,250.000000,250.029785
0.2000,250.000000,250.033401
0.2010,250.004396,250.058428
0.2020,250.004855,250.056320
0.2030,250.005356,250.028656
0.2040,250.005900,250.049694
0.2050,250.006492,250.052718
0.2060,250.007135,250.085204
0.2070,250.007831,250.046552
0.2080,250.008585,250.034119
0.2090,250.009399,250.051929
0.2100,250.010278,250.048887
0.2110,250.011225,250.036471
0.2120,250.012244,250.030976
0.2130,250.013338,250.046212
0.2140,250.014513,250.018219
0.2150,250.015770,250.026527
0.2160,250.017116,250.026080
0.2170,250.018553,250.054174
0.2180,250.020086,250.047263
0.2190,250.021718,250.033241
0.2200,250.023453,250.041571
0.2210,250.025296,250.091069
0.2220,250.027249,250.085772
0.2230,250.029316,250.087897
0.2240,250.031501,250.080057
0.2250,250.033806,250.105731
0.2260,250.036235,250.068341
0.2270,250.038789,250.096611
0.2280,250.041472,250.077953
0.2290,250.044285,250.079363
0.2300,250.047229,250.092126
0.2310,250.050307,250.077361
0.2320,250.053518,250.071886
0.2330,250.056863,250.070926
0.2340,250.060341,250.049906
0.2350,250.063952,250.094119
0.2360,250.067695,250.072239
0.2370,250.071567,250.121501
0.2380,250.075567,250.096991
0.2390,250.079690,250.129672
0.2400,250.083933,250.092223
0.2410,250.088291,250.139775
0.2420,250.092760,250.152701
0.2430,250.097333,250.165681
0.2440,250.102004,250.130291
0.2450,250.106766,250.148357
0.2460,250.111610,250.171748
0.2470,250.116529,250.168113
0.2480,250.121512,250.171871
0.2490,250.126550,250.162785
0.2500,250.131632,250.191730
0.2510,250.136748,250.207906
0.2520,250.141885,250.171156
0.2530,250.147030,250.178144
0.2540,250.152172,250.175196
0.2550,250.157298,250.198095
0.2560,250.162392,250.197289
0.2570,250.167442,250.176319
0.2580,250.172434,250.191795
0.2590,250.177352,250.195365
0.2600,250.182183,250.260842
0.2610,250.186912,250.239762
0.2620,250.191524,250.230509
0.2630,250.196005,250.237470
0.2640,250.200340,250.266429
0.2650,250.204515,250.273022
0.2660,250.208516,250.274777
0.2670,250.212329,250.258102
0.2680,250.215943,250.269286
0.2690,250.219343,250.265441
0.2700,250.222519,250.248104
0.2710,250.225459,250.246385
0.2720,250.228152,250.264833
0.2730,250.230589,250.260637
