time_s,ppg_clean_ua,ppg_with_ambient_ua,ambient_ua,photodiode_total_ua
0.0000,5.000000,5.499951,0.500000,5.499951
0.0010,5.000000,5.529392,0.529389,5.529392
0.0020,5.000000,5.547594,0.547553,5.547594
0.0030,5.000000,5.547488,0.547553,5.547488
0.0040,5.000000,5.529356,0.529389,5.529356
0.0050,5.000000,5.500000,0.500000,5.500000
0.0060,5.000000,5.470589,0.470611,5.470589
0.0070,5.006218,5.458639,0.452447,5.458639
0.0080,5.006571,5.459025,0.452447,5.459025
0.0090,5.006941,5.477595,0.470611,5.477595
0.0100,5.007327,5.507333,0.500000,5.507333
0.0110,5.007730,5.537060,0.529389,5.537060
0.0120,5.008152,5.555707,0.547553,5.555707
0.0130,5.008591,5.556073,0.547553,5.556073
0.0140,5.009049,5.538434,0.529389,5.538434
0.0150,5.009526,5.509493,0.500000,5.509493
0.0160,5.010023,5.480631,0.470611,5.480631
0.0170,5.010540,5.462958,0.452447,5.462958
0.0180,5.011077,5.463536,0.452447,5.463536
0.0190,5.011635,5.482253,0.470611,5.482253
0.0200,5.012215,5.512248,0.500000,5.512248
0.0210,5.012816,5.542216,0.529389,5.542216
0.0220,5.013440,5.561042,0.547553,5.561042
0.0230,5.014086,5.561598,0.547553,5.561598
0.0240,5.014754,5.544089,0.529389,5.544089
0.0250,5.015446,5.515515,0.500000,5.515515
0.0260,5.016162,5.486783,0.470611,5.486783
0.0270,5.016901,5.469348,0.452447,5.469348
0.0280,5.017664,5.470075,0.452447,5.470075
0.0290,5.018452,5.489106,0.470611,5.489106
0.0300,5.019263,5.519256,0.500000,5.519256
0.0310,5.020100,5.549543,0.529389,5.549543
0.0320,5.020961,5.568579,0.547553,5.568579
0.0330,5.021847,5.569390,0.547553,5.569390
0.0340,5.022757,5.552153,0.529389,5.552153
0.0350,5.023692,5.523683,0.500000,5.523683
0.0360,5.024652,5.495209,0.470611,5.495209
0.0370,5.025637,5.478139,0.452447,5.478139
0.0380,5.026646,5.479096,0.452447,5.479096
0.0390,5.027680,5.498368,0.470611,5.498368
0.0400,5.028738,5.528708,0.500000,5.528708
0.0410,5.029819,5.559235,0.529389,5.559235
0.0420,5.030924,5.578475,0.547553,5.578475
0.0430,5.032053,5.579611,0.547553,5.579611
0.0440,5.033203,5.562618,0.529389,5.562618
0.0450,5.034377,5.534407,0.500000,5.534407
0.0460,5.035571,5.506145,0.470611,5.506145
0.0470,5.036787,5.489255,0.452447,5.489255
0.0480,5.038024,5.490419,0.452447,5.490419
0.0490,5.039280,5.509847,0.470611,5.509847
0.0500,5.040555,5.540530,0.500000,5.540530
0.0510,5.041848,5.571219,0.529389,5.571219
0.0520,5.043158,5.590691,0.547553,5.590691
0.0530,5.044485,5.592015,0.547553,5.592015
0.0540,5.045827,5.575216,0.529389,5.575216
0.0550,5.047183,5.547203,0.500000,5.547203
0.0560,5.048553,5.519148,0.470611,5.519148
0.0570,5.049934,5.502418,0.452447,5.502418
0.0580,5.051327,5.503786,0.452447,5.503786
0.0590,5.052728,5.523386,0.470611,5.523386
0.0600,5.054138,5.554171,0.500000,5.554171
0.0610,5.055555,5.584868,0.529389,5.584868
0.0620,5.056977,5.604606,0.547553,5.604606
0.0630,5.058404,5.606005,0.547553,5.606005
0.0640,5.059832,5.589208,0.529389,5.589208
0.0650,5.061262,5.561221,0.500000,5.561221
0.0660,5.062690,5.533379,0.470611,5.533379
0.0670,5.064117,5.516617,0.452447,5.516617
0.0680,5.065540,5.518005,0.452447,5.518005
0.0690,5.066956,5.537517,0.470611,5.537517
0.0700,5.068366,5.568412,0.500000,5.568412
0.0710,5.069767,5.599174,0.529389,5.599174
0.0720,5.071156,5.618790,0.547553,5.618790
0.0730,5.072533,5.620064,0.547553,5.620064
0.0740,5.073896,5.603266,0.529389,5.603266
0.0750,5.075242,5.575256,0.500000,5.575256
0.0760,5.076570,5.547136,0.470611,5.547136
0.0770,5.077879,5.530322,0.452447,5.530322
0.0780,5.079166,5.531602,0.452447,5.531602
0.0790,5.080429,5.551027,0.470611,5.551027
0.0800,5.081667,5.581696,0.500000,5.581696
0.0810,5.082879,5.612227,0.529389,5.612227
0.0820,5.084061,5.631573,0.547553,5.631573
0.0830,5.085213,5.632756,0.547553,5.632756
0.0840,5.086333,5.615693,0.529389,5.615693
0.0850,5.087419,5.587494,0.500000,5.587494
0.0860,5.088469,5.559126,0.470611,5.559126
0.0870,5.089483,5.541988,0.452447,5.541988
0.0880,5.090457,5.542921,0.452447,5.542921
0.0890,5.091392,5.561963,0.470611,5.561963
0.0900,5.092285,5.592309,0.500000,5.592309
0.0910,5.093135,5.622509,0.529389,5.622509
0.0920,5.093940,5.641490,0.547553,5.641490
0.0930,5.094700,5.642287,0.547553,5.642287
0.0940,5.095413,5.624839,0.529389,5.624839
0.0950,5.096078,5.596104,0.500000,5.596104
0.0960,5.096694,5.567284,0.470611,5.567284
