time_s,ppg_clean_ua,ppg_with_ambient_ua,ambient_ua,photodiode_total_ua
0.0000,3.000000,11.000037,8.000000,11.000037
0.0010,3.000000,11.470215,8.470228,11.470215
0.0020,3.000000,11.760738,8.760845,11.760738
0.0030,3.000000,11.760758,8.760845,11.760758
0.0040,3.000000,11.470260,8.470228,11.470260
0.0050,3.000000,10.999950,8.000000,10.999950
0.0060,3.000000,10.529753,7.529772,10.529753
0.0070,3.000000,10.239151,7.239155,10.239151
0.0080,3.000000,10.239283,7.239155,10.239283
0.0090,3.000000,10.529764,7.529772,10.529764
0.0100,3.000000,10.999933,8.000000,10.999933
0.0110,3.000000,11.470134,8.470228,11.470134
0.0120,3.000000,11.760842,8.760845,11.760842
0.0130,3.000000,11.760860,8.760845,11.760860
0.0140,3.000000,11.470256,8.470228,11.470256
0.0150,3.000000,11.000046,8.000000,11.000046
0.0160,3.000000,10.529829,7.529772,10.529829
0.0170,3.000000,10.239174,7.239155,10.239174
0.0180,3.000000,10.239094,7.239155,10.239094
0.0190,3.000000,10.529831,7.529772,10.529831
0.0200,3.000000,11.000079,8.000000,11.000079
0.0210,3.000000,11.470200,8.470228,11.470200
0.0220,3.000000,11.760867,8.760845,11.760867
0.0230,3.000000,11.760834,8.760845,11.760834
0.0240,3.000000,11.470274,8.470228,11.470274
0.0250,3.000000,11.000011,8.000000,11.000011
0.0260,3.000000,10.529789,7.529772,10.529789
0.0270,3.000000,10.239220,7.239155,10.239220
0.0280,3.000000,10.239105,7.239155,10.239105
0.0290,3.000000,10.529774,7.529772,10.529774
0.0300,3.000000,10.999942,8.000000,10.999942
0.0310,3.000000,11.470349,8.470228,11.470349
0.0320,3.000000,11.760720,8.760845,11.760720
0.0330,3.000000,11.760895,8.760845,11.760895
0.0340,3.000000,11.470382,8.470228,11.470382
0.0350,3.000000,10.999938,8.000000,10.999938
0.0360,3.000000,10.529805,7.529772,10.529805
0.0370,3.000000,10.239189,7.239155,10.239189
0.0380,3.000000,10.239218,7.239155,10.239218
0.0390,3.000000,10.529737,7.529772,10.529737
0.0400,3.000000,11.000022,8.000000,11.000022
0.0410,3.000000,11.470230,8.470228,11.470230
0.0420,3.000000,11.760801,8.760845,11.760801
0.0430,3.000000,11.760871,8.760845,11.760871
0.0440,3.000000,11.470272,8.470228,11.470272
0.0450,3.000000,11.000113,8.000000,11.000113
0.0460,3.000000,10.529756,7.529772,10.529756
0.0470,3.000000,10.239205,7.239155,10.239205
0.0480,3.000000,10.239234,7.239155,10.239234
0.0490,3.000000,10.529810,7.529772,10.529810
0.0500,3.000000,11.000047,8.000000,11.000047
0.0510,3.000000,11.470307,8.470228,11.470307
0.0520,3.000000,11.760747,8.760845,11.760747
0.0530,3.000000,11.760856,8.760845,11.760856
0.0540,3.000000,11.470197,8.470228,11.470197
0.0550,3.000000,10.999946,8.000000,10.999946
0.0560,3.000000,10.529878,7.529772,10.529878
0.0570,3.000000,10.239130,7.239155,10.239130
0.0580,3.000000,10.239185,7.239155,10.239185
0.0590,3.000000,10.529702,7.529772,10.529702
0.0600,3.000000,11.000087,8.000000,11.000087
0.0610,3.000000,11.470245,8.470228,11.470245
0.0620,3.000000,11.760953,8.760845,11.760953
0.0630,3.000000,11.760823,8.760845,11.760823
0.0640,3.000000,11.470185,8.470228,11.470185
0.0650,3.000000,11.000046,8.000000,11.000046
0.0660,3.000000,10.529778,7.529772,10.529778
0.0670,3.000000,10.239143,7.239155,10.239143
0.0680,3.000000,10.239138,7.239155,10.239138
0.0690,3.000000,10.529838,7.529772,10.529838
0.0700,3.000000,11.000041,8.000000,11.000041
0.0710,3.000000,11.470132,8.470228,11.470132
0.0720,3.000000,11.760888,8.760845,11.760888
0.0730,3.000000,11.760955,8.760845,11.760955
0.0740,3.000000,11.470229,8.470228,11.470229
0.0750,3.000000,10.999977,8.000000,10.999977
0.0760,3.000000,10.529754,7.529772,10.529754
0.0770,3.000000,10.239107,7.239155,10.239107
0.0780,3.000000,10.239107,7.239155,10.239107
0.0790,3.000000,10.529792,7.529772,10.529792
0.0800,3.000000,10.999940,8.000000,10.999940
0.0810,3.000000,11.470106,8.470228,11.470106
0.0820,3.000000,11.760916,8.760845,11.760916
0.0830,3.000000,11.760811,8.760845,11.760811
0.0840,3.000000,11.470212,8.470228,11.470212
0.0850,3.000000,11.000054,8.000000,11.000054
0.0860,3.000000,10.529614,7.529772,10.529614
0.0870,3.000000,10.239117,7.239155,10.239117
0.0880,3.000000,10.239092,7.239155,10.239092
0.0890,3.000000,10.529790,7.529772,10.529790
0.0900,3.000000,11.000000,8.000000,11.000000
0.0910,3.000000,11.470145,8.470228,11.470145
0.0920,3.000000,11.760725,8.760845,11.760725
0.0930,3.000000,11.760703,8.760845,11.760703
0.0940,3.000000,11.470241,8.470228,11.470241
0.0950,3.000000,11.000009,8.000000,11.000009
0.0960,3.000000,10.529713,7.529772,10.529713
0.0970,3.000000,10.239167,7.239155,10.239167
0.0980,3.000000,10.239157,7.239155,10.239157
0.0990,3.000000,10.529780,7.529772,10.529780
0.1000,3.000000,10.999933,8.000000,10.999933
0.1010,3.000000,11.470185,8.470228,11.470185
0.1020,3.000000,11.760925,8.760845,11.760925
0.1030,3.000000,11.760800,8.760845,11.760800
0.1040,3.000000,11.470122,8.470228,11.470122
0.1050,3.000000,10.999937,8.000000,10.999937
0.1060,3.000000,10.529748,7.529772,10.529748
0.1070,3.000000,10.239111,7.239155,10.239111
0.1080,3.000000,10.239135,7.239155,10.239135
0.1090,3.000000,10.529717,7.529772,10.529717
0.1100,3.000000,11.000029,8.000000,11.000029
0.1110,3.000000,11.470248,8.470228,11.470248
0.1120,3.000000,11.760909,8.760845,11.760909
0.1130,3.000000,11.760949,8.760845,11.760949
0.1140,3.000000,11.470166,8.470228,11.470166
0.1150,3.000000,10.999972,8.000000,10.999972
0.1160,3.000000,10.529734,7.529772,10.529734
0.1170,3.000000,10.239158,7.239155,10.239158
0.1180,3.000000,10.239163,7.239155,10.239163
0.1190,3.000000,10.529718,7.529772,10.529718
0.1200,3.000000,11.000073,8.000000,11.000073
0.1210,3.000000,11.470175,8.470228,11.470175
0.1220,3.000000,11.760876,8.760845,11.760876
0.1230,3.000000,11.760830,8.760845,11.760830
0.1240,3.000000,11.470241,8.470228,11.470241
0.1250,3.000000,10.999956,8.000000,10.999956
0.1260,3.000000,10.529817,7.529772,10.529817
0.1270,3.000000,10.239177,7.239155,10.239177
0.1280,3.000000,10.239150,7.239155,10.239150
0.1290,3.000000,10.529811,7.529772,10.529811
0.1300,3.000000,10.999998,8.000000,10.999998
0.1310,3.000000,11.470198,8.470228,11.470198
0.1320,3.000000,11.760763,8.760845,11.760763
0.1330,3.000000,11.760793,8.760845,11.760793
0.1340,3.000000,11.470113,8.470228,11.470113
0.1350,3.000000,11.000043,8.000000,11.000043
0.1360,3.000000,10.529806,7.529772,10.529806
0.1370,3.000000,10.239088,7.239155,10.239088
0.1380,3.000000,10.239126,7.239155,10.239126
0.1390,3.000000,10.529777,7.529772,10.529777
0.1400,3.000000,10.999892,8.000000,10.999892
0.1410,3.000000,11.470212,8.470228,11.470212
0.1420,3.000000,11.760722,8.760845,11.760722
0.1430,3.000000,11.760808,8.760845,11.760808
0.1440,3.000000,11.470089,8.470228,11.470089
0.1450,3.000000,11.000035,8.000000,11.000035
0.1460,3.000000,10.529804,7.529772,10.529804
0.1470,3.000000,10.239195,7.239155,10.239195
0.1480,3.000000,10.239105,7.239155,10.239105
0.1490,3.000000,10.529795,7.529772,10.529795
0.1500,3.000000,11.000059,8.000000,11.000059
0.1510,3.000000,11.470299,8.470228,11.470299
0.1520,3.000000,11.760741,8.760845,11.760741
0.1530,3.000000,11.760864,8.760845,11.760864
0.1540,3.000000,11.470263,8.470228,11.470263
0.1550,3.000000,11.000014,8.000000,11.000014
0.1560,3.000000,10.529734,7.529772,10.529734
0.1570,3.000000,10.239167,7.239155,10.239167
0.1580,3.000000,10.239144,7.239155,10.239144
0.1590,3.000000,10.529702,7.529772,10.529702
0.1600,3.000000,10.999992,8.000000,10.999992
0.1610,3.000000,11.470238,8.470228,11.470238
0.1620,3.000000,11.760765,8.760845,11.760765
0.1630,3.000000,11.760916,8.760845,11.760916
0.1640,3.000000,11.470220,8.470228,11.470220
0.1650,3.000000,10.999944,8.000000,10.999944
0.1660,3.000000,10.529777,7.529772,10.529777
0.1670,3.000000,10.239109,7.239155,10.239109
0.1680,3.000000,10.239152,7.239155,10.239152
0.1690,3.000000,10.529788,7.529772,10.529788
0.1700,3.000000,10.999923,8.000000,10.999923
0.1710,3.000000,11.470220,8.470228,11.470220
0.1720,3.000000,11.760876,8.760845,11.760876
0.1730,3.000000,11.760858,8.760845,11.760858
0.1740,3.000000,11.470366,8.470228,11.470366
0.1750,3.000000,11.000001,8.000000,11.000001
0.1760,3.000000,10.529751,7.529772,10.529751
0.1770,3.000000,10.239187,7.239155,10.239187
0.1780,3.000000,10.239186,7.239155,10.239186
0.1790,3.000000,10.529740,7.529772,10.529740
0.1800,3.000000,11.000054,8.000000,11.000054
0.1810,3.000000,11.470355,8.470228,11.470355
