time_s,ppg_clean_ua,ppg_with_ambient_ua,ambient_ua,photodiode_total_ua
0.0000,1.000311,1.500285,0.500000,1.500285
0.0010,1.000329,1.529693,0.529389,1.529693
0.0020,1.000347,1.547892,0.547553,1.547892
0.0030,1.000366,1.547918,0.547553,1.547918
0.0040,1.000387,1.529791,0.529389,1.529791
0.0050,1.000408,1.500400,0.500000,1.500400
0.0060,1.000430,1.471042,0.470611,1.471042
0.0070,1.000452,1.452925,0.452447,1.452925
0.0080,1.000476,1.452902,0.452447,1.452902
0.0090,1.000501,1.471092,0.470611,1.471092
0.0100,1.000527,1.500551,0.500000,1.500551
0.0110,1.000554,1.529951,0.529389,1.529951
0.0120,1.000582,1.548111,0.547553,1.548111
0.0130,1.000611,1.548187,0.547553,1.548187
0.0140,1.000641,1.530044,0.529389,1.530044
0.0150,1.000672,1.500669,0.500000,1.500669
0.0160,1.000704,1.471332,0.470611,1.471332
0.0170,1.000738,1.453183,0.452447,1.453183
0.0180,1.000772,1.453201,0.452447,1.453201
0.0190,1.000808,1.471403,0.470611,1.471403
0.0200,1.000845,1.500827,0.500000,1.500827
0.0210,1.000883,1.530281,0.529389,1.530281
0.0220,1.000923,1.548464,0.547553,1.548464
0.0230,1.000963,1.548505,0.547553,1.548505
0.0240,1.001005,1.530414,0.529389,1.530414
0.0250,1.001048,1.501042,0.500000,1.501042
0.0260,1.001092,1.471662,0.470611,1.471662
0.0270,1.001138,1.453575,0.452447,1.453575
0.0280,1.001185,1.453630,0.452447,1.453630
0.0290,1.001233,1.471829,0.470611,1.471829
0.0300,1.001282,1.501264,0.500000,1.501264
0.0310,1.001332,1.530745,0.529389,1.530745
0.0320,1.001384,1.548909,0.547553,1.548909
0.0330,1.001437,1.548987,0.547553,1.548987
0.0340,1.001491,1.530878,0.529389,1.530878
0.0350,1.001546,1.501515,0.500000,1.501515
0.0360,1.001603,1.472207,0.470611,1.472207
0.0370,1.001660,1.454089,0.452447,1.454089
