time_s,ppg_clean_ua,ppg_with_ambient_ua,ambient_ua,photodiode_total_ua
0.0000,5.000000,5.999945,1.000000,5.999945
0.0010,5.000000,6.109668,1.058779,6.109668
0.0020,5.000000,6.196820,1.095106,6.196820
0.0030,5.000000,6.247686,1.095106,6.247686
0.0040,5.000000,6.262147,1.058779,6.262147
0.0050,5.000000,6.254202,1.000000,6.254202
0.0060,5.000000,6.246066,0.941221,6.246066
0.0070,5.000000,6.260262,0.904894,6.260262
0.0080,5.000000,6.310699,0.904894,6.310699
0.0090,5.000000,6.397470,0.941221,6.397470
0.0100,5.000000,6.506414,1.000000,6.506414
0.0110,5.000000,6.615297,1.058779,6.615297
0.0120,5.000000,6.701397,1.095106,6.701397
0.0130,5.000000,6.751197,1.095106,6.751197
0.0140,5.000000,6.764314,1.058779,6.764314
0.0150,5.000000,6.754859,1.000000,6.754859
0.0160,5.000000,6.745154,0.941221,6.745154
0.0170,5.000000,6.757671,0.904894,6.757671
0.0180,5.000000,6.806422,0.904894,6.806422
0.0190,5.000000,6.890906,0.941221,6.890906
0.0200,5.000000,6.997751,1.000000,6.997751
0.0210,5.000000,7.104296,1.058779,7.104296
0.0220,5.000000,7.188086,1.095106,7.188086
0.0230,5.000000,7.235248,1.095106,7.235248
0.0240,5.000000,7.245667,1.058779,7.245667
0.0250,5.000000,7.233272,1.000000,7.233272
0.0260,5.000000,7.220585,0.941221,7.220585
0.0270,5.000000,7.229958,0.904894,7.229958
0.0280,5.000000,7.275204,0.904894,7.275204
0.0290,5.000000,7.356398,0.941221,7.356398
0.0300,5.000000,7.459865,1.000000,7.459865
0.0310,5.000000,7.562476,1.058779,7.562476
0.0320,5.000000,7.642531,1.095106,7.642531
0.0330,5.000000,7.685687,1.095106,7.685687
0.0340,5.000000,7.692034,1.058779,7.692034
0.0350,5.000000,7.675473,1.000000,7.675473
0.0360,5.000000,7.658546,0.941221,7.658546
0.0370,5.000000,7.663406,0.904894,7.663406
0.0380,5.000000,7.704104,0.904894,7.704104
0.0390,5.000000,7.780619,0.941221,7.780619
0.0400,5.000000,7.879087,1.000000,7.879087
0.0410,5.000000,7.976979,1.058779,7.976979
0.0420,5.000000,8.051922,1.095106,8.051922
0.0430,5.000000,8.089879,1.095106,8.089879
0.0440,5.000000,8.091006,1.058779,8.091006
0.0450,5.000000,8.069169,1.000000,8.069169
0.0460,5.000000,8.046578,0.941221,8.046578
0.0470,5.000000,8.045999,0.904894,8.045999
0.0480,5.000000,8.080898,0.904894,8.080898
0.0490,5.000000,8.151827,0.941221,8.151827
0.0500,5.000000,8.244363,1.000000,8.244363
0.0510,5.000000,8.336393,1.058779,8.336393
0.0520,5.000000,8.405121,1.095106,8.405121
0.0530,5.000000,8.437069,1.095106,8.437069
0.0540,5.000000,8.432068,1.058779,8.432068
0.0550,5.000000,8.403841,1.000000,8.403841
0.0560,5.000000,8.374959,0.941221,8.374959
0.0570,5.000000,8.367831,0.904894,8.367831
0.0580,5.000000,8.396399,0.904894,8.396399
0.0590,5.000000,8.460559,0.941221,8.460559
0.0600,5.000000,8.546471,1.000000,8.546471
0.0610,5.000000,8.631706,1.058779,8.631706
0.0620,5.000000,8.693821,1.095106,8.693821
0.0630,5.000000,8.718874,1.095106,8.718874
0.0640,5.000000,8.706855,1.058779,8.706855
0.0650,5.000000,8.671646,1.000000,8.671646
0.0660,5.000000,8.635767,0.941221,8.635767
0.0670,5.000000,8.621611,0.904894,8.621611
0.0680,5.000000,8.643088,0.904894,8.643088
0.0690,5.000000,8.700007,0.941221,8.700007
0.0700,5.000000,8.778815,1.000000,8.778815
0.0710,5.000000,8.856796,1.058779,8.856796
0.0720,5.000000,8.911495,1.095106,8.911495
0.0730,5.000000,8.929254,1.095106,8.929254
0.0740,5.000000,8.910040,1.058779,8.910040
0.0750,5.000000,8.867361,1.000000,8.867361
0.0760,5.000000,8.824178,0.941221,8.824178
0.0770,5.000000,8.802535,0.904894,8.802535
0.0780,5.000000,8.816537,0.904894,8.816537
0.0790,5.000000,8.866088,0.941221,8.866088
0.0800,5.000000,8.937390,1.000000,8.937390
0.0810,5.000000,9.007772,1.058779,9.007772
0.0820,5.000000,9.055245,1.095106,9.055245
0.0830,5.000000,9.065516,1.095106,9.065516
0.0840,5.000000,9.038663,1.058779,9.038663
0.0850,5.000000,8.988607,1.000000,8.988607
0.0860,5.000000,8.937836,0.941221,8.937836
0.0870,5.000000,8.908837,0.904894,8.908837
0.0880,5.000000,8.915371,0.904894,8.915371
0.0890,5.000000,8.957466,0.941221,8.957466
0.0900,5.000000,9.021405,1.000000,9.021405
0.0910,5.000000,9.084455,1.058779,9.084455
0.0920,5.000000,9.124349,1.095106,9.124349
0.0930,5.000000,9.127285,1.095106,9.127285
0.0940,5.000000,9.093052,1.058779,9.093052
0.0950,5.000000,9.035864,1.000000,9.035864
0.0960,5.000000,8.977735,0.941221,8.977735
0.0970,5.000000,8.941514,0.904894,8.941514
0.0980,5.000000,8.940849,0.904894,8.940849
0.0990,5.000000,8.975765,0.941221,8.975765
0.1000,5.000000,9.032549,1.000000,9.032549
0.1010,5.000000,9.088654,1.058779,9.088654
0.1020,5.000000,9.121636,1.095106,9.121636
0.1030,5.000000,9.117465,1.095106,9.117465
0.1040,5.000000,9.076458,1.058779,9.076458
0.1050,5.000000,9.012273,1.000000,9.012273
0.1060,5.000000,8.947383,0.941221,8.947383
0.1070,5.000000,8.904412,0.904894,8.904412
0.1080,5.000000,8.897122,0.904894,8.897122
0.1090,5.000000,8.925459,0.941221,8.925459
0.1100,5.000000,8.975657,1.000000,8.975657
0.1110,5.000000,9.025293,1.058779,9.025293
0.1120,5.000000,9.051755,1.095106,9.051755
0.1130,5.000000,9.041474,1.095106,9.041474
0.1140,5.000000,8.994088,1.058779,8.994088
0.1150,5.000000,8.923715,1.000000,8.923715
0.1160,5.000000,8.852807,0.941221,8.852807
0.1170,5.000000,8.803754,0.904894,8.803754
0.1180,5.000000,8.790485,0.904894,8.790485
0.1190,5.000000,8.813114,0.941221,8.813114
0.1200,5.000000,8.857573,1.000000,8.857573
0.1210,5.000000,8.901400,1.058779,8.901400
0.1220,5.000000,8.922477,1.095106,8.922477
0.1230,5.000000,8.906573,1.095106,8.906573
0.1240,5.000000,8.853801,1.058779,8.853801
0.1250,5.000000,8.778250,1.000000,8.778250
0.1260,5.000000,8.702112,0.941221,8.702112
0.1270,5.000000,8.648043,0.904894,8.648043
0.1280,5.000000,8.629843,0.904894,8.629843
0.1290,5.000000,8.647427,0.941221,8.647427
0.1300,5.000000,8.687068,1.000000,8.687068
0.1310,5.000000,8.726326,1.058779,8.726326
0.1320,5.000000,8.742727,1.095106,8.742727
0.1330,5.000000,8.722418,1.095106,8.722418
0.1340,5.000000,8.665318,1.058779,8.665318
0.1350,5.000000,8.585453,1.000000,8.585453
0.1360,5.000000,8.505072,0.941221,8.505072
0.1370,5.000000,8.447074,0.904894,8.447074
0.1380,5.000000,8.424835,0.904894,8.424835
0.1390,5.000000,8.438753,0.941221,8.438753
0.1400,5.000000,8.474646,1.000000,8.474646
0.1410,5.000000,8.510269,1.058779,8.510269
0.1420,5.000000,8.523294,1.095106,8.523294
0.1430,5.000000,8.499573,1.095106,8.499573
0.1440,5.000000,8.439197,1.058779,8.439197
0.1450,5.000000,8.356231,1.000000,8.356231
0.1460,5.000000,8.273021,0.941221,8.273021
0.1470,5.000000,8.211979,0.904894,8.211979
0.1480,5.000000,8.186999,0.904894,8.186999
0.1490,5.000000,8.198224,0.941221,8.198224
0.1500,5.000000,8.231544,1.000000,8.231544
0.1510,5.000000,8.264734,1.058779,8.264734
0.1520,5.000000,8.275410,1.095106,8.275410
0.1530,5.000000,8.249544,1.095106,8.249544
0.1540,5.000000,8.187098,1.058779,8.187098
0.1550,5.000000,8.102234,1.000000,8.102234
0.1560,5.000000,8.017065,0.941221,8.017065
0.1570,5.000000,7.954339,0.904894,7.954339
0.1580,5.000000,7.927748,0.904894,7.927748
0.1590,5.000000,7.937502,0.941221,7.937502
0.1600,5.000000,7.969470,1.000000,7.969470
0.1610,5.000000,8.001480,1.058779,8.001480
0.1620,5.000000,8.010882,1.095106,8.010882
0.1630,5.000000,7.983953,1.095106,7.983953
0.1640,5.000000,7.920671,1.058779,7.920671
0.1650,5.000000,7.834862,1.000000,7.834862
0.1660,5.000000,7.749036,0.941221,7.749036
0.1670,5.000000,7.685734,0.904894,7.685734
0.1680,5.000000,7.658640,0.904894,7.658640
0.1690,5.000000,7.667974,0.941221,7.667974
0.1700,5.000000,7.699780,1.000000,7.699780
0.1710,5.000000,7.731567,1.058779,7.731567
0.1720,5.000000,7.740993,1.095106,7.740993
0.1730,5.000000,7.714165,1.095106,7.714165
0.1740,5.000000,7.650964,1.058779,7.650964
0.1750,5.000000,7.565376,1.000000,7.565376
0.1760,5.000000,7.479937,0.941221,7.479937
0.1770,5.000000,7.417010,0.904894,7.417010
0.1780,5.000000,7.390543,0.904894,7.390543
0.1790,5.000000,7.400577,0.941221,7.400577
0.1800,5.000000,7.432985,1.000000,7.432985
0.1810,5.000000,7.465567,1.058779,7.465567
0.1820,5.000000,7.476015,1.095106,7.476015
0.1830,5.000000,7.450098,1.095106,7.450098
0.1840,5.000000,7.388102,1.058779,7.388102
0.1850,5.000000,7.303701,1.000000,7.303701
0.1860,5.000000,7.219524,0.941221,7.219524
0.1870,5.000000,7.158067,0.904894,7.158067
0.1880,5.000000,7.132966,0.904894,7.132966
0.1890,5.000000,7.144432,0.941221,7.144432
0.1900,5.000000,7.178606,1.000000,7.178606
0.1910,5.000000,7.212915,1.058779,7.212915
0.1920,5.000000,7.224958,1.095106,7.224958
0.1930,5.000000,7.200938,1.095106,7.200938
0.1940,5.000000,7.140834,1.058779,7.140834
0.1950,5.000000,7.058483,1.000000,7.058483
0.1960,5.000000,6.976280,0.941221,6.976280
0.1970,5.000000,6.916804,0.904894,6.916804
0.1980,5.000000,6.893947,0.904894,6.893947
0.1990,5.000000,6.907598,0.941221,6.907598
0.2000,5.000000,6.944071,1.000000,6.944071
0.2010,5.000000,6.980587,1.058779,6.980587
0.2020,5.000000,6.995141,1.095106,6.995141
0.2030,5.000000,6.973462,1.095106,6.973462
0.2040,5.000000,6.915864,1.058779,6.915864
0.2050,5.000000,6.835958,1.000000,6.835958
0.2060,5.000000,6.756374,0.941221,6.756374
0.2070,5.000000,6.699564,0.904894,6.699564
0.2080,5.000000,6.679403,0.904894,6.679403
0.2090,5.000000,6.695735,0.941221,6.695735
0.2100,5.000000,6.734848,1.000000,6.734848
0.2110,5.000000,6.774315,1.058779,6.774315
0.2120,5.000000,6.791551,1.095106,6.791551
0.2130,5.000000,6.772744,1.095106,6.772744
0.2140,5.000000,6.717948,1.058779,6.717948
0.2150,5.000000,6.640947,1.000000,6.640947
0.2160,5.000000,6.564260,0.941221,6.564260
0.2170,5.000000,6.510356,0.904894,6.510356
0.2180,5.000000,6.493074,0.904894,6.493074
0.2190,5.000000,6.512359,0.941221,6.512359
0.2200,5.000000,6.554435,1.000000,6.554435
0.2210,5.000000,6.596800,1.058779,6.596800
0.2220,5.000000,6.617075,1.095106,6.617075
0.2230,5.000000,6.601182,1.095106,6.601182
0.2240,5.000000,6.549369,1.058779,6.549369
0.2250,5.000000,6.475462,1.000000,6.475462
0.2260,5.000000,6.401736,0.941221,6.401736
0.2270,5.000000,6.350811,0.904894,6.350811
0.2280,5.000000,6.336426,0.904894,6.336426
0.2290,5.000000,6.358801,0.941221,6.358801
0.2300,5.000000,6.403761,1.000000,6.403761
0.2310,5.000000,6.449151,1.058779,6.449151
0.2320,5.000000,6.472255,1.095106,6.472255
0.2330,5.000000,6.459427,1.095106,6.459427
0.2340,5.000000,6.410425,1.058779,6.410425
0.2350,5.000000,6.339335,1.000000,6.339335
0.2360,5.000000,6.268532,0.941221,6.268532
0.2370,5.000000,6.220382,0.904894,6.220382
0.2380,5.000000,6.208850,0.904894,6.208850
0.2390,5.000000,6.233883,0.941221,6.233883
0.2400,5.000000,6.281706,1.000000,6.281706
0.2410,5.000000,6.329626,1.058779,6.329626
0.2420,5.000000,6.355673,1.095106,6.355673
0.2430,5.000000,6.345278,1.095106,6.345278
0.2440,5.000000,6.298969,1.058779,6.298969
0.2450,5.000000,6.230387,1.000000,6.230387
0.2460,5.000000,6.162092,0.941221,6.162092
0.2470,5.000000,6.116351,0.904894,6.116351
0.2480,5.000000,6.107253,0.904894,6.107253
0.2490,5.000000,6.134610,0.941221,6.134610
0.2500,5.000000,6.184788,1.000000,6.184788
0.2510,5.000000,6.235071,1.058779,6.235071
0.2520,5.000000,6.263104,1.095106,6.263104
0.2530,5.000000,6.254982,1.095106,6.254982
0.2540,5.000000,6.210745,1.058779,6.210745
0.2550,5.000000,6.144246,1.000000,6.144246
0.2560,5.000000,6.077863,0.941221,6.077863
0.2570,5.000000,6.034081,0.904894,6.034081
0.2580,5.000000,6.026873,0.904894,6.026873
0.2590,5.000000,6.056093,0.941221,6.056093
0.2600,5.000000,6.107847,1.000000,6.107847
0.2610,5.000000,6.159867,1.058779,6.159867
0.2620,5.000000,6.189512,1.095106,6.189512
0.2630,5.000000,6.182897,1.095106,6.182897
0.2640,5.000000,6.140160,1.058779,6.140160
0.2650,5.000000,6.075043,1.000000,6.075043
0.2660,5.000000,6.009997,0.941221,6.009997
0.2670,5.000000,5.967525,0.904894,5.967525
0.2680,5.000000,5.961422,0.904894,5.961422
0.2690,5.000000,5.991736,0.941221,5.991736
0.2700,5.000000,6.044698,1.000000,6.044698
0.2710,5.000000,6.097507,1.058779,6.097507
0.2720,5.000000,6.127973,1.095106,6.127973
0.2730,5.000000,6.122280,1.095106,6.122280
0.2740,5.000000,6.080219,1.058779,6.080219
0.2750,5.000000,6.015733,1.000000,6.015733
0.2760,5.000000,5.951205,0.941221,5.951205
0.2770,5.000000,5.909318,0.904894,5.909318
0.2780,5.000000,5.903589,0.904894,5.903589
0.2790,5.000000,5.934359,0.941221,5.934359
0.2800,5.000000,5.987376,1.000000,5.987376
0.2810,5.000000,6.040462,1.058779,6.040462
0.2820,5.000000,6.071166,1.095106,6.071166
0.2830,5.000000,6.065425,1.095106,6.065425
0.2840,5.000000,6.023227,1.058779,6.023227
0.2850,5.000000,5.958641,1.000000,5.958641
0.2860,5.000000,5.893941,0.941221,5.893941
0.2870,5.000000,5.851718,0.904894,5.851718
0.2880,5.000000,5.845712,0.904894,5.845712
0.2890,5.000000,5.875880,0.941221,5.875880
0.2900,5.000000,5.928509,1.000000,5.928509
0.2910,5.000000,5.980899,1.058779,5.980899
0.2920,5.000000,6.010802,1.095106,6.010802
0.2930,5.000000,6.004370,1.095106,6.004370
0.2940,5.000000,5.961478,1.058779,5.961478
