time_s,ppg_clean_ua,ppg_with_ambient_ua,ambient_ua,photodiode_total_ua
0.0000,2.000000,3.999980,2.000000,3.999980
0.0010,2.000000,4.117569,2.117557,4.117569
0.0020,2.000000,4.190223,2.190211,4.190223
0.0030,2.000000,4.190248,2.190211,4.190248
0.0040,2.000000,4.117556,2.117557,4.117556
0.0050,2.000000,4.000054,2.000000,4.000054
0.0060,2.000000,3.882454,1.882443,3.882454
0.0070,2.000000,3.809790,1.809789,3.809790
0.0080,2.000000,3.809774,1.809789,3.809774
0.0090,2.000000,3.882404,1.882443,3.882404
0.0100,2.000000,4.000000,2.000000,4.000000
0.0110,2.000000,4.117509,2.117557,4.117509
0.0120,2.000000,4.190195,2.190211,4.190195
0.0130,2.000000,4.190166,2.190211,4.190166
0.0140,2.000373,4.117983,2.117557,4.117983
0.0150,2.000394,4.000496,2.000000,4.000496
0.0160,2.000416,3.882832,1.882443,3.882832
0.0170,2.000440,3.810273,1.809789,3.810273
0.0180,2.000464,3.810278,1.809789,3.810278
0.0190,2.000489,3.882921,1.882443,3.882921
0.0200,2.000515,4.000530,2.000000,4.000530
0.0210,2.000543,4.118050,2.117557,4.118050
0.0220,2.000572,4.190787,2.190211,4.190787
0.0230,2.000601,4.190768,2.190211,4.190768
0.0240,2.000632,4.118202,2.117557,4.118202
0.0250,2.000665,4.000677,2.000000,4.000677
0.0260,2.000698,3.883060,1.882443,3.883060
0.0270,2.000733,3.810567,1.809789,3.810567
0.0280,2.000769,3.810497,1.809789,3.810497
0.0290,2.000806,3.883288,1.882443,3.883288
0.0300,2.000845,4.000882,2.000000,4.000882
0.0310,2.000885,4.118428,2.117557,4.118428
0.0320,2.000927,4.191121,2.190211,4.191121
0.0330,2.000970,4.191191,2.190211,4.191191
0.0340,2.001014,4.118563,2.117557,4.118563
0.0350,2.001060,4.001118,2.000000,4.001118
0.0360,2.001107,3.883551,1.882443,3.883551
0.0370,2.001156,3.810939,1.809789,3.810939
0.0380,2.001206,3.810983,1.809789,3.810983
0.0390,2.001258,3.883652,1.882443,3.883652
0.0400,2.001311,4.001280,2.000000,4.001280
0.0410,2.001365,4.118928,2.117557,4.118928
0.0420,2.001422,4.191632,2.190211,4.191632
0.0430,2.001479,4.191701,2.190211,4.191701
0.0440,2.001538,4.119056,2.117557,4.119056
0.0450,2.001599,4.001602,2.000000,4.001602
0.0460,2.001661,3.884056,1.882443,3.884056
0.0470,2.001724,3.811534,1.809789,3.811534
0.0480,2.001789,3.811591,1.809789,3.811591
0.0490,2.001855,3.884237,1.882443,3.884237
0.0500,2.001923,4.001888,2.000000,4.001888
0.0510,2.001992,4.119577,2.117557,4.119577
0.0520,2.002063,4.192274,2.190211,4.192274
0.0530,2.002134,4.192380,2.190211,4.192380
0.0540,2.002207,4.119752,2.117557,4.119752
0.0550,2.002281,4.002342,2.000000,4.002342
0.0560,2.002357,3.884806,1.882443,3.884806
0.0570,2.002433,3.812192,1.809789,3.812192
0.0580,2.002511,3.812340,1.809789,3.812340
