time_s,speed_kmh,road_grade_pct
0,0.0,0
1,2.1,0
2,4.1,0
3,6.2,0
4,8.3,0
5,10.3,0
6,12.4,0
7,14.5,0
8,16.6,0
9,18.6,0
10,20.7,0
11,22.8,0
12,24.8,0
13,26.9,0
14,29.0,0
15,31.0,0
16,33.1,0
17,35.2,0
18,37.2,0
19,39.3,0
20,41.4,0
21,43.4,0
22,45.5,0
23,47.6,0
24,49.7,0
25,51.7,0
26,53.8,0
27,55.9,0
28,57.9,0
29,60.0,0
30,60.7,0
31,64.0,0
32,58.6,0
33,60.9,0
34,61.2,0
35,59.0,0
36,59.1,0
37,58.9,0
38,60.2,0
39,61.1,0
40,60.2,0
41,61.4,0
42,56.1,0
43,59.6,0
44,58.0,0
45,60.6,0
46,60.6,0
47,59.8,0
48,61.0,0
49,62.0,0
50,59.9,0
51,57.9,0
52,56.8,0
53,60.1,0
54,60.5,0
55,58.1,0
56,61.5,0
57,59.1,0
58,56.7,0
59,62.5,0
60,62.3,0
61,56.0,0
62,58.9,0
63,58.8,0
64,63.3,0
65,59.8,0
66,57.0,0
67,61.8,0
68,57.5,0
69,59.5,0
70,58.5,0
71,58.9,0
72,61.9,0
73,63.0,0
74,57.5,0
75,61.3,0
76,58.5,0
77,58.6,0
78,61.0,0
79,57.9,0
80,60.9,0
81,61.5,0
82,59.1,0
83,62.7,0
84,57.5,0
85,62.7,0
86,56.1,0
87,65.4,0
88,59.2,0
89,57.7,0
90,59.5,0
91,57.9,0
92,60.8,0
93,62.7,0
94,58.0,0
95,61.2,0
96,56.9,0
97,62.1,0
98,60.8,0
99,62.2,0
100,59.8,0
101,59.1,0
102,61.6,0
103,57.4,0
104,56.5,0
105,60.0,0
106,59.2,0
107,61.1,0
108,62.2,0
109,61.1,0
110,62.0,0
111,60.6,0
112,61.0,0
113,59.8,0
114,60.9,0
115,60.3,0
116,60.7,0
117,59.7,0
118,61.6,0
119,58.6,0
120,60.0,0
121,62.6,0
122,58.1,0
123,55.7,0
124,60.7,0
125,59.5,0
126,62.0,0
127,59.7,0
128,58.8,0
129,59.8,0
130,62.2,0
131,61.2,0
132,55.1,0
133,60.4,0
134,60.5,0
135,60.0,0
136,58.8,0
137,62.4,0
138,62.5,0
139,55.6,0
140,58.4,0
141,59.7,0
142,61.9,0
143,60.1,0
144,58.6,0
145,61.4,0
146,59.6,0
147,59.8,0
148,59.9,0
149,61.1,0
150,59.4,0
151,61.4,0
152,59.9,0
153,57.9,0
154,59.9,0
155,58.0,0
156,60.1,0
157,61.7,0
158,57.9,0
159,60.7,0
160,58.3,0
161,60.4,0
162,61.7,0
163,55.7,0
164,57.8,0
165,59.3,0
166,60.6,0
167,59.7,0
168,59.9,0
169,64.1,0
170,57.6,0
171,62.3,0
172,59.3,0
173,61.1,0
174,64.3,0
175,61.4,0
176,60.7,0
177,63.2,0
178,62.2,0
179,58.4,0
180,60.6,0
181,56.6,0
182,58.9,0
183,60.6,0
184,58.8,0
185,60.5,0
186,60.0,0
187,61.1,0
188,59.2,0
189,58.1,0
190,63.0,0
191,59.0,0
192,61.3,0
193,62.9,0
194,60.3,0
195,58.3,0
196,59.6,0
197,62.0,0
198,60.4,0
199,57.6,0
200,61.2,0
201,61.5,0
202,59.3,0
203,61.2,0
204,60.5,0
205,59.6,0
206,57.4,0
207,62.2,0
208,61.5,0
209,61.2,0
210,63.1,0
211,61.9,0
212,61.4,0
