time_s,speed_kmh,road_grade_pct
0,0.2,2
1,1.5,-1
2,3.5,0
3,5.5,-1
4,6.2,1
5,7.8,0
6,10.3,0
7,11.4,0
8,12.4,2
9,14.5,-1
10,15.6,0
11,17.1,1
12,19.1,0
13,19.6,-2
14,21.2,-2
15,23.4,-2
16,24.8,2
17,27.0,-1
18,28.0,0
19,29.3,0
20,30.7,0
21,29.9,1
22,30.0,0
23,29.3,1
24,29.7,2
25,30.1,-1
26,29.4,-2
27,30.2,-1
28,0.0,2
29,0.0,0
30,0.0,0
31,0.9,2
32,0.0,1
33,0.0,0
34,0.4,0
35,0.0,1
36,0.1,0
37,0.0,0
38,0.0,0
39,0.1,-1
40,0.4,0
41,0.1,0
42,0.0,-2
43,0.0,0
44,0.0,1
45,0.0,-2
46,0.0,-1
47,0.5,1
48,0.2,-2
49,0.0,1
50,0.2,-1
51,0.0,0
52,0.0,-1
53,0.3,-1
54,0.5,1
55,0.5,2
56,0.0,0
57,0.0,0
58,0.2,0
59,3.3,0
60,5.5,0
61,8.5,0
62,10.9,0
63,13.7,0
64,17.5,2
65,20.7,0
66,22.8,0
67,26.2,-2
68,28.8,1
69,31.1,2
70,34.5,2
71,37.9,0
72,40.0,0
73,40.8,-1
74,38.7,2
75,40.4,-1
76,40.0,-1
77,39.9,1
78,40.0,-1
79,39.0,0
80,39.9,0
81,40.2,-2
82,40.7,0
83,0.0,0
84,0.0,-2
85,0.0,2
86,0.5,2
87,0.2,2
88,0.0,0
89,0.3,0
90,0.0,0
91,0.5,0
92,0.0,-1
93,0.0,2
94,0.0,1
95,0.0,0
96,0.1,1
97,0.1,0
98,0.0,0
99,0.0,0
100,0.0,-2
101,0.0,1
102,0.0,0
103,0.0,0
104,0.0,0
105,0.2,0
106,0.9,2
107,0.1,0
108,0.1,0
109,0.0,0
110,0.0,1
111,0.0,0
112,0.0,-2
113,1.2,0
114,0.0,0
115,0.2,0
116,0.0,-2
117,0.0,-1
118,0.6,0
119,0.4,1
120,0.4,2
121,0.0,-1
122,0.7,0
123,0.0,0
124,0.3,-2
125,1.1,-2
126,0.0,0
127,0.0,-1
128,0.0,2
129,0.0,0
130,0.0,0
131,0.0,0
132,0.0,1
133,0.2,-2
134,0.0,-2
135,0.8,0
136,0.0,0
137,0.0,2
138,0.4,0
139,0.0,1
140,0.1,-1
141,0.7,0
142,0.0,2
143,0.1,0
144,2.0,0
145,4.1,0
146,4.9,0
147,6.7,0
148,9.5,-1
149,11.2,0
150,13.0,0
151,14.9,1
152,16.2,2
153,18.5,-2
154,20.4,1
155,21.7,1
156,24.9,2
157,26.0,-2
158,27.0,1
159,29.8,0
160,30.8,0
161,33.6,0
162,35.6,-2
163,34.6,1
164,35.5,-2
165,35.2,0
166,35.4,2
167,35.9,1
168,34.9,1
169,34.6,0
170,34.6,0
171,0.0,-1
172,0.0,0
173,0.2,0
174,0.1,-2
175,0.4,0
176,0.0,-1
177,0.7,1
178,0.0,-1
179,1.4,1
180,0.3,2
181,0.0,2
182,0.0,1
183,0.2,0
184,0.0,0
185,0.4,-2
186,0.2,-2
187,0.0,0
188,0.0,1
189,0.0,-2
190,0.0,0
191,0.4,1
192,0.1,0
193,0.0,-2
194,0.1,-2
195,0.2,0
196,0.0,-2
197,0.1,1
198,0.0,2
199,0.0,1
200,0.2,1
201,0.3,0
202,0.5,0
203,0.5,-2
204,0.0,-1
205,0.0,-1
206,0.3,0
207,0.3,-2
208,0.3,-1
209,1.9,-2
210,0.3,-2
211,0.6,-2
212,4.6,0
213,8.5,1
214,12.1,-2
215,16.7,0
216,20.1,0
217,24.4,-1
218,28.4,1
219,32.8,2
220,38.0,-1
221,40.0,1
222,45.3,2
223,44.2,-1
224,44.8,1
225,45.5,-1
226,45.0,-1
227,44.5,2
228,44.6,-1
229,45.3,-1
230,44.6,2
231,45.1,0
232,45.0,-2
233,44.7,0
234,46.1,0
235,45.3,0
236,44.0,0
237,45.1,1
238,0.0,-2
239,0.4,1
240,0.0,-2
241,0.0,2
242,0.3,2
243,0.4,-2
244,0.0,-1
245,0.0,0
246,0.0,-1
247,0.0,0
248,0.9,1
249,0.2,0
250,0.0,1
251,0.5,2
252,1.1,0
253,0.5,2
254,0.0,2
255,0.0,0
256,0.6,0
257,0.0,0
258,0.2,1
259,0.4,-1
260,0.0,1
261,0.0,-1
262,0.0,2
263,0.0,0
264,0.0,2
265,0.0,-2
266,0.8,0
267,0.0,-1
268,0.0,1
269,0.1,0
270,0.7,-1
271,0.0,1
272,0.6,0
273,0.0,2
274,0.0,0
275,0.2,0
276,0.1,-2
277,0.0,0
278,0.0,0
279,0.0,-1
280,0.1,0
281,0.3,2
282,0.8,1
283,0.0,0
284,1.1,0
285,0.0,0
286,0.0,2
287,0.3,0
288,0.1,2
289,0.0,0
290,0.0,0
291,0.0,-1
292,0.0,1
293,0.4,-1
294,0.2,0
295,0.0,1
296,0.4,0
297,0.2,-2
298,0.4,0
299,0.3,0
300,0.0,0
301,0.0,-1
302,0.4,0
303,0.3,0
304,0.0,0
305,0.1,0
306,0.6,1
307,0.0,2
308,0.3,2
309,1.1,-2
310,2.4,2
311,4.3,0
312,5.4,-2
313,6.7,1
314,8.2,0
315,8.8,2
316,10.3,-1
317,11.1,0
318,12.7,0
319,13.7,0
320,15.0,0
321,16.5,0
322,17.1,0
323,19.8,1
324,19.5,0
325,20.6,0
326,23.1,-1
327,24.1,-2
328,25.3,0
329,26.6,-2
330,27.5,0
331,28.3,-1
332,30.0,0
333,29.7,-1
334,30.5,0
335,29.9,-1
336,29.6,2
337,29.8,-1
338,30.2,0
339,29.7,1
340,29.6,2
341,30.1,-1
342,30.1,0
343,0.0,0
344,0.0,-1
345,0.1,1
346,0.0,0
347,0.0,0
348,0.0,0
349,0.0,0
