H_A_m,B_T,mu_r
0.0,0.0000,3500
5.3,0.0195,2945
10.5,0.0390,2945
15.8,0.0584,2944
21.1,0.0779,2944
26.3,0.0973,2943
31.6,0.1167,2941
36.8,0.1361,2940
42.1,0.1555,2938
47.4,0.1748,2937
52.6,0.1941,2935
57.9,0.2133,2932
63.2,0.2325,2930
68.4,0.2517,2927
73.7,0.2708,2924
78.9,0.2898,2921
84.2,0.3088,2918
89.5,0.3277,2914
94.7,0.3465,2911
100.0,0.3653,2907
100.0,0.3653,2907
147.4,0.5302,2863
194.7,0.6864,2805
242.1,0.8321,2735
289.5,0.9659,2655
336.8,1.0871,2568
384.2,1.1956,2476
431.6,1.2916,2382
478.9,1.3758,2286
526.3,1.4489,2191
573.7,1.5119,2097
621.1,1.5660,2007
668.4,1.6120,1919
715.8,1.6511,1836
763.2,1.6841,1756
810.5,1.7119,1681
857.9,1.7352,1610
905.3,1.7547,1542
952.6,1.7711,1479
1000.0,1.7847,1420
1000.0,1.7847,1420
1473.7,1.8417,994
1947.4,1.8509,756
2421.1,1.8528,609
2894.7,1.8536,510
3368.4,1.8542,438
3842.1,1.8548,384
4315.8,1.8554,342
4789.5,1.8560,308
5263.2,1.8566,281
5736.8,1.8572,258
6210.5,1.8578,238
6684.2,1.8584,221
7157.9,1.8590,207
7631.6,1.8596,194
8105.3,1.8602,183
8578.9,1.8608,173
9052.6,1.8614,164
9526.3,1.8620,156
10000.0,1.8626,148
10000.0,1.8626,148
14736.8,1.8685,101
19473.7,1.8745,77
24210.5,1.8804,62
28947.4,1.8864,52
33684.2,1.8923,45
38421.1,1.8983,39
43157.9,1.9042,35
47894.7,1.9102,32
52631.6,1.9161,29
57368.4,1.9221,27
62105.3,1.9280,25
66842.1,1.9340,23
71578.9,1.9399,22
76315.8,1.9459,20
81052.6,1.9500,19
85789.5,1.9500,18
90526.3,1.9500,17
95263.2,1.9500,16
100000.0,1.9500,16
