H_A_m,B_T,mu_r
0.0,0.0000,6000
5.3,0.0190,2866
10.5,0.0379,2865
15.8,0.0568,2865
21.1,0.0758,2864
26.3,0.0947,2863
31.6,0.1136,2862
36.8,0.1324,2861
42.1,0.1513,2859
47.4,0.1701,2857
52.6,0.1888,2855
57.9,0.2076,2853
63.2,0.2262,2851
68.4,0.2449,2848
73.7,0.2635,2845
78.9,0.2820,2842
84.2,0.3004,2839
89.5,0.3188,2836
94.7,0.3371,2832
100.0,0.3554,2828
100.0,0.3554,2828
147.4,0.5159,2786
194.7,0.6679,2729
242.1,0.8096,2661
289.5,0.9398,2584
336.8,1.0577,2499
384.2,1.1633,2409
431.6,1.2567,2317
478.9,1.3386,2224
526.3,1.4098,2132
573.7,1.4711,2041
621.1,1.5237,1952
668.4,1.5685,1867
715.8,1.6065,1786
763.2,1.6386,1709
810.5,1.6656,1635
857.9,1.6883,1566
905.3,1.7073,1501
952.6,1.7232,1439
1000.0,1.7365,1382
1000.0,1.7365,1382
1473.7,1.7920,968
1947.4,1.8010,736
2421.1,1.8028,593
2894.7,1.8036,496
3368.4,1.8042,426
3842.1,1.8048,374
4315.8,1.8054,333
4789.5,1.8060,300
5263.2,1.8066,273
5736.8,1.8072,251
6210.5,1.8078,232
6684.2,1.8084,215
7157.9,1.8090,201
7631.6,1.8096,189
8105.3,1.8102,178
8578.9,1.8108,168
9052.6,1.8114,159
9526.3,1.8120,151
10000.0,1.8126,144
10000.0,1.8126,144
14736.8,1.8185,98
19473.7,1.8245,75
24210.5,1.8304,60
28947.4,1.8364,50
33684.2,1.8423,44
38421.1,1.8483,38
43157.9,1.8542,34
47894.7,1.8602,31
52631.6,1.8661,28
57368.4,1.8721,26
62105.3,1.8780,24
66842.1,1.8840,22
71578.9,1.8899,21
76315.8,1.8959,20
81052.6,1.9000,19
85789.5,1.9000,18
90526.3,1.9000,17
95263.2,1.9000,16
100000.0,1.9000,15
