H_kA_m,B_T
0.0,1.2800
-11.6,1.2645
-23.2,1.2490
-34.7,1.2335
-46.3,1.2179
-57.9,1.2024
-69.5,1.1869
-81.0,1.1714
-92.6,1.1559
-104.2,1.1404
-115.8,1.1248
-127.3,1.1093
-138.9,1.0938
-150.5,1.0783
-162.1,1.0628
-173.6,1.0473
-185.2,1.0318
-196.8,1.0162
-208.4,1.0007
-219.9,0.9852
-231.5,0.9697
-243.1,0.9542
-254.7,0.9387
-266.2,0.9232
-277.8,0.9076
-289.4,0.8921
-301.0,0.8766
-312.5,0.8611
-324.1,0.8456
-335.7,0.8301
-347.3,0.8145
-358.8,0.7990
-370.4,0.7835
-382.0,0.7680
-393.6,0.7525
-405.2,0.7370
-416.7,0.7215
-428.3,0.7059
-439.9,0.6904
-451.5,0.6749
-463.0,0.6594
-474.6,0.6439
-486.2,0.6284
-497.8,0.6128
-509.3,0.5973
-520.9,0.5818
-532.5,0.5663
-544.1,0.5508
-555.6,0.5353
-567.2,0.5198
-578.8,0.5042
-590.4,0.4887
-601.9,0.4732
-613.5,0.4577
-625.1,0.4422
-636.7,0.4267
-648.2,0.4112
-659.8,0.3956
-671.4,0.3801
-683.0,0.3646
-694.5,0.3491
-706.1,0.3336
-717.7,0.3181
-729.3,0.3025
-740.8,0.2870
-752.4,0.2715
-764.0,0.2560
-775.6,0.2405
-787.2,0.2250
-798.7,0.2095
-810.3,0.1939
-821.9,0.1784
-833.5,0.1629
-845.0,0.1474
-856.6,0.1319
-868.2,0.1164
-879.8,0.1008
-891.3,0.0853
-902.9,0.0698
-914.5,0.0543
-926.1,0.0388
-937.6,0.0233
-949.2,0.0078
-960.8,0.0000
-972.4,0.0000
-983.9,0.0000
-995.5,0.0000
-1007.1,0.0000
-1018.7,0.0000
-1030.2,0.0000
-1041.8,0.0000
-1053.4,0.0000
-1065.0,0.0000
-1076.5,0.0000
-1088.1,0.0000
-1099.7,0.0000
-1111.3,0.0000
-1122.8,0.0000
-1134.4,0.0000
-1146.0,0.0000
