H_kA_m,B_T
0.0,1.3800
-12.5,1.3633
-25.1,1.3465
-37.6,1.3298
-50.2,1.3131
-62.7,1.2964
-75.3,1.2796
-87.8,1.2629
-100.4,1.2462
-112.9,1.2295
-125.5,1.2127
-138.0,1.1960
-150.5,1.1793
-163.1,1.1625
-175.6,1.1458
-188.2,1.1291
-200.7,1.1124
-213.3,1.0956
-225.8,1.0789
-238.4,1.0622
-250.9,1.0455
-263.5,1.0287
-276.0,1.0120
-288.5,0.9953
-301.1,0.9785
-313.6,0.9618
-326.2,0.9451
-338.7,0.9284
-351.3,0.9116
-363.8,0.8949
-376.4,0.8782
-388.9,0.8615
-401.5,0.8447
-414.0,0.8280
-426.5,0.8113
-439.1,0.7945
-451.6,0.7778
-464.2,0.7611
-476.7,0.7444
-489.3,0.7276
-501.8,0.7109
-514.4,0.6942
-526.9,0.6775
-539.5,0.6607
-552.0,0.6440
-564.5,0.6273
-577.1,0.6105
-589.6,0.5938
-602.2,0.5771
-614.7,0.5604
-627.3,0.5436
-639.8,0.5269
-652.4,0.5102
-664.9,0.4935
-677.5,0.4767
-690.0,0.4600
-702.5,0.4433
-715.1,0.4265
-727.6,0.4098
-740.2,0.3931
-752.7,0.3764
-765.3,0.3596
-777.8,0.3429
-790.4,0.3262
-802.9,0.3095
-815.5,0.2927
-828.0,0.2760
-840.5,0.2593
-853.1,0.2425
-865.6,0.2258
-878.2,0.2091
-890.7,0.1924
-903.3,0.1756
-915.8,0.1589
-928.4,0.1422
-940.9,0.1255
-953.5,0.1087
-966.0,0.0920
-978.5,0.0753
-991.1,0.0585
-1003.6,0.0418
-1016.2,0.0251
-1028.7,0.0084
-1041.3,0.0000
-1053.8,0.0000
-1066.4,0.0000
-1078.9,0.0000
-1091.5,0.0000
-1104.0,0.0000
-1116.5,0.0000
-1129.1,0.0000
-1141.6,0.0000
-1154.2,0.0000
-1166.7,0.0000
-1179.3,0.0000
-1191.8,0.0000
-1204.4,0.0000
-1216.9,0.0000
-1229.5,0.0000
-1242.0,0.0000
