time_us,current_A,voltage_V,di_dt_A_us
0.00,199.1,400.0,29.7
1.00,197.9,400.0,61.3
2.00,203.5,400.0,-46.9
3.00,203.6,400.0,-68.9
4.00,196.9,400.0,17.9
5.00,205.2,400.0,-57.7
6.00,199.7,400.0,8.4
7.00,200.0,400.0,-29.0
8.00,201.0,400.0,-48.4
9.00,199.5,400.0,-20.3
10.00,200.4,400.0,7.9
11.00,201.5,400.0,5.2
12.00,202.0,400.0,-23.0
13.00,197.6,400.0,27.0
14.00,200.5,400.0,-5.3
15.00,199.8,400.0,22.2
16.00,196.2,400.0,27.0
17.00,201.8,400.0,-42.7
18.00,200.2,400.0,18.7
19.00,200.4,400.0,8.7
20.00,200.5,400.0,11.3
21.00,203.9,400.0,-79.5
22.00,199.4,400.0,-29.0
23.00,199.4,400.0,45.6
24.00,197.3,400.0,29.7
25.00,196.8,400.0,62.2
26.00,197.7,400.0,7.1
27.00,198.1,400.0,17.4
28.00,195.9,400.0,23.4
29.00,198.8,400.0,53.1
30.00,200.1,400.0,6.8
31.00,199.9,400.0,-45.4
32.00,198.9,400.0,4.1
33.00,198.2,400.0,49.1
34.00,198.1,400.0,29.1
35.00,200.4,400.0,14.5
36.00,198.8,400.0,-7.1
37.00,201.6,400.0,-19.7
38.00,199.4,400.0,-8.9
39.00,201.3,400.0,-57.6
40.00,197.4,400.0,47.9
41.00,200.4,400.0,2.6
42.00,203.1,400.0,-10.1
43.00,201.0,400.0,-30.6
44.00,201.6,400.0,-11.3
45.00,201.1,400.0,30.9
46.00,204.3,400.0,-58.6
47.00,198.4,400.0,8.5
48.00,198.7,400.0,18.3
49.00,203.4,400.0,-33.1
50.00,198.2,400.0,35.5
51.00,197.3,400.0,30.6
52.00,200.5,400.0,-17.1
53.00,201.5,400.0,-35.4
54.00,199.6,400.0,27.3
55.00,199.8,400.0,3.0
56.00,198.4,400.0,42.4
57.00,197.0,400.0,30.4
58.00,200.5,400.0,10.9
59.00,200.6,400.0,-8.9
60.00,204.3,400.0,-38.9
61.00,199.8,400.0,1.0
