time_us,current_A,voltage_V,di_dt_A_us
0.00,201.0,400.0,-12.7
1.00,199.1,400.0,-0.0
2.00,202.9,400.0,-33.8
3.00,198.8,400.0,49.1
4.00,201.5,400.0,-11.3
5.00,200.6,400.0,-14.2
6.00,199.0,400.0,5.9
7.00,200.7,400.0,23.5
8.00,199.6,400.0,11.5
9.00,200.2,400.0,17.4
10.00,197.2,400.0,19.9
11.00,196.2,400.0,37.8
12.00,201.6,400.0,-34.0
13.00,196.9,400.0,32.4
14.00,200.5,400.0,21.6
15.00,200.5,400.0,1.9
16.00,198.1,400.0,35.2
17.00,198.2,400.0,1.5
18.00,201.3,400.0,-29.7
19.00,199.1,400.0,26.1
20.00,200.7,400.0,4.1
21.00,201.1,400.0,11.3
22.00,204.6,400.0,-83.6
23.00,198.5,400.0,18.9
24.00,198.4,400.0,13.6
25.00,197.5,400.0,43.6
26.00,198.1,400.0,17.3
27.00,202.9,400.0,-57.5
28.00,200.2,400.0,11.0
29.00,199.6,400.0,-5.7
30.00,198.3,400.0,5.4
31.00,199.6,400.0,26.3
32.00,200.2,400.0,10.0
33.00,200.0,400.0,-17.7
34.00,198.4,400.0,21.3
35.00,200.6,400.0,23.3
36.00,201.0,400.0,20.3
37.00,200.0,400.0,9.5
38.00,198.3,400.0,4.8
39.00,198.2,400.0,27.8
40.00,196.8,400.0,19.9
41.00,201.4,400.0,-36.7
42.00,204.1,400.0,-6.1
43.00,197.6,400.0,-17.1
44.00,200.8,400.0,-8.3
45.00,199.9,400.0,20.4
46.00,203.9,400.0,-38.6
47.00,199.4,400.0,-40.5
48.00,199.7,400.0,-16.6
49.00,200.0,400.0,29.8
50.00,201.9,400.0,19.7
51.00,200.5,400.0,-6.4
52.00,196.7,400.0,44.3
53.00,201.3,400.0,-46.0
54.00,201.7,400.0,-39.3
55.00,200.2,400.0,-4.8
56.00,200.6,400.0,35.7
57.00,200.0,400.0,33.2
58.00,200.7,400.0,-15.1
59.00,200.1,400.0,-11.0
60.00,201.5,400.0,-33.6
61.00,201.3,400.0,-14.2
62.00,198.4,400.0,25.2
63.00,196.6,400.0,64.4
64.00,199.3,400.0,40.1
65.00,203.7,400.0,-14.4
66.00,198.9,400.0,0.5
67.00,202.5,400.0,-66.4
68.00,201.4,400.0,-37.0
69.00,199.3,400.0,30.4
70.00,199.0,400.0,31.4
71.00,200.4,400.0,-6.2
72.00,200.6,400.0,-40.4
73.00,200.4,400.0,-23.5
74.00,196.3,400.0,11.2
75.00,198.2,400.0,-8.6
76.00,198.8,400.0,14.0
77.00,201.4,400.0,-25.4
78.00,200.4,400.0,-30.3
79.00,200.9,400.0,-4.4
80.00,201.9,400.0,-29.1
81.00,199.6,400.0,-5.1
82.00,199.0,400.0,38.5
83.00,197.3,400.0,8.5
84.00,199.9,400.0,14.5
85.00,198.8,400.0,1.4
86.00,200.4,400.0,-34.4
87.00,199.6,400.0,-12.4
88.00,205.1,400.0,-61.2
89.00,201.6,400.0,-6.3
90.00,200.7,400.0,-15.2
91.00,199.4,400.0,10.5
92.00,202.1,400.0,-42.0
93.00,198.9,400.0,48.7
94.00,197.4,400.0,43.1
95.00,199.5,400.0,11.9
96.00,201.3,400.0,13.7
97.00,200.3,400.0,-16.2
98.00,201.6,400.0,-7.2
99.00,200.4,400.0,-45.0
100.00,17145.7,400.0,-1424.1
101.00,15782.8,368.0,-1323.3
102.00,14528.2,338.6,-1218.2
103.00,13374.4,311.5,-1128.2
104.00,12318.8,286.6,-1054.2
