time_us,current_A,voltage_V,di_dt_A_us
0.00,198.6,400.0,7.5
1.00,201.8,400.0,-1.4
2.00,203.1,400.0,-18.8
3.00,201.6,400.0,2.4
4.00,200.2,400.0,-6.8
5.00,196.5,400.0,48.2
6.00,200.3,400.0,2.0
7.00,199.1,400.0,-13.5
8.00,203.7,400.0,-63.1
9.00,199.1,400.0,-14.0
10.00,202.8,400.0,-24.1
11.00,198.6,400.0,51.2
12.00,205.0,400.0,-59.7
13.00,200.6,400.0,-27.2
14.00,199.6,400.0,18.6
15.00,200.1,400.0,-17.8
16.00,197.0,400.0,26.5
17.00,203.5,400.0,-17.2
18.00,197.2,400.0,32.9
19.00,198.3,400.0,11.4
20.00,200.6,400.0,-1.6
21.00,199.4,400.0,14.3
22.00,202.6,400.0,-30.3
23.00,201.9,400.0,-43.1
24.00,203.4,400.0,-46.6
25.00,198.9,400.0,31.1
26.00,200.1,400.0,17.1
27.00,199.3,400.0,-0.5
28.00,200.7,400.0,-8.2
29.00,198.0,400.0,-7.9
30.00,203.8,400.0,-57.7
31.00,200.2,400.0,-12.4
32.00,200.5,400.0,6.9
33.00,198.5,400.0,4.8
34.00,199.1,400.0,-31.0
35.00,200.3,400.0,-33.3
36.00,200.2,400.0,-16.4
37.00,198.5,400.0,11.0
38.00,204.7,400.0,-28.0
39.00,195.0,400.0,74.2
40.00,199.9,400.0,-0.3
41.00,200.0,400.0,3.5
42.00,202.1,400.0,-13.2
43.00,199.2,400.0,29.0
44.00,199.4,400.0,-4.5
45.00,200.9,400.0,-25.0
46.00,197.5,400.0,5.5
47.00,201.0,400.0,-8.6
48.00,202.2,400.0,-27.0
49.00,198.0,400.0,21.9
50.00,203.1,400.0,-4.1
51.00,198.1,400.0,19.2
52.00,199.2,400.0,11.1
53.00,203.1,400.0,-41.3
54.00,197.2,400.0,31.6
55.00,198.6,400.0,-14.4
56.00,199.1,400.0,21.0
57.00,196.3,400.0,26.5
58.00,197.8,400.0,77.8
59.00,199.4,400.0,-1.8
60.00,202.4,400.0,-37.1
61.00,199.6,400.0,26.5
62.00,199.2,400.0,17.4
63.00,202.4,400.0,-22.2
64.00,200.5,400.0,-17.5
65.00,199.6,400.0,9.1
66.00,202.8,400.0,-23.2
67.00,201.6,400.0,-16.8
68.00,198.3,400.0,18.6
69.00,199.0,400.0,27.6
70.00,198.9,400.0,23.4
71.00,202.3,400.0,18.8
72.00,199.6,400.0,-35.7
73.00,196.9,400.0,38.1
74.00,201.9,400.0,-16.6
75.00,200.7,400.0,15.5
76.00,201.9,400.0,-10.0
77.00,202.5,400.0,6.8
78.00,197.5,400.0,-7.7
79.00,199.5,400.0,-4.8
80.00,198.9,400.0,21.6
81.00,198.6,400.0,18.8
82.00,198.0,400.0,18.5
83.00,202.9,400.0,-23.0
84.00,197.4,400.0,3.1
85.00,198.3,400.0,31.1
86.00,199.7,400.0,-23.7
87.00,202.6,400.0,-20.3
88.00,198.3,400.0,2.4
89.00,200.2,400.0,7.8
90.00,198.1,400.0,7.9
91.00,199.9,400.0,8.4
92.00,203.3,400.0,-59.7
93.00,199.2,400.0,45.2
94.00,197.8,400.0,1.4
95.00,198.6,400.0,34.4
96.00,194.1,400.0,34.2
97.00,200.8,400.0,-11.2
98.00,195.3,400.0,52.8
99.00,199.8,400.0,17.5
