time_us,current_A,voltage_V,di_dt_A_us
0.00,196.0,400.0,18.5
1.00,199.5,400.0,-29.1
2.00,202.0,400.0,-5.1
3.00,199.9,400.0,14.8
4.00,201.2,400.0,-13.8
5.00,198.5,400.0,16.0
6.00,200.6,400.0,11.7
7.00,197.7,400.0,19.3
8.00,198.8,400.0,28.2
9.00,201.1,400.0,14.1
10.00,201.0,400.0,-1.0
11.00,198.1,400.0,27.5
12.00,202.1,400.0,-27.8
13.00,198.3,400.0,22.0
14.00,201.0,400.0,-25.0
15.00,200.0,400.0,6.0
16.00,198.8,400.0,30.1
17.00,199.8,400.0,14.8
18.00,198.7,400.0,2.1
19.00,200.3,400.0,-2.9
20.00,194.7,400.0,52.4
21.00,200.1,400.0,-13.9
22.00,199.2,400.0,28.3
23.00,199.1,400.0,2.3
24.00,197.0,400.0,27.1
25.00,196.9,400.0,39.4
26.00,198.5,400.0,17.4
27.00,199.0,400.0,18.0
28.00,199.5,400.0,39.1
29.00,201.3,400.0,-7.7
30.00,199.8,400.0,2.0
31.00,198.3,400.0,10.3
32.00,200.0,400.0,29.9
33.00,196.0,400.0,55.0
34.00,196.9,400.0,16.5
35.00,200.1,400.0,24.6
36.00,201.6,400.0,2.0
37.00,201.1,400.0,4.8
38.00,200.2,400.0,6.9
39.00,199.0,400.0,5.5
40.00,201.8,400.0,-17.3
41.00,199.0,400.0,29.9
42.00,197.4,400.0,21.2
43.00,200.5,400.0,-17.4
44.00,197.5,400.0,-24.2
45.00,199.2,400.0,34.6
46.00,204.1,400.0,-21.2
47.00,199.5,400.0,31.9
48.00,199.1,400.0,2.8
49.00,200.7,400.0,-9.3
50.00,199.4,400.0,33.1
51.00,201.1,400.0,43.7
52.00,200.3,400.0,-21.1
53.00,197.4,400.0,56.7
54.00,199.8,400.0,4.4
55.00,204.0,400.0,-59.4
56.00,200.3,400.0,-27.2
57.00,199.6,400.0,13.5
58.00,199.2,400.0,16.5
59.00,198.4,400.0,3.2
60.00,198.1,400.0,32.2
61.00,199.6,400.0,-18.5
62.00,201.6,400.0,-29.9
63.00,199.9,400.0,-19.6
64.00,201.7,400.0,-44.1
65.00,198.8,400.0,-28.2
66.00,198.0,400.0,-15.7
67.00,197.2,400.0,13.3
68.00,198.0,400.0,21.9
69.00,202.9,400.0,-43.2
70.00,201.8,400.0,-10.7
71.00,202.9,400.0,-39.5
72.00,202.8,400.0,-32.7
73.00,201.9,400.0,-37.3
74.00,200.7,400.0,7.8
75.00,201.3,400.0,-10.6
76.00,202.6,400.0,-25.5
77.00,200.4,400.0,2.2
78.00,199.8,400.0,-16.0
79.00,197.3,400.0,46.4
80.00,201.6,400.0,-0.7
81.00,195.8,400.0,33.9
82.00,200.4,400.0,-20.4
83.00,202.7,400.0,-77.3
84.00,201.2,400.0,-8.5
85.00,198.5,400.0,16.4
86.00,199.9,400.0,2.1
87.00,199.9,400.0,-11.5
88.00,198.6,400.0,28.4
89.00,204.6,400.0,-32.4
90.00,199.9,400.0,-4.7
91.00,199.1,400.0,18.9
92.00,200.8,400.0,-11.9
93.00,199.3,400.0,-23.7
94.00,198.2,400.0,-4.7
95.00,198.2,400.0,32.6
96.00,197.2,400.0,15.8
97.00,197.6,400.0,80.6
98.00,196.1,400.0,29.6
99.00,200.8,400.0,-3.9
100.00,116.6,400.0,46.6
101.00,118.3,399.8,-19.0
102.00,121.0,399.6,-11.7
103.00,128.7,399.4,-11.3
104.00,124.6,399.2,35.3
105.00,129.1,399.0,22.5
106.00,128.3,398.8,9.8
