frequency_MHz,S11_dB
630,-2.00
635,-2.00
640,-2.00
645,-2.00
650,-2.00
655,-2.00
660,-2.00
665,-2.00
670,-2.00
675,-2.00
680,-2.00
685,-2.00
690,-2.00
695,-2.00
700,-2.00
705,-2.00
710,-2.00
715,-2.00
720,-2.00
725,-2.00
730,-2.00
735,-2.00
740,-2.00
745,-2.00
750,-2.00
755,-2.00
760,-2.00
765,-2.00
770,-2.00
775,-2.00
780,-2.00
785,-2.00
790,-2.00
795,-2.00
800,-2.00
805,-2.00
810,-2.00
815,-2.00
820,-2.00
825,-2.00
830,-2.00
835,-2.00
840,-2.00
845,-2.00
850,-2.00
855,-2.00
860,-2.02
865,-2.11
870,-2.40
875,-3.21
880,-4.99
885,-8.06
890,-12.02
895,-15.56
900,-17.00
905,-15.56
910,-12.02
915,-8.06
920,-4.99
925,-3.21
930,-2.40
935,-2.11
940,-2.02
945,-2.00
950,-2.00
955,-2.00
960,-2.00
965,-2.00
970,-2.00
975,-2.00
980,-2.00
985,-2.00
990,-2.00
995,-2.00
1000,-2.00
1005,-2.00
1010,-2.00
1015,-2.00
1020,-2.00
1025,-2.00
1030,-2.00
1035,-2.00
1040,-2.00
1045,-2.00
1050,-2.00
1055,-2.00
1060,-2.00
1065,-2.00
1070,-2.00
1075,-2.00
1080,-2.00
1085,-2.00
1090,-2.00
1095,-2.00
1100,-2.00
1105,-2.00
1110,-2.00
1115,-2.00
1120,-2.00
1125,-2.00
1130,-2.00
1135,-2.00
1140,-2.00
1145,-2.00
1150,-2.00
1155,-2.00
1160,-2.00
1165,-2.00
1170,-2.00
1175,-2.00
1180,-2.00
1185,-2.00
1190,-2.00
1195,-2.00
1200,-2.00
1205,-2.00
1210,-2.00
1215,-2.00
1220,-2.00
1225,-2.00
1230,-2.00
1235,-2.00
1240,-2.00
1245,-2.00
1250,-2.00
1255,-2.00
1260,-2.00
1265,-2.00
1270,-2.00
1275,-2.00
1280,-2.00
1285,-2.00
1290,-2.00
1295,-2.00
1300,-2.00
1305,-2.00
1310,-2.00
1315,-2.00
1320,-2.00
1325,-2.00
1330,-2.00
1335,-2.00
1340,-2.00
1345,-2.00
1350,-2.00
1355,-2.00
1360,-2.00
1365,-2.00
1370,-2.00
1375,-2.00
1380,-2.00
1385,-2.00
1390,-2.00
1395,-2.00
1400,-2.00
1405,-2.00
1410,-2.00
1415,-2.00
1420,-2.00
1425,-2.00
1430,-2.00
1435,-2.00
1440,-2.00
1445,-2.00
1450,-2.00
1455,-2.00
1460,-2.00
1465,-2.00
1470,-2.00
1475,-2.00
1480,-2.00
1485,-2.00
1490,-2.00
1495,-2.00
1500,-2.00
1505,-2.00
