frequency_MHz,S11_dB
720,-2.00
722,-2.00
724,-2.00
726,-2.00
728,-2.00
730,-2.00
732,-2.00
734,-2.00
736,-2.00
738,-2.00
740,-2.00
742,-2.00
744,-2.00
746,-2.00
748,-2.00
750,-2.00
752,-2.00
754,-2.00
756,-2.00
758,-2.00
760,-2.00
762,-2.00
764,-2.00
766,-2.00
768,-2.00
770,-2.00
772,-2.00
774,-2.00
776,-2.00
778,-2.00
780,-2.00
782,-2.00
784,-2.00
786,-2.00
788,-2.00
790,-2.00
792,-2.00
794,-2.00
796,-2.00
798,-2.00
800,-2.00
802,-2.00
804,-2.00
806,-2.00
808,-2.00
810,-2.00
812,-2.00
814,-2.00
816,-2.00
818,-2.00
820,-2.00
822,-2.00
824,-2.00
826,-2.00
828,-2.00
830,-2.00
832,-2.00
834,-2.00
836,-2.00
838,-2.00
840,-2.00
842,-2.00
844,-2.00
846,-2.00
848,-2.00
850,-2.01
852,-2.01
854,-2.03
856,-2.05
858,-2.08
860,-2.13
862,-2.21
864,-2.33
866,-2.51
868,-2.76
870,-3.12
872,-3.60
874,-4.23
876,-5.04
878,-6.04
880,-7.24
882,-8.62
884,-10.17
886,-11.83
888,-13.54
890,-15.22
892,-16.77
894,-18.11
896,-19.13
898,-19.78
900,-20.00
902,-19.78
904,-19.13
906,-18.11
908,-16.77
910,-15.22
912,-13.54
914,-11.83
916,-10.17
918,-8.62
920,-7.24
922,-6.04
924,-5.04
926,-4.23
928,-3.60
930,-3.12
932,-2.76
934,-2.51
936,-2.33
938,-2.21
940,-2.13
942,-2.08
944,-2.05
946,-2.03
948,-2.01
950,-2.01
952,-2.00
954,-2.00
956,-2.00
958,-2.00
960,-2.00
962,-2.00
964,-2.00
966,-2.00
968,-2.00
970,-2.00
972,-2.00
974,-2.00
976,-2.00
978,-2.00
980,-2.00
982,-2.00
984,-2.00
986,-2.00
988,-2.00
990,-2.00
992,-2.00
994,-2.00
996,-2.00
998,-2.00
1000,-2.00
1002,-2.00
1004,-2.00
1006,-2.00
1008,-2.00
1010,-2.00
1012,-2.00
1014,-2.00
1016,-2.00
1018,-2.00
1020,-2.00
1022,-2.00
1024,-2.00
1026,-2.00
1028,-2.00
1030,-2.00
1032,-2.00
1034,-2.00
1036,-2.00
1038,-2.00
1040,-2.00
1042,-2.00
1044,-2.00
1046,-2.00
1048,-2.00
1050,-2.00
1052,-2.00
1054,-2.00
1056,-2.00
1058,-2.00
1060,-2.00
1062,-2.00
1064,-2.00
1066,-2.00
1068,-2.00
1070,-2.00
1072,-2.00
1074,-2.00
1076,-2.00
1078,-2.00
