frequency_MHz,S11_dB
560,-13.81
565,-13.99
570,-14.16
575,-14.33
580,-14.50
585,-14.67
590,-14.84
595,-15.01
600,-15.17
605,-15.33
610,-15.50
615,-15.65
620,-15.81
625,-15.97
630,-16.12
635,-16.27
640,-16.42
645,-16.57
650,-16.71
655,-16.85
660,-16.99
665,-17.12
670,-17.26
675,-17.38
680,-17.51
685,-17.63
690,-17.75
695,-17.87
700,-17.98
705,-18.09
710,-18.19
715,-18.29
720,-18.39
725,-18.48
730,-18.57
735,-18.65
740,-18.73
745,-18.81
750,-18.88
755,-18.95
760,-19.01
765,-19.07
770,-19.12
775,-19.18
780,-19.22
785,-19.26
790,-19.30
795,-19.33
800,-19.36
805,-19.38
810,-19.40
815,-19.42
820,-19.43
825,-19.43
830,-19.43
835,-19.43
840,-19.42
845,-19.41
850,-19.39
855,-19.37
860,-19.35
865,-19.32
870,-19.29
875,-19.25
880,-19.21
885,-19.16
890,-19.11
895,-19.06
900,-19.01
905,-18.95
910,-18.88
915,-18.81
920,-18.74
925,-18.67
930,-18.59
935,-18.51
940,-18.43
945,-18.34
950,-18.26
955,-18.16
960,-18.07
965,-17.97
970,-17.87
975,-17.77
980,-17.67
985,-17.56
990,-17.46
995,-17.35
1000,-17.24
1005,-17.12
1010,-17.01
1015,-16.89
1020,-16.78
1025,-16.66
1030,-16.54
1035,-16.42
1040,-16.30
1045,-16.18
1050,-16.06
1055,-15.93
1060,-15.81
1065,-15.69
1070,-15.56
1075,-15.44
1080,-15.32
1085,-15.19
1090,-15.07
1095,-14.95
1100,-14.83
1105,-14.70
1110,-14.58
1115,-14.46
1120,-14.34
1125,-14.22
1130,-14.11
1135,-13.99
1140,-13.88
1145,-13.76
1150,-13.65
1155,-13.54
1160,-13.43
1165,-13.32
1170,-13.21
1175,-13.11
1180,-13.00
1185,-12.90
1190,-12.80
1195,-12.70
1200,-12.60
1205,-12.51
1210,-12.42
1215,-12.33
1220,-12.24
1225,-12.15
1230,-12.07
1235,-11.98
1240,-11.90
1245,-11.83
1250,-11.75
1255,-11.68
1260,-11.60
1265,-11.53
1270,-11.47
1275,-11.40
1280,-11.34
1285,-11.28
1290,-11.22
1295,-11.17
1300,-11.11
1305,-11.06
1310,-11.01
1315,-10.97
1320,-10.92
1325,-10.88
1330,-10.84
1335,-10.80
1340,-10.76
1345,-10.73
1350,-10.70
1355,-10.67
1360,-10.64
1365,-10.62
1370,-10.59
1375,-10.57
1380,-10.55
1385,-10.54
1390,-10.52
1395,-10.51
1400,-10.50
1405,-10.49
1410,-10.48
1415,-10.47
1420,-10.47
1425,-10.47
1430,-10.46
1435,-10.47
1440,-10.47
1445,-10.47
1450,-10.48
1455,-10.48
1460,-10.49
1465,-10.50
1470,-10.51
1475,-10.53
1480,-10.54
1485,-10.56
1490,-10.57
1495,-10.59
1500,-10.61
1505,-10.63
1510,-10.65
1515,-10.68
1520,-10.70
1525,-10.72
1530,-10.75
1535,-10.78
1540,-10.81
1545,-10.83
1550,-10.86
1555,-10.90
1560,-10.93
1565,-10.96
1570,-10.99
1575,-11.03
1580,-11.06
1585,-11.10
1590,-11.13
1595,-11.17
1600,-11.21
1605,-11.24
1610,-11.28
1615,-11.32
1620,-11.36
1625,-11.40
1630,-11.44
1635,-11.48
1640,-11.53
1645,-11.57
1650,-11.61
1655,-11.65
1660,-11.70
1665,-11.74
1670,-11.78
1675,-11.83
1680,-11.87
1685,-11.92
1690,-11.96
1695,-12.01
1700,-12.05
1705,-12.10
1710,-12.15
1715,-12.19
1720,-12.24
1725,-12.28
1730,-12.33
1735,-12.38
1740,-12.42
1745,-12.47
1750,-12.52
1755,-12.57
1760,-12.61
1765,-12.66
1770,-12.71
1775,-12.75
1780,-12.80
1785,-12.85
1790,-12.90
1795,-12.94
1800,-12.99
1805,-13.04
1810,-13.09
1815,-13.13
1820,-13.18
1825,-13.23
1830,-13.27
1835,-13.32
1840,-13.37
1845,-13.41
1850,-13.46
1855,-13.51
1860,-13.55
1865,-13.60
1870,-13.65
1875,-13.69
1880,-13.74
1885,-13.78
1890,-13.83
1895,-13.88
1900,-13.92
1905,-13.97
1910,-14.01
1915,-14.06
1920,-14.10
1925,-14.14
1930,-14.19
1935,-14.23
1940,-14.28
1945,-14.32
1950,-14.36
1955,-14.41
1960,-14.45
1965,-14.49
1970,-14.53
1975,-14.58
1980,-14.62
1985,-14.66
1990,-14.70
1995,-14.74
2000,-14.78
2005,-14.82
2010,-14.86
2015,-14.91
2020,-14.94
2025,-14.98
2030,-15.02
2035,-15.06
2040,-15.10
2045,-15.14
2050,-15.18
2055,-15.22
2060,-15.25
2065,-15.29
2070,-15.33
2075,-15.36
2080,-15.40
2085,-15.43
2090,-15.47
2095,-15.51
2100,-15.54
2105,-15.57
2110,-15.61
2115,-15.64
2120,-15.68
2125,-15.71
2130,-15.74
2135,-15.77
2140,-15.81
2145,-15.84
2150,-15.87
2155,-15.90
2160,-15.93
2165,-15.96
2170,-15.99
2175,-16.02
2180,-16.05
2185,-16.08
2190,-16.11
2195,-16.13
2200,-16.16
2205,-16.19
2210,-16.21
2215,-16.24
2220,-16.27
2225,-16.29
2230,-16.32
2235,-16.34
2240,-16.36
2245,-16.39
2250,-16.41
2255,-16.43
2260,-16.46
2265,-16.48
2270,-16.50
2275,-16.52
2280,-16.54
2285,-16.56
2290,-16.58
2295,-16.60
2300,-16.62
2305,-16.64
2310,-16.66
2315,-16.68
2320,-16.69
2325,-16.71
2330,-16.73
2335,-16.74
2340,-16.76
2345,-16.77
2350,-16.79
2355,-16.80
2360,-16.81
2365,-16.83
2370,-16.84
2375,-16.85
2380,-16.86
2385,-16.87
2390,-16.88
2395,-16.89
2400,-16.90
2405,-16.91
2410,-16.92
2415,-16.93
2420,-16.94
2425,-16.95
2430,-16.95
2435,-16.96
2440,-16.97
2445,-16.97
2450,-16.98
2455,-16.98
2460,-16.98
2465,-16.99
2470,-16.99
2475,-16.99
2480,-17.00
2485,-17.00
2490,-17.00
2495,-17.00
2500,-17.00
2505,-17.00
2510,-17.00
2515,-17.00
2520,-17.00
2525,-16.99
2530,-16.99
2535,-16.99
2540,-16.98
2545,-16.98
2550,-16.98
2555,-16.97
2560,-16.97
2565,-16.96
2570,-16.95
2575,-16.95
2580,-16.94
2585,-16.93
2590,-16.92
2595,-16.91
2600,-16.90
2605,-16.89
2610,-16.88
2615,-16.87
2620,-16.86
2625,-16.85
2630,-16.84
2635,-16.83
2640,-16.81
2645,-16.80
2650,-16.79
2655,-16.77
2660,-16.76
