voltage_V,current_A
-1.0000,-3.000000e-06
-0.9920,-3.000000e-06
-0.9839,-3.000000e-06
-0.9759,-3.000000e-06
-0.9678,-3.000000e-06
-0.9598,-3.000000e-06
-0.9518,-3.000000e-06
-0.9437,-3.000000e-06
-0.9357,-3.000000e-06
-0.9276,-3.000000e-06
-0.9196,-3.000000e-06
-0.9116,-3.000000e-06
-0.9035,-3.000000e-06
-0.8955,-3.000000e-06
-0.8874,-3.000000e-06
-0.8794,-3.000000e-06
-0.8714,-3.000000e-06
-0.8633,-3.000000e-06
-0.8553,-3.000000e-06
-0.8472,-3.000000e-06
-0.8392,-3.000000e-06
-0.8312,-3.000000e-06
-0.8231,-3.000000e-06
-0.8151,-3.000000e-06
-0.8070,-3.000000e-06
-0.7990,-3.000000e-06
-0.7910,-3.000000e-06
-0.7829,-3.000000e-06
-0.7749,-3.000000e-06
-0.7668,-3.000000e-06
-0.7588,-3.000000e-06
-0.7508,-3.000000e-06
-0.7427,-3.000000e-06
-0.7347,-3.000000e-06
-0.7266,-3.000000e-06
-0.7186,-3.000000e-06
-0.7106,-3.000000e-06
-0.7025,-3.000000e-06
-0.6945,-3.000000e-06
-0.6864,-3.000000e-06
-0.6784,-3.000000e-06
-0.6704,-3.000000e-06
-0.6623,-3.000000e-06
-0.6543,-3.000000e-06
-0.6462,-3.000000e-06
-0.6382,-3.000000e-06
-0.6302,-3.000000e-06
-0.6221,-3.000000e-06
-0.6141,-3.000000e-06
-0.6060,-3.000000e-06
-0.5980,-3.000000e-06
-0.5899,-3.000000e-06
-0.5819,-3.000000e-06
-0.5739,-3.000000e-06
-0.5658,-3.000000e-06
-0.5578,-3.000000e-06
-0.5497,-3.000000e-06
-0.5417,-3.000000e-06
-0.5337,-3.000000e-06
-0.5256,-3.000000e-06
-0.5176,-3.000000e-06
-0.5095,-3.000000e-06
-0.5015,-3.000000e-06
-0.4935,-3.000000e-06
-0.4854,-3.000000e-06
-0.4774,-3.000000e-06
-0.4693,-3.000000e-06
-0.4613,-3.000000e-06
-0.4533,-3.000000e-06
-0.4452,-3.000000e-06
-0.4372,-3.000000e-06
-0.4291,-3.000000e-06
-0.4211,-2.999999e-06
-0.4131,-2.999999e-06
-0.4050,-2.999999e-06
-0.3970,-2.999998e-06
-0.3889,-2.999998e-06
-0.3809,-2.999997e-06
-0.3729,-2.999996e-06
-0.3648,-2.999995e-06
-0.3568,-2.999993e-06
-0.3487,-2.999991e-06
-0.3407,-2.999988e-06
-0.3327,-2.999984e-06
-0.3246,-2.999979e-06
-0.3166,-2.999971e-06
-0.3085,-2.999961e-06
-0.3005,-2.999948e-06
-0.2925,-2.999931e-06
-0.2844,-2.999907e-06
-0.2764,-2.999875e-06
-0.2683,-2.999832e-06
-0.2603,-2.999775e-06
-0.2523,-2.999699e-06
-0.2442,-2.999596e-06
-0.2362,-2.999458e-06
-0.2281,-2.999274e-06
-0.2201,-2.999026e-06
-0.2121,-2.998694e-06
-0.2040,-2.998248e-06
-0.1960,-2.997651e-06
-0.1879,-2.996850e-06
-0.1799,-2.995775e-06
-0.1719,-2.994335e-06
-0.1638,-2.992403e-06
-0.1558,-2.989812e-06
-0.1477,-2.986338e-06
-0.1397,-2.981679e-06
-0.1317,-2.975431e-06
-0.1236,-2.967052e-06
-0.1156,-2.955817e-06
-0.1075,-2.940749e-06
-0.0995,-2.920544e-06
-0.0915,-2.893448e-06
-0.0834,-2.857112e-06
-0.0754,-2.808385e-06
-0.0673,-2.743042e-06
-0.0593,-2.655415e-06
-0.0513,-2.537906e-06
-0.0432,-2.380325e-06
-0.0352,-2.169005e-06
-0.0271,-1.885623e-06
-0.0191,-1.505603e-06
-0.0111,-9.959908e-07
-0.0030,-3.125923e-07
0.0050,6.038558e-07
0.0131,1.832827e-06
0.0211,3.480897e-06
