voltage_V,current_A
-1.0000,-5.000000e-06
-0.9920,-5.000000e-06
-0.9839,-5.000000e-06
-0.9759,-5.000000e-06
-0.9678,-5.000000e-06
-0.9598,-5.000000e-06
-0.9518,-5.000000e-06
-0.9437,-5.000000e-06
-0.9357,-5.000000e-06
-0.9276,-5.000000e-06
-0.9196,-5.000000e-06
-0.9116,-5.000000e-06
-0.9035,-5.000000e-06
-0.8955,-5.000000e-06
-0.8874,-5.000000e-06
-0.8794,-5.000000e-06
-0.8714,-5.000000e-06
-0.8633,-5.000000e-06
-0.8553,-5.000000e-06
-0.8472,-5.000000e-06
-0.8392,-5.000000e-06
-0.8312,-5.000000e-06
-0.8231,-5.000000e-06
-0.8151,-5.000000e-06
-0.8070,-5.000000e-06
-0.7990,-5.000000e-06
-0.7910,-5.000000e-06
-0.7829,-5.000000e-06
-0.7749,-5.000000e-06
-0.7668,-5.000000e-06
-0.7588,-5.000000e-06
-0.7508,-5.000000e-06
-0.7427,-5.000000e-06
-0.7347,-5.000000e-06
-0.7266,-5.000000e-06
-0.7186,-5.000000e-06
-0.7106,-5.000000e-06
-0.7025,-5.000000e-06
-0.6945,-5.000000e-06
-0.6864,-5.000000e-06
-0.6784,-5.000000e-06
-0.6704,-5.000000e-06
-0.6623,-5.000000e-06
-0.6543,-5.000000e-06
-0.6462,-5.000000e-06
-0.6382,-5.000000e-06
-0.6302,-5.000000e-06
-0.6221,-5.000000e-06
-0.6141,-5.000000e-06
-0.6060,-5.000000e-06
-0.5980,-5.000000e-06
-0.5899,-5.000000e-06
-0.5819,-5.000000e-06
-0.5739,-5.000000e-06
-0.5658,-5.000000e-06
-0.5578,-5.000000e-06
-0.5497,-5.000000e-06
-0.5417,-5.000000e-06
-0.5337,-5.000000e-06
-0.5256,-5.000000e-06
-0.5176,-5.000000e-06
-0.5095,-5.000000e-06
-0.5015,-5.000000e-06
-0.4935,-5.000000e-06
-0.4854,-5.000000e-06
-0.4774,-5.000000e-06
-0.4693,-5.000000e-06
-0.4613,-5.000000e-06
-0.4533,-5.000000e-06
-0.4452,-5.000000e-06
-0.4372,-4.999999e-06
-0.4291,-4.999999e-06
-0.4211,-4.999999e-06
-0.4131,-4.999999e-06
-0.4050,-4.999998e-06
-0.3970,-4.999998e-06
-0.3889,-4.999997e-06
-0.3809,-4.999996e-06
-0.3729,-4.999995e-06
-0.3648,-4.999993e-06
-0.3568,-4.999990e-06
-0.3487,-4.999987e-06
-0.3407,-4.999982e-06
-0.3327,-4.999976e-06
-0.3246,-4.999968e-06
-0.3166,-4.999957e-06
-0.3085,-4.999942e-06
-0.3005,-4.999922e-06
-0.2925,-4.999895e-06
-0.2844,-4.999859e-06
-0.2764,-4.999811e-06
-0.2683,-4.999746e-06
-0.2603,-4.999658e-06
-0.2523,-4.999540e-06
-0.2442,-4.999382e-06
-0.2362,-4.999168e-06
-0.2281,-4.998882e-06
-0.2201,-4.998496e-06
-0.2121,-4.997977e-06
-0.2040,-4.997280e-06
-0.1960,-4.996342e-06
-0.1879,-4.995081e-06
-0.1799,-4.993386e-06
-0.1719,-4.991105e-06
-0.1638,-4.988039e-06
-0.1558,-4.983915e-06
-0.1477,-4.978369e-06
-0.1397,-4.970912e-06
-0.1317,-4.960883e-06
-0.1236,-4.947397e-06
-0.1156,-4.929260e-06
-0.1075,-4.904872e-06
-0.0995,-4.872075e-06
-0.0915,-4.827970e-06
-0.0834,-4.768659e-06
-0.0754,-4.688900e-06
-0.0673,-4.581643e-06
-0.0593,-4.437407e-06
-0.0513,-4.243442e-06
-0.0432,-3.982605e-06
-0.0352,-3.631839e-06
-0.0271,-3.160140e-06
-0.0191,-2.525815e-06
-0.0111,-1.672794e-06
-0.0030,-5.256785e-07
0.0050,1.016926e-06
0.0131,3.091373e-06
0.0211,5.881022e-06
0.0291,9.632456e-06
0.0372,1.467726e-05
0.0452,2.146136e-05
0.0533,3.058441e-05
0.0613,4.285279e-05
0.0693,5.935092e-05
0.0774,8.153708e-05
0.0854,1.113723e-04
0.0935,1.514938e-04
0.1015,2.054480e-04
0.1095,2.780038e-04
0.1176,3.755746e-04
0.1256,5.067847e-04
0.1337,6.832319e-04
0.1417,9.205125e-04
0.1497,1.239600e-03
0.1578,1.668699e-03
0.1658,2.245737e-03
0.1739,3.021721e-03
0.1819,4.065238e-03
0.1899,5.468528e-03
0.1980,7.355627e-03
0.2060,9.893339e-03
0.2141,1.330597e-02
0.2221,1.789518e-02
0.2302,2.406659e-02
0.2382,3.236572e-02
0.2462,4.352612e-02
0.2543,5.853428e-02
0.2623,7.871678e-02
0.2704,1.000000e-01
0.2784,1.000000e-01
0.2864,1.000000e-01
0.2945,1.000000e-01
0.3025,1.000000e-01
0.3106,1.000000e-01
0.3186,1.000000e-01
0.3266,1.000000e-01
0.3347,1.000000e-01
0.3427,1.000000e-01
0.3508,1.000000e-01
0.3588,1.000000e-01
0.3668,1.000000e-01
0.3749,1.000000e-01
0.3829,1.000000e-01
0.3910,1.000000e-01
0.3990,1.000000e-01
0.4070,1.000000e-01
0.4151,1.000000e-01
0.4231,1.000000e-01
0.4312,1.000000e-01
0.4392,1.000000e-01
0.4472,1.000000e-01
0.4553,1.000000e-01
0.4633,1.000000e-01
0.4714,1.000000e-01
0.4794,1.000000e-01
0.4874,1.000000e-01
0.4955,1.000000e-01
0.5035,1.000000e-01
0.5116,1.000000e-01
0.5196,1.000000e-01
0.5276,1.000000e-01
0.5357,1.000000e-01
0.5437,1.000000e-01
0.5518,1.000000e-01
0.5598,1.000000e-01
0.5678,1.000000e-01
0.5759,1.000000e-01
0.5839,1.000000e-01
0.5920,1.000000e-01
0.6000,1.000000e-01
