timestamp,congestion_index,avg_speed_mph,travel_time_multiplier
2024-07-01T00:00:00,0.0,30.0,1.0
2024-07-01T00:15:00,0.155,26.8,1.08
2024-07-01T00:30:00,0.137,27.1,1.07
2024-07-01T00:45:00,0.0,30.0,1.0
2024-07-01T01:00:00,0.4,21.6,1.2
2024-07-01T01:15:00,0.148,26.9,1.07
2024-07-01T01:30:00,0.014,29.7,1.01
2024-07-01T01:45:00,0.227,25.2,1.11
2024-07-01T02:00:00,0.092,28.1,1.05
2024-07-01T02:15:00,0.0,30.0,1.0
2024-07-01T02:30:00,0.0,30.0,1.0
2024-07-01T02:45:00,0.2,25.8,1.1
2024-07-01T03:00:00,0.123,27.4,1.06
2024-07-01T03:15:00,0.191,26.0,1.1
2024-07-01T03:30:00,0.301,23.7,1.15
2024-07-01T03:45:00,0.194,25.9,1.1
2024-07-01T04:00:00,0.105,27.8,1.05
2024-07-01T04:15:00,0.036,29.2,1.02
2024-07-01T04:30:00,0.143,27.0,1.07
2024-07-01T04:45:00,0.233,25.1,1.12
2024-07-01T05:00:00,0.08,28.3,1.04
2024-07-01T05:15:00,0.217,25.5,1.11
2024-07-01T05:30:00,0.0,30.0,1.0
2024-07-01T05:45:00,0.127,27.3,1.06
2024-07-01T06:00:00,0.266,24.4,1.13
2024-07-01T06:15:00,0.427,21.0,1.21
2024-07-01T06:30:00,0.37,22.2,1.18
2024-07-01T06:45:00,0.356,22.5,1.18
2024-07-01T07:00:00,0.844,12.3,1.42
2024-07-01T07:15:00,0.775,13.7,1.39
2024-07-01T07:30:00,0.913,10.8,1.46
2024-07-01T07:45:00,0.709,15.1,1.35
2024-07-01T08:00:00,0.636,16.6,1.32
2024-07-01T08:15:00,0.642,16.5,1.32
2024-07-01T08:30:00,0.544,18.6,1.27
2024-07-01T08:45:00,0.618,17.0,1.31
2024-07-01T09:00:00,0.713,15.0,1.36
2024-07-01T09:15:00,0.676,15.8,1.34
2024-07-01T09:30:00,0.631,16.7,1.32
2024-07-01T09:45:00,0.586,17.7,1.29
2024-07-01T10:00:00,0.437,20.8,1.22
2024-07-01T10:15:00,0.309,23.5,1.15
2024-07-01T10:30:00,0.449,20.6,1.22
2024-07-01T10:45:00,0.531,18.9,1.27
2024-07-01T11:00:00,0.415,21.3,1.21
2024-07-01T11:15:00,0.411,21.4,1.21
2024-07-01T11:30:00,0.454,20.5,1.23
2024-07-01T11:45:00,0.389,21.8,1.19
2024-07-01T12:00:00,0.305,23.6,1.15
2024-07-01T12:15:00,0.559,18.3,1.28
2024-07-01T12:30:00,0.445,20.7,1.22
2024-07-01T12:45:00,0.383,22.0,1.19
2024-07-01T13:00:00,0.452,20.5,1.23
2024-07-01T13:15:00,0.313,23.4,1.16
2024-07-01T13:30:00,0.416,21.3,1.21
2024-07-01T13:45:00,0.314,23.4,1.16
2024-07-01T14:00:00,0.227,25.2,1.11
2024-07-01T14:15:00,0.409,21.4,1.2
2024-07-01T14:30:00,0.351,22.6,1.18
2024-07-01T14:45:00,0.254,24.7,1.13
2024-07-01T15:00:00,0.537,18.7,1.27
2024-07-01T15:15:00,0.372,22.2,1.19
2024-07-01T15:30:00,0.336,22.9,1.17
2024-07-01T15:45:00,0.5,19.5,1.25
2024-07-01T16:00:00,0.774,13.8,1.39
2024-07-01T16:15:00,0.545,18.5,1.27
2024-07-01T16:30:00,0.69,15.5,1.35
2024-07-01T16:45:00,0.836,12.4,1.42
2024-07-01T17:00:00,0.79,13.4,1.4
2024-07-01T17:15:00,0.912,10.9,1.46
2024-07-01T17:30:00,0.75,14.3,1.37
2024-07-01T17:45:00,0.688,15.6,1.34
2024-07-01T18:00:00,0.916,10.8,1.46
2024-07-01T18:15:00,0.764,14.0,1.38
2024-07-01T18:30:00,0.814,12.9,1.41
